Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,47.02000,47.02000,10.56900,-43.68800,-7.23700,-7.23700,0.09100,-7.32800,-7.32800,-12.99100,-6.82000,-7.23700,69.43500,69.43500,-0.19000,-0.19000,0.78950,3.75010,-15.39130,-15.39130,-15.39130,-27.62870,0.00690,-0.51930,-0.51920,-0.10820,-0.10930,20.35660,0.7071,0.6973
2024-06-30,47.65300,47.65300,11.16800,-10.88600,25.59900,25.59900,0.07100,25.52800,25.52800,20.22300,24.99000,25.59900,69.42300,69.42300,0.29000,0.29000,0.79440,3.86420,53.71960,53.71960,53.71960,42.43800,0.00670,1.77390,1.77370,0.36140,0.36470,20.75830,0.4412,0.3597
2024-03-31,46.75900,46.75900,11.33200,-38.81500,-3.38800,-3.38800,0.04100,-3.42900,-3.42900,-8.73900,-3.08300,-3.38800,69.38700,69.38700,-0.13000,-0.13000,0.80780,4.20210,-7.24570,-7.24570,-7.24570,-18.68950,0.00640,-0.24850,-0.24850,-0.04730,-0.04780,19.91070,0.49700,0.46660
2023-12-31,50.66600,50.66600,11.12300,-52.45700,-12.91400,-12.91400,0.19900,-13.11300,-13.11300,-18.73800,-13.06300,-12.91400,69.18000,69.18000,-0.27000,-0.27000,0.81190,4.31560,-25.48850,-25.48850,-25.48850,-36.98340,0.00670,-0.93390,-0.93390,-0.17370,-0.17570,20.25830,0.5312,0.5512
2023-09-30,50.05500,50.05500,11.42300,-11.63300,26.99900,26.99900,0.16500,26.83400,26.83400,21.40100,28.22900,26.99900,69.12300,69.12300,0.31000,0.31000,0.80770,4.20020,53.93870,53.93870,53.93870,42.75500,0.00660,1.84660,1.84640,0.35190,0.35510,21.03000,0.6041,0.6011
2023-06-30,50.92400,50.92400,11.88000,-58.99100,-19.94700,-19.94700,0.17700,-20.12400,-20.12400,-25.77200,-19.35100,-19.94700,69.11600,69.11600,-0.37000,-0.37000,0.80650,4.16760,-39.17010,-39.17010,-39.17010,-50.60880,0.00670,-1.37870,-1.37860,-0.26450,-0.26680,21.12310,0.513,0.5086
2023-03-31,51.16400,51.16400,13.02400,-63.22500,-25.08500,-25.08500,0.16900,-25.25400,-25.25400,-30.81000,-24.17700,-25.08500,69.09500,69.09500,-0.45000,-0.45000,0.80620,4.15880,-49.02860,-49.02860,-49.02860,-60.21810,0.00650,-1.66910,-1.66900,-0.32060,-0.32350,21.89950,0.60260,0.59000
2022-12-31,56.72900,56.72900,11.78800,-24.78200,20.15900,20.15900,,20.10100,20.10100,14.60200,20.82500,20.15900,67.55400,67.55400,0.18000,0.19000,0.79690,3.92270,35.53560,35.53560,35.53560,25.73990,0.00730,1.27930,1.27910,0.25760,0.25980,22.74310,0.5909,0.607
2022-09-30,51.16200,51.16200,10.87500,-83.20200,-42.91500,-42.91500,,-42.91500,-42.91500,-48.42100,-43.44400,-42.91500,69.38300,69.38300,-0.70000,-0.70000,0.78670,3.68780,-83.88060,-83.88060,-83.88060,-94.64250,0.00680,-2.69050,-2.69020,-0.56910,-0.57390,23.00640,0.5006,0.4932
2022-06-30,49.97500,49.97500,10.81400,-14.16600,24.99500,24.99500,,24.99500,24.99500,19.39400,24.89100,24.99500,68.54900,68.54900,0.28000,0.28000,0.78110,3.56790,50.01500,50.01500,50.01500,38.80740,0.00650,1.49110,1.49100,0.32400,0.32640,24.06780,0.5202,0.5115
2022-03-31,47.20100,47.20100,10.45300,-1.33600,35.41200,35.41200,,35.41200,35.41200,29.79600,34.17300,35.41200,63.08600,69.40300,0.47000,0.46000,0.76750,3.30060,75.02380,75.02380,75.02380,63.12580,0.00660,2.14670,2.14650,0.49530,0.49910,24.28420,0.47740,0.47740
2021-12-31,49.82800,49.82800,12.13500,3.07700,40.77000,40.77000,0.42700,40.34300,40.34300,35.19800,38.85200,40.77000,56.57100,56.78300,0.60000,0.60000,0.79550,3.88880,81.82150,81.82150,81.82150,70.63900,0.00740,2.96310,2.96300,0.60180,0.60610,22.18610,0.4684,0.4684
2021-09-30,47.78000,47.78000,10.83800,-1.16500,35.77700,35.77700,0.10600,35.67100,35.67100,31.98900,33.19300,35.77700,55.63700,56.01120,0.57000,0.57000,0.78380,3.62570,74.87860,74.87860,74.87860,66.95060,0.00830,2.88950,2.88930,0.62000,0.62460,22.19010,0.6899,0.6899
2021-06-30,41.54700,41.54700,10.92600,0.55900,31.18000,31.18000,0.10300,31.07700,31.07700,29.26400,29.36200,31.18000,55.63200,55.90700,0.53000,0.52000,0.77390,3.42360,75.04750,75.04750,75.04750,70.43590,0.00750,2.53810,2.53790,0.56260,0.57370,22.00860,0.4963,0.4963
2021-03-31,38.53900,38.53900,9.98700,1.58800,30.14000,30.14000,0.04800,30.09200,30.09200,29.18400,29.34000,30.14000,55.61900,55.73100,0.52000,0.52000,0.79650,3.91340,78.20650,78.20650,78.20650,75.72590,0.00730,2.86370,2.86370,0.57070,0.58280,18.89310,0.54310,0.54310
2020-12-31,35.62000,35.62000,10.04300,3.43800,29.01500,29.01500,0.15700,28.85800,28.85800,28.77600,29.51500,29.01500,55.98500,56.05700,0.49000,0.49000,0.78510,3.65410,81.45710,81.45700,81.45700,80.78610,0.00720,2.76540,2.76540,0.58120,0.59420,18.76250,0.4093,0.4093
2020-09-30,39.93200,39.93200,8.77600,0.12600,31.28200,31.28200,0.09600,31.18600,31.18600,31.35100,33.53100,31.28200,55.49100,55.63200,0.56000,0.56000,0.79710,3.92900,78.33820,78.33820,78.33820,78.51100,0.00760,3.00120,3.00120,0.59610,0.60890,20.14130,0.6877,0.6877
2020-06-30,37.14900,37.14900,9.51300,1.36600,29.00200,29.00200,0.07700,28.92500,28.92500,28.59000,30.30300,29.00200,55.49200,55.50400,0.52000,0.52000,0.79910,3.97880,78.06940,78.06940,78.06940,76.96040,0.00710,2.80760,2.80760,0.55250,0.56390,19.96910,0.4782,0.4782
