Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2023-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2022-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2016-03-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2015-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2015-03-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2014-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2014-03-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2013-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2013-03-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2012-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2012-03-31,1629.95100,,1629.95100,,,,1629.95100,,1629.95100,,1629.95100,142.60300,142.60300,1629.95100,1629.95100,0.10600,0.10600,1345.34500,1345.34500,3.81630,,100.00000,100.00000,100.00000,100.00000,8.74890,49.10970,,271.20650,0.33190,495.83800,506.76260,429.65660,495.66560,0.00000,
2011-09-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2011-03-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2010-12-31,5.33100,,5.33100,,,,5.33100,,5.33100,,5.33100,3.12500,3.12500,5.33100,5.33100,0.00580,0.00580,528.52900,528.52900,0.16790,,100.00000,100.00000,100.00000,100.00000,58.61940,3.50720,,,,13.22470,-70.86170,205.59210,13.22470,-40.4389,-37.6175
2010-09-30,5.33100,0.71000,4.62100,0.06000,0.84000,0.90000,3.72100,,3.77000,0.64000,3.13000,3.12500,3.12500,3.85100,3.72100,0.00550,0.00550,552.55300,552.55300,4.49060,,87.22570,69.79930,69.79930,70.71840,58.61940,0.14000,1.86840,0.69960,128.64380,9.54200,9.72310,8.20860,9.53910,519.8182,475.2727
2010-06-30,3.60800,0.59000,3.01800,0.04000,0.50000,0.54000,2.47800,-0.05000,2.41000,0.39000,2.02000,2.02200,2.02200,2.50800,2.47800,0.00500,0.00500,408.40800,408.40800,2.83920,0.11890,83.42570,68.68070,68.68070,66.79600,56.04210,0.09690,3.27780,0.58480,153.90800,6.97480,6.97000,5.43260,6.97000,423.9048,416.2857
2010-03-31,2.59300,0.56000,2.03300,0.04000,0.40000,0.44000,1.59300,0.01000,1.58000,0.25000,1.33000,1.33500,1.33500,1.65300,1.59300,0.00420,0.00420,312.31200,312.31200,0.81140,0.28070,77.90210,61.43460,61.43460,60.93330,51.48480,0.12450,6.22220,0.47490,189.51020,10.93370,10.91580,6.41210,10.92470,-161.90480,-164.28570
2009-12-31,2.97400,0.49000,2.48400,0.03000,0.23000,0.26000,2.22400,-0.11000,2.08000,0.32000,1.76000,1.75500,1.75500,2.22400,2.22400,0.00420,0.00420,432.43200,432.43200,0.67110,0.31550,83.05310,74.78140,74.78140,69.93950,59.01140,0.14890,1.88460,0.75670,118.93070,16.14540,16.13050,8.78820,16.14540,-33.3333,-34.2857
