Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,120.41500,43.44500,76.97000,25.54400,63.44200,88.98600,-12.01600,10.60200,-1.41400,-0.13500,-1.27900,-1.27900,-1.49500,-12.01600,-12.01600,74.75000,74.75000,-0.02000,-0.02000,3.50910,0.01190,63.92060,-9.97880,-9.97880,-1.17430,-1.24150,0.14060,1.89770,47.42570,,-0.21570,-0.14940,-0.20660,,0.5816,0.5837
2024-06-30,128.49700,51.91400,76.58300,28.80400,73.08100,101.88500,-25.30200,13.23800,-12.06400,-0.97200,-11.09200,-11.09200,-11.38700,-25.30200,-25.30200,93.08100,93.08100,-0.12000,-0.12000,3.47510,0.01180,59.59910,-19.69080,-19.69080,-9.38850,-8.86170,0.15230,1.74590,51.54810,-1.82530,-1.90680,-1.31490,-1.82530,6.21720,-0.5816,-0.5837
2024-03-31,133.07900,57.80700,75.27200,27.33300,79.06500,106.39800,-31.12600,8.34300,-22.78300,0.17800,-22.96100,-22.96100,-22.82900,-31.12600,-31.12600,93.85000,93.85000,-0.24000,-0.24000,3.23830,,56.56190,-23.38910,-23.38910,-17.11990,-17.15450,0.14700,1.50550,59.77930,,-3.94790,-2.53670,-3.67790,,0.00000,
2023-12-31,162.53100,66.43600,96.09500,33.52700,88.91400,122.44100,-26.34600,11.48300,-14.86300,0.67800,-15.54100,-15.54100,-15.62600,-26.34600,-26.34600,99.73090,99.73090,-0.24000,-0.24000,3.27830,,59.12410,-16.20990,-16.20990,-9.14470,-9.61420,0.16980,1.73630,51.83510,-2.34680,-2.51460,-1.62380,-2.34680,6.50150,-0.5868,-0.5988
2023-09-30,140.09900,64.92800,75.17100,34.21900,88.93800,123.15700,-47.98600,9.79400,-38.19200,-0.03500,-38.15700,-38.15700,-38.19700,-47.98600,-47.98600,99.26720,99.26720,-0.35990,-0.35990,3.46420,,53.65560,-34.25150,-34.25150,-27.26070,-27.26430,0.14500,1.63740,54.96460,,-5.96850,-3.94980,-5.58810,,0.0776,0.0829
2023-06-30,144.00200,66.48900,77.51300,32.58000,90.06000,122.64000,-45.12700,6.96200,-38.16500,0.32100,-38.48600,-38.48600,-38.59300,-45.12700,-45.12700,107.22430,107.22430,-0.35990,-0.35990,3.42460,,53.82770,-31.33780,-31.33780,-26.50310,-26.80030,0.13680,1.38990,64.75290,,-5.55620,-3.65590,-5.22070,,-0.0776,-0.0829
2023-03-31,144.76900,70.18500,74.58400,26.64100,79.50400,106.14500,-31.56100,6.20300,-25.35800,0.70300,-26.06100,-26.06100,-26.40800,-31.56100,-31.56100,110.05530,110.05530,-0.24000,-0.24000,3.73490,,51.51930,-21.80090,-21.80090,-17.51620,-18.24150,0.13070,1.31100,68.64900,,-3.35860,-2.35280,-3.23530,,0.00000,
2022-12-31,152.44100,65.35900,87.08200,28.42900,80.98800,109.41700,-22.33500,5.28400,-17.05100,0.35300,-17.40400,-17.40400,-17.43900,-22.33500,-22.33510,101.63230,101.63230,-0.15000,-0.15000,4.01120,,57.12510,-14.65160,-14.65160,-11.18530,-11.43980,0.13730,1.26030,71.41090,-2.10810,-2.18740,-1.56790,-2.10810,8.12100,-1.5906,-1.5914
2022-09-30,128.16700,65.69600,62.47100,22.59900,79.03600,101.63500,-39.16400,-2.29500,-41.45900,0.37300,-41.83200,-41.83200,-42.19600,-39.16400,-39.16400,102.22780,102.22780,-0.41990,-0.41990,3.97850,,48.74190,-30.55700,-30.55700,-32.34760,-32.92270,0.11430,1.22780,73.30080,,-5.21550,-3.72910,-5.02870,,0,0
2022-06-30,124.81400,65.15500,59.65900,33.38100,95.05100,128.43200,-68.77300,-2.98500,-71.75800,0.95200,-72.71000,-72.71000,-72.71000,-68.77300,-68.77300,102.38750,102.38750,-0.71990,-0.71990,3.39870,,47.79830,-55.10040,-55.10040,-57.49200,-58.25470,0.09990,1.00460,89.59120,,-8.17960,-5.82200,-8.00280,,0,0
2022-03-31,117.24200,64.31100,52.93100,26.26800,128.91300,155.18100,-102.25000,5.72700,-96.52300,0.37800,-96.90100,-96.90100,-96.90100,-102.25000,-102.25000,100.18120,100.18120,-0.95980,-0.95980,4.31820,,45.14680,-87.21280,-87.21280,-82.32800,-82.65040,0.08840,0.91580,98.27520,,-9.86880,-7.30860,-9.65670,,0.00000,
2021-12-31,164.71300,86.74800,77.96500,33.66100,105.92900,139.59000,-61.62500,-0.55700,-62.18200,0.48000,-62.66200,-62.66200,-63.39500,-61.62500,-61.62500,80.07400,80.07400,1.19980,1.19980,4.39170,,47.33390,-37.41360,-37.41360,-37.75170,-38.48820,0.11920,1.26220,71.30640,-5.92630,-6.05380,-4.53510,-5.92630,10.67970,-0.8628,-0.8773
2021-09-30,127.80000,61.86400,65.93600,28.65800,87.32500,115.98300,-50.04700,8.22100,-41.82600,0.04700,-41.87300,-41.87300,-41.87300,-50.04700,-50.04700,98.41300,98.41300,-0.41990,-0.41990,5.19200,,51.59310,-39.16040,-39.16040,-32.72770,-32.76450,0.09430,1.17730,76.44930,,-3.90790,-3.08860,-3.84670,,0,0
2021-06-30,98.86800,40.54700,58.32100,18.68200,93.93000,112.61200,-54.29100,4.80600,-49.48500,0.24500,-49.73000,-49.73000,-49.73000,-54.29100,-54.29100,97.93120,97.93120,-0.47990,-0.47990,5.42030,,58.98880,-54.91260,-54.91260,-50.05160,-50.29940,0.07430,1.12480,80.01670,,-4.52440,-3.73770,-4.51300,,0,0
2021-03-31,73.00100,31.38300,41.61800,16.22500,77.66300,93.88800,-52.27000,2.79400,-49.47600,0.08200,-49.55800,-49.55800,-75.59400,-52.27000,-52.27000,23.83610,23.83610,-3.17940,-3.17940,6.80740,,57.01020,-71.60180,-71.60180,-67.77440,-103.55200,0.05500,0.98020,91.81720,,-4.39230,-3.73370,-4.38000,,0.00000,
2020-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
