Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.03160,1.17980,-2.21150,0.01970,-2.19180,-2.19180,-2.19180,,-2.19180,-2.21130,-2.21150,5.83600,5.83600,-0.38000,-0.38000,6.77720,,-37.25230,-37.27440,-32.65150,-37.25230,0.91850,-0.0347,-0.0347
2024-06-30,1.01250,1.27470,-2.28720,-0.17110,-2.45830,-2.45830,-2.45830,,-2.45830,-2.28710,-2.28720,4.18300,4.18300,-0.59000,-0.59000,5.69060,,-57.47950,-57.52840,-49.67560,-57.47960,0.99600,-0.3518,-0.3518
2024-03-31,0.45430,1.39070,-1.84500,-4.63150,-6.47660,-6.47660,-6.47660,,-6.47660,-1.84490,-1.84500,2.95390,2.95390,-2.19000,-2.19000,9.48320,,-105.79760,-105.86290,-96.89100,-105.79760,1.50970,-0.55050,-0.55050
2023-12-31,0.26440,1.51940,-1.78380,-0.12060,-1.90440,-1.90440,-1.90440,-0.01590,-1.92030,-1.78370,-1.78380,1.42500,1.42500,-0.63000,-0.63000,4.89790,,-46.63710,-46.68180,-40.20680,-46.63700,2.45400,-0.0403,-0.0403
2023-09-30,0.20710,1.15080,-1.35790,0.01020,-1.34770,-1.34770,-1.34770,-0.03730,-1.38500,-1.35780,-1.35790,1.17900,1.17900,-1.18000,-1.18000,2.14980,,-57.61230,-57.71230,-47.00020,-57.61230,1.92060,-1.0288,-1.0288
2023-06-30,0.42990,1.04750,-1.47740,-0.03250,-1.50990,-1.50990,-1.50990,2.59770,1.08780,-1.47730,-1.47740,1.13100,1.13100,0.96000,0.96000,4.43280,,-45.51650,-45.57420,-39.95480,-45.51650,2.76890,-1.5359,-1.5359
2023-03-31,0.36560,1.90320,-2.26880,0.02890,-2.23990,-2.23990,-2.23990,-0.66600,-2.90580,-2.26860,-2.26880,1.05850,1.05850,-2.75000,-2.75000,1.64900,,-155.56370,-188.77410,-57.40820,-155.56390,1.26230,-2.17170,-2.17170
2022-12-31,-0.02210,2.02420,-2.00210,-0.09820,-2.10030,-2.10030,-2.10030,-0.76640,-2.86670,-2.00190,-2.00210,1.00200,1.00200,-2.48000,-2.48000,2.66910,,-64.10100,-64.18870,-36.63590,-64.10100,3.07080,-1.9945,-1.9945
2022-09-30,0.69610,1.85860,-2.55460,0.00350,-2.55120,-2.55120,-2.55120,-0.55820,-3.10940,-2.55450,-2.55460,1.02900,1.02900,-3.02000,-3.02000,5.10440,,-47.16450,-49.48450,-32.95340,-47.16450,5.03560,-2.9707,-2.9707
2022-06-30,0.68000,2.56380,-3.24380,0.00690,-3.23690,-3.23690,-3.23690,-0.61070,-3.84750,-3.25820,-3.24380,0.97300,0.97300,-3.96000,-3.96000,5.32440,,-40.65730,-41.99570,-29.63280,-40.65730,7.69840,-3.5023,-3.5023
2022-03-31,0.59630,2.46260,-3.05900,0.15110,-2.90780,-2.90780,-2.90780,,-2.90780,-3.04420,-3.05900,0.92600,0.92600,-3.25000,-3.25000,5.97150,,-27.15750,-27.81700,-20.82440,-27.15750,11.28560,-2.69620,-2.69620
2021-12-31,2.33330,2.09950,-5.98110,0.05620,-5.92490,-5.83080,-5.83080,,-5.83080,-5.96470,-5.98110,0.74350,0.74350,-6.75000,-6.75000,2.37350,,-166.22470,-179.20110,-78.00490,-166.22460,4.18660,-4.0086,-4.0142
2021-09-30,1.69170,2.37180,-4.06350,-0.25430,-4.31780,-4.31780,-4.31780,,-4.31780,-4.05120,-4.06350,0.79390,0.79390,-5.50000,-5.50000,4.07870,,-59.96840,-61.12880,-41.33350,-59.96840,8.80290,-3.4677,-3.4572
2021-06-30,2.31900,2.08470,-4.40370,-0.03720,-4.44090,-4.44090,-4.44090,,-4.44090,-4.38980,-4.40370,0.70360,0.70360,-6.25000,-6.25000,2.52570,,-91.96380,-94.64540,-55.07850,-91.96380,6.55900,-4.1271,-4.1704
2021-03-31,2.05160,2.78870,-4.84030,0.00660,-4.83380,-4.83380,-4.83380,,-4.83380,-4.82790,-4.84030,0.63650,0.63650,-7.50000,-7.50000,3.02220,0.00520,-86.04620,-88.19640,-56.04040,-86.04610,8.13210,-4.46740,-4.51590
2020-12-31,2.05850,1.41210,-3.47060,0.00130,-3.46920,-3.46920,-3.46920,,-3.46920,-3.47050,-3.47060,0.49850,0.49850,-6.25000,-6.25000,3.41170,,-87.03440,-87.15700,-63.17550,-87.03440,6.92360,-6.1164,-6.1164
2020-09-30,1.84720,1.49120,-3.33840,0.00250,-3.33580,-3.33580,-3.33580,,-3.33580,-3.33820,-3.33840,0.54580,0.54580,-6.00000,-6.00000,7.47710,,-47.08190,-47.12010,-40.78950,-47.08190,12.45810,-2.9727,-2.9727
