Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.64110,0.29740,0.34370,4.88030,5.34710,10.57870,-10.23490,0.56070,-9.67430,0.02220,-9.69650,-9.69650,-9.69650,-9.88370,-10.23490,30.49420,30.49420,-0.32000,-0.32000,6.91680,,53.61350,-1596.36300,-1596.36300,-1508.91400,-1512.37500,0.00890,0.23490,3.59700,25.02080,-15.20200,-25.78350,-13.39640,-15.20200,1.99760,-0.2316,-0.2371
2024-06-30,2.65680,0.21210,2.44470,5.61270,4.17360,10.12470,-7.68000,0.10120,-7.57870,0.02060,-7.59930,-7.59930,-7.59930,-7.34160,-7.68000,30.12470,30.12470,-0.25000,-0.25000,9.08870,,92.01500,-289.06380,-289.06380,-285.25340,-286.02840,0.03290,0.14490,4.81740,18.68210,-10.49660,-16.46820,-9.41660,-10.49660,2.26870,-0.1701,-0.1732
2024-03-31,0.46790,0.23450,0.23330,5.67970,4.48250,10.49270,-10.25940,0.97010,-9.28930,0.02280,-9.31200,-9.31200,-9.31200,-9.92880,-10.25940,29.84290,29.84290,-0.31000,-0.31000,10.19020,,49.87650,-2192.86100,-2192.86100,-1985.50800,-1990.37400,0.00540,0.15130,1.07590,83.65460,-11.88480,-17.89930,-10.74410,-11.88480,2.50500,-0.28450,-0.29800
2023-12-31,3.55520,2.96780,0.58730,6.17870,5.92100,12.41260,-11.82520,0.98280,-10.84240,3.83400,-14.67650,-14.67650,-14.67650,-11.51230,-11.82520,29.34660,29.34660,-0.49000,-0.49000,10.81170,,16.52060,-332.61900,-332.61900,-304.97600,-412.81930,0.03730,1.78280,10.74460,8.37630,-17.06300,-24.62080,-15.39690,-17.06300,2.75160,-0.1632,-0.179
2023-09-30,2.45710,0.25580,2.20130,5.78880,5.05210,11.13730,-8.93600,0.84020,-8.09580,-2.11360,-5.98220,-5.98220,-5.98220,-8.63960,-8.93600,29.36130,29.36130,-0.20000,-0.20000,13.98870,,89.59050,-363.67910,-363.67910,-329.48520,-243.46580,0.02260,0.05660,1.19710,75.18230,-6.01290,-8.19360,-5.50430,-6.01290,3.24500,-0.1926,-0.2005
2023-06-30,0.19780,0.45910,-0.26130,5.98100,5.44690,11.73320,-11.99440,0.83730,-11.15710,-2.23830,-8.91880,-8.91880,-8.91880,-11.68920,-11.99440,29.08820,29.08820,-0.31000,-0.31000,15.12720,,-132.09360,-6063.73900,-6063.73900,-5640.44800,-4508.87500,0.00180,0.09790,0.07800,1154.24200,-8.62290,-11.60140,-7.90670,-8.62290,3.35940,-0.196,-0.2127
2023-03-31,0.60200,0.50220,0.09970,5.01410,4.72030,10.05040,-9.95060,1.93540,-8.01520,-2.25980,-5.75540,-5.75540,-5.75540,-9.63460,-9.95060,29.48350,29.48350,-0.20000,-0.20000,23.80090,,16.56530,-1653.05000,-1653.05000,-1331.52400,-956.11330,0.00510,0.09490,0.13690,657.50680,-5.20240,-6.85430,-4.91930,-5.20240,3.61160,-0.20070,-0.20680
2022-12-31,1.40150,0.51580,0.88570,4.73950,6.58040,27.00700,-26.12130,1.07690,-25.04440,-3.13890,-21.90550,-21.90550,-21.90550,-10.43420,-26.12130,31.47900,31.47900,-0.68000,-0.67000,23.94100,,63.19790,-1863.83500,-1863.83500,-1786.99300,-1563.02100,0.01140,0.09710,0.26320,341.90400,-19.12810,-24.96300,-17.79690,-19.12810,3.70940,-0.129,-0.1382
2022-09-30,5.09450,0.76790,4.32650,5.03750,5.51220,10.86220,-6.53560,3.05990,-3.47570,-2.11460,-1.36110,-1.36110,-1.36110,-6.22310,-6.53560,31.32140,31.32140,-0.04000,-0.04000,16.95150,,84.92600,-128.28880,-128.28880,-68.22510,-26.71650,0.03450,0.14110,0.58780,153.12260,-1.00860,-1.46850,-0.92060,-1.00860,4.36460,0.0464,0.038
2022-06-30,5.02320,0.91540,4.10780,3.88980,3.94060,8.25490,-4.14700,0.71920,-3.42780,-0.74150,-2.68630,-2.68630,-2.68630,-3.72270,-4.14700,32.47230,32.47230,-0.08000,-0.08000,17.05850,,81.77600,-82.55730,-82.55730,-68.23920,-53.47770,0.03120,0.19450,0.40970,219.65980,-1.85940,-2.63100,-1.67020,-1.85940,4.27670,0.0664,0.05
