Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,4.44800,4.44800,12.32500,4.26200,,-12.13900,10.33700,-1.80200,-1.80200,-1.80200,-1.80200,-14.90100,-12.13900,3.94800,3.94800,-0.46000,-0.46000,1.89420,100.00000,-272.90920,-272.90920,-40.51260,-40.51260,0.09350,-39.68280,-39.68290,-3.78750,-39.68290,1.10510,-3.8403,-3.8761
2023-06-30,20.22100,20.22100,12.19600,3.80300,-1.72900,2.49300,-1.43300,1.06100,1.06100,1.06100,1.06100,5.50600,2.49300,3.76720,3.79730,0.30000,0.30000,1.93680,100.00000,12.32880,12.32880,5.24700,5.24700,0.32000,35.39010,35.39030,1.67880,35.39030,0.78950,-3.8585,-3.5217
2023-03-31,8.58300,8.58300,15.16300,4.18500,,-10.76500,-0.57300,-11.33800,-11.33800,-11.33800,-11.33800,-9.96300,-10.76500,3.69680,3.69680,-3.10000,-3.10000,1.44570,100.00000,-125.42230,-125.42230,-132.09830,-132.09830,0.10620,-1585.74200,-1585.74200,-14.03060,-1585.73400,0.19020,-5.21690,-5.21690
2022-12-31,4.08900,4.08900,18.94700,3.85400,,-18.71200,0.29300,-18.41900,-18.41900,-18.41900,-18.41900,-18.05300,-18.71200,3.31680,3.31680,-5.38000,-5.38000,1.04380,100.00000,-457.61810,-457.61800,-450.45260,-450.45260,0.05550,-341.15730,-341.15630,-24.98200,-341.15590,1.50850,-5.4748,-5.4829
2022-09-30,13.61700,13.61700,20.97700,4.52900,,-11.88900,0.24900,-11.64000,-11.64000,-11.64000,-11.64000,-10.94900,-11.88900,3.30600,3.30600,-3.52000,-3.52000,1.27910,100.00000,-87.31000,-87.31000,-85.48140,-85.48140,0.16310,-68.82690,-68.82690,-13.94080,-68.82690,5.08950,-7.2348,-7.3153
2022-06-30,8.30300,8.30300,20.65100,5.06300,,-17.41100,0.06000,-17.35100,-17.35100,-17.35100,-17.35100,-17.16800,-17.41100,3.30370,3.30370,-5.30000,-5.30000,1.61510,100.00000,-209.69530,-209.69530,-208.97260,-208.97260,0.07620,-65.12650,-65.12650,-15.92550,-65.12650,8.04770,-6.5024,-6.7
2022-03-31,5.90600,5.90600,20.81800,5.40100,,-20.31300,-0.00800,-20.32100,-20.32100,-20.32100,-20.32100,-19.40400,-20.31300,3.28790,3.28790,-6.20000,-6.20000,1.99620,100.00000,-343.93840,-343.93840,-344.07380,-344.07380,0.04460,-49.10350,-49.10350,-15.34270,-49.10350,12.51140,-7.67600,-7.49440
2021-12-31,4.32500,4.32500,20.66400,5.20200,,-21.54100,-0.01000,-21.55100,-21.55100,-21.55100,-21.55100,-20.46800,-21.54100,3.22740,3.22740,-6.40000,-6.40000,2.32830,100.00000,-498.05790,-498.05800,-498.28920,-498.28920,0.02780,-37.11210,-37.11210,-13.86350,-37.11210,17.72260,-5.5796,-5.5968
2021-09-30,4.48400,4.48400,16.97300,4.18600,,-16.67500,-0.00700,-16.68200,-16.68200,-16.68200,-16.68200,-15.45500,-16.67500,3.26380,3.26380,-5.10000,-5.10000,2.82030,100.00000,-371.87770,-371.87770,-372.03380,-372.03380,0.02570,-21.67340,-21.67340,-9.55060,-21.67340,23.50880,-6.2302,-6.2302
2021-06-30,5.83800,5.83800,18.27100,4.33500,,-16.76800,0.00400,-16.76400,-16.76400,-16.76400,-16.76400,-15.62500,-16.76800,3.25060,3.25060,-5.20000,-5.20000,3.21200,100.00000,-287.22160,-287.22160,-287.15310,-287.15310,0.02980,-18.43660,-18.43660,-8.54530,-18.43660,27.85870,-20.3148,-20.3144
2021-03-31,9.00700,9.00700,16.21600,4.60400,-49.95400,-61.76700,0.04300,-61.72400,-61.72400,-61.72400,-61.72400,-60.64400,-61.76700,3.15790,3.15790,-19.50000,-19.50000,2.38670,100.00000,-685.76670,-685.76670,-685.28920,-685.28920,0.03450,-60.28910,-60.28910,-23.62040,-60.28910,31.56080,-5.72440,-5.73860
2020-12-31,7.49200,7.49200,15.06500,3.92400,,-11.49700,0.14000,-11.35700,-11.35700,-11.35700,-11.35700,-10.72400,-11.49700,2.50350,2.50350,-4.40000,-4.40000,2.70780,100.00000,-153.45690,-153.45690,-151.58840,-151.58840,0.04370,-21.09440,-21.09440,-6.61860,-21.09440,21.06950,-6.0534,-6.0771
2020-09-30,3.89300,3.89300,13.05700,4.42800,,-13.59200,0.28500,-13.30700,-13.30700,-13.30700,-13.30700,-12.93700,-13.59200,2.50820,2.50820,-5.30000,-5.30000,3.48840,100.00000,-349.13950,-349.13950,-341.81870,-341.81870,0.02120,-21.90740,-21.90740,-7.25890,-21.90740,24.04010,-5.4159,-5.6029
2020-06-30,2.76200,2.76200,11.92400,3.94500,,-13.10700,0.41500,-12.69200,-12.69200,-12.69200,-12.69200,-12.52500,-13.10700,2.49610,2.49610,-5.10000,-5.10000,4.47640,100.00000,-474.54740,-474.54740,-459.52210,-459.52210,0.01400,-17.65080,-17.65080,-6.43870,-17.65080,28.65690,15.0839,15.0238
2020-03-31,3.29700,3.29700,12.51900,3.91300,,-13.13500,0.58300,-12.55200,-12.55200,-12.55200,-12.55200,-12.57200,-13.13500,2.48250,2.48250,-5.10000,-5.10000,5.40430,100.00000,-398.39250,-398.39250,-380.70970,-380.70970,0.02030,-15.06950,-15.06950,-7.72450,-15.06950,33.39910,-7.05620,-7.05820
2019-12-31,2.23400,2.23400,12.70600,4.33200,,-14.80400,0.53600,-14.26800,-14.26800,-14.26800,-14.26800,-14.36300,-14.80400,2.17460,2.17460,-5.00000,-5.00000,6.69020,100.00000,-662.66790,-662.66800,-638.67490,-638.67490,0.01260,-15.14330,-15.14330,-8.07910,-15.14330,37.83180,13.6393,13.3092
