Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-1.95420,-1.95420,35.38920,33.43510,33.43510,33.43510,33.43510,-1.95420,-1.95420,8.62500,8.62500,1.86000,1.86000,2.16600,0.62680,303.70750,303.70720,25.91670,303.70750,1.27640,2.0754,2.0754
2024-06-30,-3.35580,-3.35580,2.45600,-0.89980,-0.89980,-0.89980,-0.89980,-3.35580,-3.35580,8.62500,8.62500,-0.05000,-0.05000,0.01350,-0.53490,3.35460,3.35460,-0.84090,3.35460,-3.11000,-0.981,-0.981
2024-03-31,-3.44080,-3.44080,7.99730,4.55650,4.55650,4.55650,4.55650,-3.44080,-3.44080,8.62500,8.62500,0.23000,0.23000,0.00780,-0.17940,-14.99860,-14.99860,3.51170,-14.99860,-3.52230,-0.03530,-0.03530
2023-12-31,-1.65280,-1.65280,4.81430,3.16160,3.16160,3.16160,3.16160,-1.65280,-1.65280,8.62500,8.62500,0.10000,0.10000,0.01770,-0.14360,-9.55670,-9.55670,2.47110,-9.55670,-3.83570,-0.06,-0.06
2023-09-30,-1.05850,-1.05850,-0.64870,-1.70720,-1.70720,-1.70720,-1.70720,-1.05850,-1.05850,8.62500,8.62500,-0.06000,-0.06000,0.01380,-0.10200,5.25160,5.25160,-0.82630,5.25160,-3.76900,-0.0543,-0.0543
2023-06-30,-2.88510,-2.88510,-0.86760,-3.75270,-3.75270,-3.75270,-3.75270,-2.88510,-2.88510,8.62500,8.62500,-0.14000,-0.14000,0.05810,-0.07380,13.84620,13.84620,-1.84620,13.84620,-3.14240,-0.0612,-0.0612
2023-03-31,-3.71030,-3.71030,1.59400,-2.11630,-2.11630,-2.11630,-2.11630,-3.71030,-3.71030,8.62500,8.62500,-0.05000,-0.05000,0.12190,-0.01760,10.62510,10.62510,-1.05860,10.62510,-2.30930,-0.03670,-0.03670
2022-12-31,-0.78260,-0.78260,3.82050,3.03800,3.03800,3.03800,3.03750,-0.78260,-0.78260,8.62500,8.62500,0.08000,0.08000,0.83210,,-21.94600,-21.94600,0.84850,-21.94600,-1.60500,-0.0115,-0.0115
2022-09-30,-0.86070,-0.86070,3.65530,2.79470,2.79470,2.79470,2.79470,-0.86070,-0.86070,8.62500,8.62500,0.06000,0.06000,1.71480,,-20.10050,-20.10050,0.78670,-20.10050,-1.61200,-0.0369,-0.0369
2022-06-30,-0.36520,-0.36520,5.60740,5.24220,5.24220,5.24220,5.24270,-0.36520,-0.36520,8.62500,8.62500,0.12000,0.12000,5.25810,,-35.90990,-35.90990,1.48040,-35.90990,-1.69260,-0.037,-0.037
2022-03-31,-0.39680,-0.39680,16.28840,15.89170,15.89170,15.89170,15.89170,-0.39680,-0.39680,8.62500,8.62500,0.37000,0.37000,4.49200,,-80.09490,-80.09490,4.48760,-80.09490,-2.30040,-0.16430,-0.16430
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,,,,0.00000,,0.00000,,,,,,,0.00000,,,,,,,,0,0
