Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2946.29800,2240.15900,706.13920,224.52300,-292.10600,516.62900,189.51030,17.94800,207.45800,67.57600,139.88200,,151.14600,148.96000,189.51030,189.51030,522.48000,530.19000,0.28000,0.28000,1.20520,,0.13800,23.96700,6.43210,6.43210,7.04130,5.05580,0.29760,3.39770,22.94950,3.92170,2.71060,3.88480,1.52650,2.71060,10.86280,0,0
2024-06-30,3698.14700,2825.56600,872.58110,225.85400,-339.53300,565.38700,307.19410,9.70700,316.90100,55.81900,261.08200,,267.57700,265.74400,307.19410,307.19410,543.55000,553.67500,0.49000,0.48000,1.28340,,0.06260,23.59510,8.30670,8.30670,8.56920,7.18590,0.39730,4.92080,28.66710,3.13950,4.89790,6.89970,2.87440,4.89790,10.24110,0,0
2024-03-31,3828.91000,2922.36900,906.54100,224.36300,-299.96400,524.32700,382.21410,27.64100,409.85500,85.77000,324.08500,,325.18400,320.86000,382.21410,382.21410,542.29500,554.56500,0.59000,0.58000,1.24810,,0.06400,23.67620,9.98230,9.98230,10.70420,8.37990,0.39260,5.00620,28.53920,3.15360,6.04010,8.47080,3.33420,6.04010,9.92640,0.00000,
2023-12-31,4920.77900,3750.72400,1170.05500,263.54600,-387.85900,651.40600,518.64890,16.08300,534.73200,109.24900,425.48290,,422.01510,417.68900,518.64890,518.64890,553.48000,562.76000,0.75600,0.75200,1.22650,,0.03700,23.77780,10.54000,10.54000,10.86680,8.48830,0.48310,4.71760,44.60780,2.01760,7.77040,10.95960,4.14290,7.77040,10.01480,3.6077,3.1151
2023-09-30,3120.32100,2382.72100,737.60010,246.82600,-280.56800,527.39400,210.20630,5.10000,215.30600,50.00500,165.30100,,168.66300,165.61000,210.20630,210.20630,542.32000,552.08100,0.31000,0.30000,1.15110,,0.02250,23.63860,6.73670,6.73670,6.90010,5.30750,0.36580,4.20970,29.22440,3.07960,3.50300,5.09180,1.97740,3.50300,8.88640,0,0
2023-06-30,3844.73100,2989.44400,855.28690,255.90200,-335.08800,590.99000,264.29690,66.75500,331.05200,46.75800,284.29400,,291.07900,289.25100,264.29690,264.29690,550.26500,559.10000,0.53000,0.52000,1.14480,,0.01510,22.24570,6.87430,6.87430,8.61050,7.52330,0.46090,5.31120,38.86310,2.31580,6.26090,8.54460,3.48950,6.26090,8.58180,0,0
2023-03-31,4009.60800,3149.83700,859.77100,274.41400,-296.21800,570.63200,289.13890,36.41100,325.55000,56.80900,268.74100,,273.37200,270.65300,289.13890,289.13890,579.65400,588.06300,0.47000,0.46000,1.21320,,0.02970,21.44280,7.21120,7.21120,8.11920,6.75010,0.46490,5.33370,46.03670,1.95500,5.58280,7.52620,3.16990,5.58280,8.69660,0.00000,
2022-12-31,4271.88000,3336.36100,935.51980,278.40510,-310.12800,588.53300,346.98630,83.88900,430.87600,127.21500,303.66100,,312.93190,311.79300,346.98630,346.98660,636.17520,640.78650,0.49600,0.50600,1.18260,,0.07890,21.89950,8.12260,8.12260,10.08630,7.29870,0.45000,4.17190,51.81740,1.73690,6.33450,8.51670,3.29640,6.33450,8.43160,2.3802,1.8399
2022-09-30,3038.58200,2380.24600,658.33590,231.13800,-267.31500,498.45300,159.88310,113.97900,273.86200,37.45200,236.41000,,237.13500,237.08400,159.88310,159.88310,618.59200,623.70000,0.38000,0.38000,1.29770,,0.03980,21.66590,5.26180,5.26180,9.01280,7.80250,0.37200,3.63220,58.03470,1.55080,4.95350,6.48650,2.90280,4.95350,7.84500,0,0
2022-06-30,3663.01700,2912.90200,750.11500,261.37800,-299.38700,560.76500,189.35010,51.27500,240.62500,44.29900,196.32600,,192.16300,191.53100,189.35010,189.35010,645.75000,649.67000,0.30000,0.29000,1.29220,,0.05210,20.47810,5.16920,5.16920,6.56900,5.22880,0.40910,3.75390,75.68060,1.18920,3.76750,4.92980,2.14630,3.76750,8.02470,0,0
