Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.23000,0.30600,-0.07600,1.70100,1.72100,-0.08300,3.50500,-3.58100,0.16900,-3.41200,-3.41200,-3.41200,-3.41200,-3.53100,-3.58100,6.83420,6.83420,-0.50000,-0.50000,0.81090,,-33.04350,-1556.95600,-1556.95600,-1483.47800,-1483.47800,0.05820,0.41520,1.51320,59.47830,-786.19240,-786.17500,-86.37980,-786.17510,0.05580,-0.5207,-0.5299
2024-06-30,0.04600,0.12200,-0.07600,2.43900,2.40500,0.26900,4.57500,-4.65100,0.39300,-4.25800,-4.25800,-4.25800,-4.25800,-4.60100,-4.65100,6.53920,6.53920,-0.65000,-0.65000,1.48620,,-165.21740,-10110.87000,-10110.87000,-9256.52100,-9256.52100,0.00640,0.21940,0.71870,125.21740,-141.55460,-141.55580,-59.28710,-141.55590,0.45890,-0.8072,-0.8158
2024-03-31,0.06400,0.10900,-0.04500,2.34900,2.70800,-1.56300,6.62000,-6.66500,0.06600,-6.59900,-6.59900,-6.59900,-6.59900,-6.61700,-6.66500,5.96120,5.96120,-1.11000,-1.11000,2.09830,,-70.31250,-10414.06000,-10414.06000,-10310.94000,-10310.94000,0.00490,0.17500,2.37040,37.96880,-92.21630,-92.21630,-50.40480,-92.21630,1.17590,-0.85100,-0.85120
2023-12-31,0.09120,0.00910,0.08210,2.39160,2.28690,-0.00040,4.67880,-4.59670,-0.00800,-4.60480,-4.60480,-4.60480,-4.60480,-4.54750,-4.59670,4.66360,4.66360,-0.78000,-0.78000,3.24760,,90.03880,-5041.17300,-5041.17500,-5049.96700,-5049.96700,0.00550,0.02110,0.89400,100.67560,-40.04830,-40.04840,-27.61310,-40.04840,2.10160,-0.7852,-0.805
2023-09-30,0.16900,0.04800,0.12100,2.46000,2.47300,-0.26900,5.20200,-5.08100,0.96700,-4.11400,-4.11400,-4.11400,-4.11400,-5.03300,-5.08100,4.76220,4.76220,-0.86000,-0.86000,4.66350,,71.59760,-3006.50900,-3006.50900,-2434.32000,-2434.32000,0.00860,0.24050,1.40600,64.01080,-27.35440,-27.35440,-20.99500,-27.35440,2.97990,-0.7787,-0.7878
2023-06-30,0.11700,0.08300,0.03400,2.88000,3.19200,-0.09000,6.16200,-6.12800,2.13300,-3.99500,-3.99500,-3.99500,-3.99500,-6.08400,-6.12800,4.56210,4.56210,-0.88000,-0.88000,4.56010,,29.05980,-5237.60700,-5237.60700,-3414.53000,-3414.53000,0.00500,0.46950,0.69610,129.29540,-22.31970,-22.31970,-16.96970,-22.31970,3.88940,-1.2457,-1.2569
2023-03-31,0.09700,0.13900,-0.04200,3.07900,3.17300,0.00000,6.25200,-6.29400,-0.35900,-6.65300,-6.65300,-6.65300,-6.65300,-6.24800,-6.29400,4.07040,4.07040,-1.63000,-1.63000,3.96850,,-43.29900,-6488.65900,-6488.65900,-6858.76200,-6858.76200,0.00330,1.94140,0.96100,93.65100,-31.10520,-31.10520,-22.68810,-31.10520,4.69920,-1.31780,-1.31780
2022-12-31,0.17920,0.38290,-0.20370,2.87490,3.11470,-0.16490,6.15460,-6.35830,0.21840,-6.13990,-6.13990,-6.13990,-6.13990,-6.31310,-6.35830,3.87430,3.87430,-1.64000,-1.64000,7.11990,,-113.67060,-3548.38000,-3548.37900,-3426.52500,-3426.52500,0.00600,3.61810,1.25000,72.00130,-24.91300,-24.91300,-20.63640,-24.91300,6.24370,-1.2454,-1.2552
2022-09-30,0.22320,0.42010,-0.19690,2.88580,3.02500,0.00000,5.91080,-6.10770,0.14280,-5.96490,-5.96490,-5.96490,-5.96490,-6.40560,-6.10770,3.87980,3.87980,-1.54000,-1.54000,8.46910,,-88.19810,-2736.41900,-2736.41900,-2672.42300,-2672.42300,0.00650,2.55470,0.91730,98.11250,-20.38750,-20.38750,-17.31120,-20.38750,7.52870,-1.3666,-1.3703
2022-06-30,0.23300,0.27140,-0.03840,3.20990,3.18300,-0.63340,7.02640,-7.06480,0.04700,-7.01770,-7.01770,-7.01770,-7.01770,-6.82270,-7.06480,3.85630,3.85630,-1.80000,-1.80000,9.37130,,-16.48830,-3032.47900,-3032.47900,-3012.28400,-3012.28400,0.00580,5.20360,1.10790,81.23530,-20.37720,-20.37720,-17.53380,-20.37720,8.89160,-1.8363,-1.8538
