Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,499.46300,237.99000,261.47300,7.58000,189.98900,228.26300,33.21000,-77.09000,-43.88000,-166.46600,122.58600,122.58600,-261.05800,-138.47200,50.78900,33.21000,180.24200,183.83800,-0.77000,-0.75000,0.88220,1.33840,-4.06410,52.35080,6.64910,6.64910,-8.78540,-27.72420,0.13690,3.32190,0.67570,133.20300,-23.62520,-9.62840,3.36060,7.99430,-2.86130,0.0656,0.0223
2024-06-30,793.17000,542.49010,250.67990,9.10800,220.00800,260.95890,-10.27910,-28.38500,-38.66400,-13.79700,-24.86700,-24.86700,,-24.86700,33.55390,-10.27910,178.69600,178.69600,-0.14000,-0.14000,0.95680,1.26140,-4.96000,31.60480,-1.29590,-1.29590,-4.87460,-3.13510,0.19450,7.09140,0.97200,92.58810,5.81160,2.05540,-0.60970,-1.51890,-2.38880,0.5203,0.4031
2024-03-31,830.50900,563.46300,267.04600,9.48100,216.19700,229.99310,37.05290,-27.37900,9.67400,12.55900,-2.88500,-2.88500,,-2.88500,80.99990,37.05290,176.99700,176.99700,-0.02000,-0.02000,0.97330,1.23300,-5.43940,32.15450,4.46150,4.46150,1.16480,-0.34740,0.20240,7.16120,0.97090,92.69990,0.73530,0.24450,-0.07030,-0.17130,-2.20830,-0.07080,-0.18350
2023-12-31,1152.29600,892.12400,260.17190,12.92300,249.84700,504.95600,-244.78420,-26.70800,-271.49200,-17.32500,-254.16700,-254.16700,30.33100,-223.83600,130.21480,-244.78420,175.64000,175.64000,-1.28000,-1.28000,1.08410,1.21450,-5.82250,22.57860,-21.24320,-21.24320,-23.56100,-19.42520,0.26970,14.14990,1.50760,59.69890,68.95920,22.62510,-5.94930,-14.78980,-2.08980,0.5295,0.2223
2023-09-30,503.03300,248.02500,255.00800,7.71500,182.74400,204.40100,50.60700,-23.68000,26.92700,9.11500,17.81200,17.81200,-30.33100,-12.51900,-16.86200,50.60700,176.09900,180.36900,-0.07000,-0.07000,0.98600,1.06330,-17.25000,50.69410,10.06040,10.06040,5.35290,-2.48870,0.11370,2.96040,0.59520,151.20730,-14.23720,-1.56710,0.40270,0.90120,-0.70950,0.1492,0.1817
2023-06-30,776.48100,532.62500,243.85600,10.27400,222.54900,373.86500,-130.00900,-20.94100,-150.95000,-9.41500,-141.53500,-141.53500,,-141.53500,30.75800,-130.00900,175.69500,175.69500,-0.81000,-0.81000,0.86970,1.04170,-28.47880,31.40530,-16.74340,-16.74340,-19.44030,-18.22780,0.17550,5.74050,0.91990,97.83770,187.49560,12.89200,-3.19970,-7.82260,-0.42940,0.0011,-0.1457
2023-03-31,834.53800,571.51700,263.02100,10.49300,242.12000,256.21200,6.80900,-17.79600,-10.98700,-3.25000,-7.73700,-7.73700,,-7.73700,48.82400,6.80900,174.62600,174.62600,-0.04000,-0.04000,0.88360,0.96960,36.23790,31.51700,0.81590,0.81590,-1.31650,-0.92710,0.18420,6.07890,0.99090,90.82220,-12.90280,0.71390,-0.17080,-0.39260,0.34140,-0.22740,-0.39160
2022-12-31,908.69090,634.47910,274.21190,11.25700,226.57100,243.87090,30.34090,-22.92400,7.41700,1.12100,6.29600,6.29600,,6.29600,71.34190,30.34090,173.91200,177.25200,0.04000,0.04000,1.04060,0.97280,36.35870,30.17660,3.33900,3.33900,0.81620,0.69290,0.19170,7.57860,0.99060,90.85460,10.38040,-0.58070,0.13280,0.28190,0.34850,0.9406,0.787
2022-09-30,830.91400,580.41900,250.49500,9.81200,209.57600,223.65200,26.84300,-16.71400,10.12900,4.64200,5.48700,5.48700,,5.48700,69.87500,26.84300,173.84700,176.96600,0.03000,0.03000,1.06960,1.00380,-267.84660,30.14690,3.23050,3.23050,1.21900,0.66040,0.18090,6.45300,0.95870,93.87280,-66.29820,-0.48400,0.11950,0.25150,-0.04760,-0.206,-0.3945
2022-06-30,871.49500,610.10410,261.39090,11.25400,226.63800,242.11600,19.27490,-21.96500,-2.69000,-7.02600,4.33600,4.33600,,4.33600,64.25090,19.27490,173.49000,176.96900,0.02000,0.02000,1.08470,0.98030,50.26770,29.99340,2.21170,2.21170,-0.30870,0.49750,0.18630,7.36870,1.03480,86.97140,9.82020,-0.39450,0.09270,0.19370,0.25440,0.1989,0.0208
