Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,14.31700,5.32000,-19.63700,1.92000,-17.71700,-17.71700,-17.71700,-17.71700,-19.21300,-19.63700,14.72900,14.72900,-1.20000,-1.20000,9.38790,0.00340,0.00660,-11.78300,-11.78300,-10.50100,-11.74290,10.19810,4.8895,4.8791
2024-06-30,7.07400,4.34700,-11.42100,-1.25000,-12.67100,-12.67100,-12.67100,-12.67100,-11.42100,-11.42100,2.92000,2.92000,-4.34000,-4.34000,7.20700,0.00380,0.00670,-7.61630,-7.61630,-6.53450,-7.58720,11.29140,-7.5896,-7.5896
2024-03-31,0.68300,7.25800,-7.94100,1.13300,-6.80800,-6.80800,-6.80800,-6.80800,-7.94100,-7.94100,44.79100,44.79100,-0.15000,-0.15000,26.17210,,,-7.66330,-7.66330,-7.37210,-7.66330,1.97940,-0.16900,-0.16900
2023-12-31,13.46700,12.23500,56.15700,1.84300,58.00000,57.62300,57.62300,57.62300,55.66900,56.15700,44.32700,44.56800,16.97000,16.97000,0.75530,-0.01050,-0.01600,-68.08330,-68.08330,146.25500,-68.79540,-32.13210,20.5868,22.6693
2023-09-30,8.13400,1.98000,-10.11400,0.06000,-10.05400,-10.05400,-10.05400,-10.05400,-9.74300,-10.11400,1.31900,1.31900,-7.62000,-7.62000,14.44240,,,-9.77460,-9.77460,-9.09680,-9.77460,2.30840,-5.2894,-5.2823
2023-06-30,8.76600,1.86500,-10.63100,0.17600,-10.45500,-10.45500,-10.45500,-10.45500,-10.22500,-10.63100,1.22900,1.22900,-8.51000,-8.51000,11.04620,,,-8.56710,-8.56710,-7.81190,-8.56710,2.75430,-16.2546,-16.4351
2023-03-31,17.33300,7.88700,-25.22000,0.26300,-24.95700,-24.95700,-24.95700,-24.95700,-24.89200,-25.22000,44.03700,44.03700,-0.57000,-0.57000,5.40250,0.22470,0.28970,-47.09040,-47.09050,-30.06690,-36.51140,1.20210,-0.46060,-0.46080
2022-12-31,18.13700,7.12000,-25.25700,0.22300,-25.03400,-25.03400,-25.03400,-25.03400,-24.92200,-25.25700,43.73900,43.73900,-0.58000,-0.58000,7.62170,0.16850,0.20270,-33.21480,-33.21480,-24.08300,-27.61730,1.71620,-0.5426,-0.5426
2022-09-30,15.91900,7.06600,-22.98500,0.01600,-22.96900,-22.96900,-22.96900,-22.96900,-22.63300,-22.98500,43.77300,43.77300,-0.52000,-0.52000,7.79600,0.13420,0.15500,-23.41620,-23.41630,-17.73710,-20.27360,2.24090,-0.3727,-0.3746
2022-06-30,18.87700,8.89700,-27.77400,-0.28000,-28.05400,-28.05400,-28.05400,-28.05400,-27.42000,-27.77400,43.69600,43.69600,-0.64000,-0.64000,11.11310,0.11320,0.12760,-23.70570,-23.70570,-19.18300,-21.02260,2.70830,-0.6661,-0.6695
2022-03-31,19.25300,10.16500,-29.41800,-0.41500,-29.83300,-29.83300,-29.83300,-29.83300,-29.01900,-29.41800,43.69500,43.69500,-0.68000,-0.68000,9.97790,0.09500,0.10490,-20.83850,-20.83850,-17.01410,-18.85980,3.27630,-0.64110,-0.64190
2021-12-31,19.00000,8.96200,-27.96200,-0.26500,-28.22700,-28.22700,-28.22700,-28.22700,-27.52600,-27.96200,42.85400,42.85400,-0.64000,-0.64000,10.27260,0.08100,0.08820,-16.65550,-16.65550,-13.84780,-15.30580,3.88240,-0.634,-0.6544
2021-09-30,23.04300,9.57700,-32.62000,0.00700,-32.61300,-32.61300,-32.61300,-32.61300,-32.24600,-32.62000,43.62300,43.62300,-0.75000,-0.75000,9.28570,,,-16.84830,-16.84830,-15.06700,-16.84830,4.43640,-0.5406,-0.546
2021-06-30,22.54400,8.83100,-31.37500,-0.01200,-31.38700,-31.38700,-31.38700,-31.38700,-31.07700,-31.37500,42.51000,42.51000,-0.74000,-0.74000,13.77450,,,-14.20280,-14.20280,-13.18260,-14.20280,4.74000,-0.4559,-0.4847
2021-03-31,18.52700,8.35700,-26.88400,-0.01500,-26.89900,-26.89900,-26.89900,-26.89900,-26.59300,-26.88400,41.61800,41.61800,-0.65000,-0.65000,18.95870,,,-11.54810,-11.54810,-10.93850,-11.54810,5.57700,-0.65690,-0.65970
2020-12-31,19.58700,8.47700,-28.06400,-0.06700,-28.13100,-28.13100,-28.13100,-28.13100,-27.75500,-28.06400,36.20600,36.20600,-0.73000,-0.73000,16.08540,,,-11.06020,-11.06020,-10.37150,-11.06020,6.11860,-0.8544,-0.8568
2020-09-30,28.50900,8.20900,-36.71800,-0.06200,-36.78000,-36.78000,-36.78000,-36.78000,-36.40400,-36.71800,36.44400,36.44400,-1.01000,-1.01000,9.14040,,,-17.69360,-17.69360,-15.76820,-17.69360,5.70310,-0.671,-0.6716
