Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,66.09900,16.81000,49.28900,6.08000,,20.01500,29.27400,-7.66800,21.60600,21.60600,21.60600,21.60600,29.27400,29.27400,208.79600,208.79600,0.10000,0.10000,0.79450,0.26240,0.54340,74.56850,44.28810,44.28810,32.68730,32.68730,0.07670,0.70290,2.89840,31.05120,4.10880,4.10880,2.50700,3.03080,2.51850,0.1569,0.1479
2024-03-31,60.57200,15.51900,45.05300,7.85400,,21.99000,23.06300,-8.00700,15.05600,15.05600,15.05600,15.05600,23.06300,23.06300,208.79600,208.79600,0.07000,0.07000,0.76650,0.26650,0.55550,74.37930,38.07540,38.07540,24.85640,24.85640,0.06960,0.62060,2.71340,33.16830,,2.84760,1.73110,2.08860,2.53230,0.18000,0.17910
2023-12-31,188.76100,145.02600,43.73500,5.85600,,19.13500,24.60000,-6.97600,17.62400,17.50400,17.50400,17.50400,24.60000,24.60000,208.79600,208.81100,0.08000,0.08000,1.54530,0.33380,0.56030,23.16950,13.03240,13.03240,9.33670,9.27310,0.21470,4.65080,7.18080,12.53350,3.25170,3.25170,1.99090,2.16630,2.57810,0.064,-0.2865
2023-09-30,48.03600,14.60700,33.42900,6.29200,,18.96100,14.46800,-6.98100,7.48700,7.48700,7.48700,7.48700,14.46800,14.46800,208.79600,208.79600,0.04000,0.04000,1.80620,0.30080,0.47880,69.59160,30.11910,30.11910,15.58620,15.58620,0.05740,0.65820,2.18740,41.14410,,1.40480,0.89520,0.98220,2.55240,0.1291,0.1284
2023-06-30,67.79600,15.92200,51.87400,5.00200,,17.72800,34.14600,-7.33700,26.80900,26.80900,26.80900,26.80900,34.14600,34.14600,208.79600,208.79600,0.13000,0.13000,1.81740,0.29930,0.50500,76.51480,50.36580,50.36580,39.54360,39.54360,0.07680,0.68530,2.46220,36.55300,,4.85670,3.03790,3.40310,2.64370,-0.1932,0.1581
2023-03-31,87.09400,13.95500,73.13900,5.74000,,18.46300,54.67600,-7.76500,46.91100,46.91100,46.91100,46.91100,54.67600,54.67600,208.79600,208.79600,0.22000,0.22000,0.95690,0.22460,0.51240,83.97710,62.77820,62.77820,53.86250,53.86250,0.10090,0.54330,3.28890,27.36460,,8.43690,5.43590,6.54200,2.66300,0.66790,0.31500
2022-12-31,241.68700,185.73300,55.95400,5.16100,0.83200,17.06200,38.89200,-2.83500,36.05500,36.03200,36.03200,36.03200,38.89200,38.89200,202.03300,202.03300,0.18000,0.18000,1.97010,0.33030,0.56680,23.15140,16.09190,16.09190,14.91810,14.90850,0.27470,7.30370,11.80460,7.62420,6.67280,6.67280,4.09510,4.46870,2.58620,0.1988,0.2732
2022-09-30,47.38200,14.82900,32.55300,4.28200,,16.58100,15.97200,-5.96400,10.00900,10.00900,10.00900,10.00900,15.97200,15.97200,206.90500,206.90500,0.05000,0.05000,1.79440,0.35810,0.64750,68.70330,33.70900,33.70900,21.12410,21.12410,0.05370,0.54750,1.83020,49.17500,,1.94800,1.13490,1.25040,2.46080,-0.0099,0.071
2022-06-30,34.75000,16.71300,18.03700,3.73400,0.12700,16.12200,1.91500,-5.87000,-3.95400,-3.95400,-3.95400,-3.95400,1.91500,1.91500,201.03800,201.03800,-0.02000,-0.02000,1.52680,0.38690,0.71500,51.90500,5.51080,5.51080,-11.37840,-11.37840,0.03860,0.49080,3.05170,29.49150,,-0.79730,-0.43970,-0.48880,2.44680,-0.1957,-0.3469
2022-03-31,15.52100,16.67000,-1.14900,5.62100,-1.27300,19.76800,-20.91700,-6.06900,-26.98600,-26.98600,-26.98600,-26.98600,-20.91700,-20.91700,191.14500,191.14500,-0.14000,-0.14000,1.52250,0.34850,0.61460,-7.40290,-134.76580,-134.76580,-173.86770,-173.86770,0.01870,0.73170,1.84330,48.82420,,-5.48740,-3.25480,-3.57490,2.48700,0.12630,0.05120
2021-12-31,150.88800,144.49800,6.39000,4.35600,-51.90500,72.53900,-66.14900,-6.73700,-72.88600,-72.94500,-72.94500,-72.94500,-66.14900,-66.14900,162.54960,162.54960,-0.44000,-0.44000,1.58340,0.36260,0.64420,4.23490,-43.83980,-43.83980,-48.30470,-48.34380,0.17730,6.92270,16.09640,5.59130,-14.64100,-14.64100,-8.57020,-9.33240,2.71220,-0.055,0.0133
