Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-07-31,61.09200,28.78200,32.31000,27.25000,44.63700,,71.88700,-39.57700,1.80600,-37.77100,0.89700,-38.66800,-38.66800,-38.66800,-26.43200,-39.57700,290.36400,290.36400,-0.13000,-0.13000,2.33920,52.88750,-64.78260,-64.78260,-61.82640,-63.29470,0.09280,1.39080,64.71130,-8.17080,-12.65660,-5.87350,-8.17080,1.61260,-0.027,-0.0839
2024-04-30,60.44000,28.75700,31.68300,25.58900,40.66500,,66.25400,-34.57100,5.72000,-28.85100,0.44200,-29.29300,-29.29300,-29.29300,-21.46800,-34.57100,288.26900,288.26900,-0.10000,-0.10000,2.73740,52.42060,-57.19890,-57.19890,-47.73500,-48.46630,0.08960,1.56880,57.36980,-5.85480,-8.82820,-4.34230,-5.85480,1.72090,-0.01490,-0.05430
2024-01-31,58.85200,26.37100,32.48100,28.41000,37.98900,,66.39900,-33.91800,3.40300,-30.51500,-0.42900,-30.08600,-30.08600,-30.08600,-22.31200,-33.91800,279.58600,279.58600,-0.10000,-0.10000,2.70880,55.19100,-57.63270,-57.63270,-51.85040,-51.12150,0.08380,1.35850,66.24750,-5.80790,-8.61290,-4.28580,-5.80790,1.79070,-0.027,-0.0649
2023-10-31,55.38000,29.35000,26.03000,33.00200,40.88600,,73.88800,-47.85800,10.20900,-37.64900,0.35500,-38.00400,-38.00400,-38.00400,-34.23300,-47.85800,284.19800,284.19800,-0.13000,-0.13000,2.95520,47.00250,-86.41750,-86.41750,-67.98300,-68.62410,0.07760,1.22670,73.36670,-7.12220,-10.25830,-5.32630,-7.12220,1.86880,-0.078,-0.1056
2023-07-31,53.76100,27.46900,26.29200,26.74100,42.83100,,69.57200,-43.28000,5.88700,-37.39300,0.58200,-37.97500,-37.97500,-37.97500,-31.12000,-43.28000,275.05300,275.05300,-0.14000,-0.14000,3.68020,48.90530,-80.50450,-80.50450,-69.55410,-70.63670,0.07460,1.33240,67.54730,-7.03800,-9.21830,-5.27130,-7.03800,1.94830,0.036,-0.0243
2023-04-30,52.70300,24.55600,28.14700,28.18600,44.65300,,72.83900,-44.69200,10.55500,-34.13700,0.30700,-34.44400,-34.44400,-34.44400,-34.44400,-44.69200,272.34800,272.34800,-0.13000,-0.13000,3.89070,53.40680,-84.79970,-84.79970,-64.77240,-65.35490,0.07280,1.34890,66.72260,-6.15790,-7.96210,-4.76100,-6.15790,2.04370,-0.11240,-0.13830
2023-01-31,52.97500,23.91500,29.06000,31.83100,39.91800,,71.74900,-42.68900,4.78800,-37.90100,-0.06000,-37.84100,-37.84100,-37.84100,-33.35600,-42.68900,267.12700,267.12700,-0.14000,-0.14000,3.89060,54.85610,-80.58330,-80.58330,-71.54510,-71.43180,0.07040,1.36000,66.17610,-6.56840,-8.43680,-5.02720,-6.56840,2.11970,-0.0562,-0.0638
2022-10-31,49.70400,24.72800,24.97600,27.59800,40.01000,,67.60800,-42.63200,2.83500,-39.79700,0.43900,-40.23600,-40.23600,-40.23600,-31.84800,-42.63200,267.94800,267.94800,-0.15000,-0.15000,4.37470,50.24950,-85.77180,-85.77180,-80.06800,-80.95120,0.06650,1.71340,52.52720,-6.77180,-8.40830,-5.38470,-6.77180,2.20570,-0.1124,-0.1233
2022-07-31,48.45000,24.97700,23.47300,26.73700,39.37600,,66.11300,-42.64000,3.26500,-39.37500,0.15400,-39.52900,-39.52900,-39.52900,-31.05200,-42.64000,266.21200,266.21200,-0.15000,-0.15000,4.12250,48.44790,-88.00820,-88.00820,-81.26940,-81.58720,0.06310,1.85520,48.51270,-6.44170,-7.94800,-5.14770,-6.44170,2.29560,-0.0835,-0.0994
2022-04-30,40.12700,23.62800,16.49900,24.75000,39.46300,,64.21300,-47.71400,3.66800,-44.04600,0.31400,-44.36000,-44.36000,-44.36000,-36.08900,-47.71400,264.08900,264.08900,-0.17000,-0.17000,4.07310,41.11700,-118.90750,-118.90750,-109.76650,-110.54900,0.05040,1.63240,55.13220,-7.03340,-8.63230,-5.57290,-7.03340,2.37170,-0.02470,-0.03800
2022-01-31,37.14600,23.23000,13.91600,27.16300,43.95900,,121.02310,-107.10710,16.02540,-59.12470,1.28800,-80.79730,-95.57590,-115.70250,-95.62210,-57.20600,79.61100,79.61100,-1.48000,-1.48000,4.17690,37.46300,-288.34080,-154.00310,-159.16840,-311.48030,0.04520,0.83710,107.51010,-14.74380,-18.00500,-11.63520,-14.74380,2.47260,-0.0844,-0.0868
2021-10-31,31.70000,20.81100,10.88900,14.95900,24.24100,,39.20000,-28.31100,-12.83600,-41.14700,0.39400,-41.54100,-41.54100,-41.54100,-16.17800,-28.31100,47.13700,47.13700,-0.88000,-0.88000,,34.35020,-89.30920,-89.30920,-129.80130,-131.04420,,,,,,,,,-0.0444,-0.2296
2021-09-30,,,,,3.90790,-0.05000,,-3.95790,-2.67790,-6.63580,,-6.63580,-6.63580,-6.63580,-3.95790,-3.95790,8.62500,8.62500,-0.15000,-0.15000,0.12860,,,,,,,,,12.62930,12.62930,-1.91980,12.62930,-6.09200,-0.2236,-0.0968
2021-07-31,30.40600,19.82000,10.58600,12.43200,22.42100,,34.85300,-24.26700,4.07400,-20.19300,0.17000,-20.36300,-20.36300,-20.36300,-12.44100,-24.26700,46.20000,46.69400,-0.44000,-0.46000,,34.81550,-79.80990,-79.80990,-66.41120,-66.97030,,,,,,,,,0.1952,0.0684
2021-06-30,,,,,3.12160,-0.05000,,-3.17160,2.93520,-0.23640,,-0.23640,-0.23640,-0.23640,-3.17160,-3.17160,8.62500,8.62500,-0.03000,-0.03000,1.36970,,,,,,,,,-4.72750,-4.72750,-0.06830,-4.72750,0.36450,-0.4579,-0.4007
2021-04-30,31.95700,19.12600,12.83100,12.13000,18.96800,,31.09800,-18.26700,-10.73000,-28.99700,0.25800,-29.25500,-29.25500,-29.25500,-6.03300,-18.26700,45.72200,45.72200,-0.64000,-0.64000,,40.15080,-57.16120,-57.16120,-90.73760,-91.54490,,,,,,,,,0.08490,0.02770
2021-03-31,,,,,0.27290,-0.05010,,-0.32290,-14.22640,-14.54930,,-14.54930,-14.54930,-14.54930,-0.32290,-0.32290,7.77800,7.77800,-0.06000,-0.06000,3.37220,,,,,,,,,-290.98600,-290.98630,-4.19870,-290.98590,0.36520,-0.03360,-0.03360
2021-01-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-10-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2020-01-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
