Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.98500,4.10100,-2.11600,2.66700,5.37800,,8.04500,-10.16100,0.04400,-10.11700,-10.11700,-10.11700,-10.11700,-10.10200,-10.16100,17.89260,17.89260,-0.57000,-0.57000,0.40050,,-1.01810,-106.59950,-511.88920,-511.88920,-509.67250,-509.67250,0.10980,1.07220,0.97640,92.17630,86.39650,86.39630,-55.95070,86.39630,-0.62420,-0.0343,-0.0343
2024-06-30,1.95200,2.69300,-0.74100,3.36100,5.47300,,8.83400,-9.57500,0.61200,-8.96300,-8.96300,-8.96300,-8.96300,-9.51300,-9.57500,14.09540,14.09540,-0.64000,-0.64000,0.59620,,-1.99850,-37.96110,-490.52260,-490.52260,-459.17010,-459.17010,0.08990,0.52100,1.50500,59.80020,151.96650,151.96680,-41.26420,151.96680,-0.33910,0.8086,0.8086
2024-03-31,2.06100,4.20200,-2.14100,3.72100,6.73800,,10.45900,-12.60000,-0.93400,-13.53400,-13.53400,-13.53400,-13.53400,-12.53600,-12.60000,5.09480,5.09480,-2.66000,-2.66000,0.27660,,-1.10310,-103.88160,-611.35370,-611.35370,-656.67150,-656.67150,0.08330,0.89980,1.29790,69.34500,35.82980,35.82980,-54.67180,35.82980,-6.85250,-2.29310,-2.29310
2023-12-31,1.67900,2.57400,-0.89500,3.16900,5.25500,,8.42400,-9.31900,-1.02100,-10.34000,-10.34000,-10.34000,-10.34000,-9.24500,-9.31900,2.61000,2.61000,123.87000,123.87000,0.44860,,-1.47250,-53.30560,-555.03290,-555.03290,-615.84310,-615.84290,0.04830,0.53410,1.18240,76.11680,36.88120,36.88120,-29.71520,36.88120,-6.90820,-9.795,-9.8315
2023-09-30,1.47200,3.92500,-2.45300,2.66300,5.98000,-2.51100,11.15400,-13.60700,-1.81800,-15.42500,-15.42500,-15.42500,-15.42500,-13.34500,-13.60700,4.47730,4.47730,-3.45000,-3.45000,0.59280,,-2.12660,-166.64400,-924.38860,-924.38860,-1047.89400,-1047.89400,0.03400,0.91680,1.29240,69.64000,80.18840,80.18820,-35.63920,80.18820,-4.90910,22.6521,22.804
2023-06-30,1.96400,4.86900,-2.90500,3.85000,6.29600,,10.14600,-13.05100,6.70400,-6.34700,-6.34700,-6.34700,-6.34700,-12.78400,-13.05100,0.80920,0.80920,-7.84000,-7.84000,0.36140,,-1.38840,-147.91240,-664.51120,-664.51120,-323.16700,-323.16700,0.05290,1.12270,1.45590,61.81770,17.42580,17.42580,-17.09400,17.42580,-15.06020,63.6146,64.3058
2023-03-31,2.07800,3.99500,-1.91700,4.47100,7.29900,,11.77000,-13.68700,-4.27800,-17.96500,-17.96500,-17.96500,-17.96500,-13.43100,-13.68700,0.13630,0.13630,-131.77000,-131.77000,1.06150,225.71160,-1.00450,-92.25220,-658.66210,-658.66210,-864.53310,-864.53310,0.06350,0.80940,1.57070,57.30030,36.01210,36.01210,-54.88510,-8092.33800,-244.91780,-94.91470,-95.79490
2022-12-31,5.48300,3.63900,1.84400,4.65900,6.55400,,11.36400,-9.52000,-0.58300,-10.10300,-10.10300,-10.10300,-10.09900,-9.26500,-9.52000,0.05100,0.05100,68.51000,68.51000,1.91140,4.96710,-1.25210,33.63120,-173.62760,-173.62750,-184.26040,-184.18740,0.15970,0.84920,2.53490,35.50430,25.47720,25.47720,-29.43160,-101.07040,-515.00000,-321.9841,-323.5882
2022-09-30,3.67700,6.08500,-2.40800,6.37500,7.01700,,13.39200,-15.80000,-1.57500,-17.37500,-17.37500,-17.37500,-17.70500,-15.54000,-15.80000,0.06010,0.06010,-294.65000,-294.65000,2.63880,2.75580,-1.56950,-65.48820,-429.69810,-429.69810,-472.53200,-481.50660,0.08370,1.43450,2.33020,38.62390,54.86440,55.44210,-39.53180,-97.34440,-444.47130,19.3237,19.2871
2022-06-30,5.91100,5.08100,0.83000,8.02500,7.82400,,15.84900,-15.01900,-3.01100,-18.03000,-18.03000,-18.03000,-18.03400,-14.77300,-15.01900,0.03540,0.03540,-510.00000,-510.00000,1.87250,4.35200,-1.29830,14.04160,-254.08560,-254.08560,-305.02450,-305.09220,0.14920,0.89560,2.17240,41.42950,48.05570,48.05560,-45.52460,-161.08280,-945.29430,-264.9092,-269.0615
