Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.04840,1.87130,-0.64940,-2.56920,0.41340,-2.15580,-2.15580,-2.15580,-2.15580,-2.55880,-2.56920,57.27000,57.27000,-0.03670,-0.03670,0.07230,0.10640,0.82620,-4.49090,-4.49090,-2.03230,-4.01330,0.83690,-0.0378,-0.039
2024-06-30,0.05920,1.54840,-0.89000,-2.49750,-1.72010,-4.21760,-4.21760,-4.21760,-4.21760,-2.48670,-2.49750,57.19850,57.19850,-0.07310,-0.07310,0.10790,0.09330,0.79350,-8.24320,-8.24320,-3.89560,-7.47440,0.89450,-0.0474,-0.0433
2024-03-31,0.04670,1.46780,-0.96440,-2.47890,-6.54200,-9.02090,-9.02090,-9.02090,-9.02090,-2.46850,-2.47890,56.06600,56.06600,-0.16310,-0.16310,0.13950,0.06960,0.71110,-16.34230,-16.34230,-8.14880,-15.20480,0.96510,-0.05420,-0.06170
2023-12-31,0.06330,1.18640,0.17140,-1.07830,-32.76270,-33.84100,-33.84100,-33.84100,-33.84100,-1.06810,-1.07830,43.43100,43.43100,-0.75130,-0.49100,0.66260,0.34860,0.53510,-54.84130,-54.84130,-30.72240,-35.72430,1.10490,-0.1211,-0.1277
2023-09-30,0.19300,1.40710,-1.50400,-3.10420,-3.76970,-6.87390,-6.87390,-6.87390,-6.87390,-3.09520,-3.10420,46.68700,46.68700,-0.14700,-0.14700,0.23830,0.02700,0.44940,-7.03270,-7.03270,-4.38550,-6.84300,1.75040,-0.2064,-0.2398
2023-06-30,0.20530,1.51810,-1.63780,-3.36120,12.28830,8.92710,8.92710,8.92710,8.92710,-3.35000,-3.36120,35.97200,56.63700,0.24550,-0.01490,0.34290,0.30400,0.43670,10.07410,10.07410,6.03190,7.01180,2.48670,-0.0455,0.0152
2023-03-31,0.05690,1.80810,-0.94990,-2.81490,-13.30190,-16.11680,-16.11680,-16.11680,-16.11680,-2.80380,-2.81490,35.56600,35.56600,-0.45090,-0.45090,0.50850,0.36420,0.57280,-20.47790,-20.47790,-10.96920,-13.01990,2.22140,-0.02010,-0.27460
2022-12-31,,,,,,,,7.59800,7.59800,,,33.27400,33.27400,0.23000,0.23000,0.24980,0.03060,0.23440,7.80800,7.80800,5.26750,7.56900,,-0.3663,-1.4672
2022-09-30,,,,,,,,-5.84700,-5.84700,,,32.42600,32.42600,-0.18000,-0.18000,,,,,,,,,0,0
2022-06-30,,,,,,,,-5.90400,-5.90400,,,32.07000,40.86300,-0.18000,0.10000,,,,,,,,,0,0
2022-03-31,,,,,,,,-1.83900,-1.84000,,,31.03200,39.82500,-0.06000,0.03000,,,,,,,,,0.00000,
