Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6176.20100,3183.36000,2992.84100,1757.08400,1757.08400,1235.75700,,1235.75800,307.94330,927.81430,927.81430,907.94760,503.98700,503.98700,1.74790,1.74790,0.60450,2.45870,45.81530,33.66190,0.00520,2.25540,2.51870,0.17780,0.89210,80.75680,13.0534,13.0834
2024-06-30,6296.48000,3096.18500,3200.29500,1890.28800,1890.28800,1310.00700,,1310.00700,294.31710,1015.69000,1015.69000,997.83530,254.15300,254.15300,3.78840,3.78840,0.59960,2.49030,47.18290,35.93930,0.00550,2.51900,2.82160,0.19940,1.00870,,-5.398,-5.5829
2024-03-31,6692.77300,3499.69800,3193.07500,1760.67100,1760.67100,1432.40400,,1432.40400,354.14080,1078.26300,1078.26300,1028.63700,511.57900,511.57900,2.01040,2.01040,0.59870,2.46230,49.47010,35.52550,0.00510,2.37440,2.66520,0.18990,0.95280,,-1.93630,-2.00120
2023-12-31,6784.22900,3565.16800,3219.06200,2587.54200,2587.54200,631.51950,,631.51880,170.67760,460.84160,460.84160,402.37440,519.20800,519.20800,0.79280,0.79280,0.59150,2.45840,28.29050,18.02540,0.00400,1.02280,1.14970,0.08330,0.41780,87.87270,-7.3663,-7.4957
2023-09-30,6596.31700,3412.15400,3184.16300,1911.85800,1911.85700,1272.30600,,1272.30600,297.24560,975.05990,975.05990,912.90080,516.76100,516.76100,1.76800,1.76800,0.57770,2.35720,45.55040,32.68320,0.00510,2.16040,2.42890,0.17660,0.91230,,-9.3304,-9.4299
2023-06-30,6617.90000,3296.43300,3321.46800,1938.73400,1938.73400,1382.73300,,1382.73300,367.70880,1015.02400,1015.02400,955.38800,520.67700,520.67700,1.83600,1.83600,0.57070,2.22510,47.62060,32.90310,0.00540,2.26450,2.54840,0.18740,0.97220,,11.7967,11.6966
2023-03-31,6443.81000,3135.27800,3308.53200,1823.12200,1823.12100,1485.41000,,1485.41000,353.93600,1131.47400,1131.47400,1072.02700,525.14000,525.14000,2.04160,2.04160,0.56840,2.28680,44.89640,32.40190,0.00610,2.53490,2.85630,0.20920,1.09410,,5.71640,5.66750
2022-12-31,4808.81700,1770.70600,3038.11200,3757.20300,3757.20300,-719.09130,,-66.44810,-38.08470,-28.36330,-28.36330,-73.23730,530.63900,530.63900,-0.00960,-0.00960,0.60180,2.47540,-1.90290,-2.09730,0.00740,-0.07920,-0.08940,-0.00600,-0.03160,70.34660,12.6648,12.5039
2022-09-30,5577.21500,1404.02900,4173.18600,2657.16300,2657.16300,1516.02300,,1516.02300,383.55660,1132.46600,1132.46600,1064.67900,530.41000,530.41000,1.94740,1.94740,0.62280,2.70640,37.90270,26.61850,0.00820,3.18150,3.58410,0.23240,1.20000,,-4.0352,-4.1096
2022-06-30,5678.33000,1174.78600,4503.54300,3053.51000,3053.51000,1450.03400,,1450.03400,378.10560,1071.92800,1071.92800,1028.46200,530.65800,530.65800,1.93840,1.93840,0.61920,2.64090,34.33540,24.35300,0.00770,2.69610,3.04790,0.19610,1.02670,,0.4217,0.4232
