Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.55060,-0.55060,0.77470,0.22410,0.22410,0.22410,0.10130,-0.55060,-0.55060,3.25000,3.25000,0.03000,0.03000,0.00620,-0.30540,-4.57060,-4.57060,0.48860,-4.57060,-1.50870,-0.1141,-0.1141
2024-06-30,-0.37020,-0.37020,0.47870,0.10850,0.10850,0.10850,0.04900,-0.37020,-0.37020,3.25000,3.25000,0.02000,0.02000,0.01760,-0.26070,-2.50880,-2.50880,0.24060,-2.50880,-1.33090,-0.0852,-0.0852
2024-03-31,-0.64520,-0.64520,-0.09620,-0.74130,-0.74130,-0.74130,-0.33500,-0.64520,-0.64520,3.25000,3.25000,-0.10000,-0.10000,0.02600,-0.22880,19.93500,19.93490,-1.66960,19.93500,-1.14420,-0.13740,-0.13740
2023-12-31,-1.12240,-1.12240,-2.41280,-3.53520,-3.53520,-3.53520,-0.96750,-1.12240,-1.12240,3.25000,3.25000,-0.29000,-0.29000,0.00170,-0.17880,156.35600,156.35610,-8.10650,156.35600,-0.69570,-0.0951,-0.0951
2023-09-30,-0.36810,-0.36810,1.38230,1.01430,1.01430,1.01430,0.37250,-0.36810,-0.36810,3.25000,3.25000,0.11000,0.11000,0.43740,-0.43730,-147.84370,-147.84380,1.66020,-147.84370,-0.21110,-0.0025,-0.0025
2023-06-30,-0.29170,-0.29170,1.45270,1.16090,1.16090,1.16090,0.36640,-0.29170,-0.29170,3.25000,3.25000,0.11000,0.11000,0.63810,-0.05680,-21.96710,-21.96710,1.92400,-21.96710,-1.62610,-0.0805,-0.0805
2023-03-31,-0.36140,-0.36140,2.14730,1.78590,1.78590,1.78590,0.35720,-0.36140,-0.36140,3.25000,3.25000,0.11000,0.11000,1.71160,,-34.79350,-34.79350,1.30390,-34.79350,-1.57930,-0.05190,-0.05190
2022-12-31,-0.40180,-0.40180,2.27370,1.87200,1.87200,1.87200,-0.55330,-0.40180,-0.40180,3.25000,3.25000,0.01000,0.01000,2.61300,,-34.08910,-34.08900,1.37860,-34.08910,-1.68970,-0.0145,-0.0145
2022-09-30,-0.28610,-0.28610,-0.54950,-0.83560,-0.83560,-0.83560,-0.83560,-0.28610,-0.28610,3.25000,3.25000,-0.05000,-0.05000,5.30160,,13.38760,13.38750,-0.61960,13.38760,-1.92050,-0.033,-0.033
2022-06-30,-0.40590,-0.40590,2.01530,1.60940,1.60940,1.60940,1.60940,-0.40590,-0.40590,3.25000,3.25000,0.10000,0.10000,7.12620,,-33.50370,-33.50360,1.19650,-33.50370,-1.47800,-0.0484,-0.0484
2022-03-31,-0.25650,-0.25650,7.44340,7.18690,7.18690,7.18690,1.86940,-0.25650,-0.25650,3.25000,3.25000,0.58000,0.58000,14.79810,,-115.45160,-115.45180,5.33840,-115.45160,-1.91540,-0.25720,-0.25720
2021-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,-0.00140,-0.00140,,-0.00140,-0.00140,-0.00140,-0.00140,-0.00140,-0.00140,3.25000,3.25000,0.00000,0.00000,,,,,,,,0,0
