Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,372.48800,340.35900,32.12900,31.56200,-3.04500,34.60700,-2.47800,-0.06300,-2.54100,-2.54100,-2.54100,-2.58600,-2.12000,-2.47800,196.66800,196.66800,-0.01000,-0.01000,-0.66530,-0.66530,-0.68220,-0.69430,3.63500,-8.47280,-13.95460,-2.47970,-8.47280,0.15170,0.0289,0.0272
2024-06-30,340.77800,308.91000,31.86800,29.90400,-2.60800,32.51200,-0.64400,-0.46600,-1.11000,-1.11000,-1.11000,-1.21500,-0.30400,-0.64400,189.04600,189.04600,-0.01000,-0.01000,-0.18900,-0.18900,-0.32570,-0.35650,3.09350,-3.60070,-5.89230,-1.00760,-3.60070,,0.0818,0.0791
2024-03-31,200.74300,179.98400,20.75900,24.76500,-11.71200,36.47700,-15.71800,-0.37900,-16.09700,-16.09700,-16.09700,-16.09700,-15.39200,-15.71800,184.69200,184.69200,-0.09000,-0.09000,-7.82990,-7.82990,-8.01870,-8.01870,2.40190,-62.82000,-120.01940,-19.26010,-62.82000,,0.11630,0.11580
2023-12-31,181.34100,165.81000,15.53100,24.47100,-2.32500,26.79600,-11.26500,-0.72500,-11.99000,-11.99000,-11.99000,-11.96400,-10.96700,-11.26500,178.12700,178.12700,-0.07000,-0.07000,-6.21200,-6.21200,-6.61190,-6.59750,2.80940,-32.33200,-48.64300,-18.57530,-32.33200,0.20200,-0.0309,-0.032
2023-09-30,214.64000,195.86500,18.77500,20.81100,-1.93100,22.74200,-3.96700,0.02800,-3.93900,-3.93900,-3.93900,-4.02400,-3.69000,-3.96700,180.61100,180.61100,-0.02000,-0.02000,-1.84820,-1.84820,-1.83520,-1.87480,3.14910,-15.80590,-33.87220,-5.77910,-15.80600,,-0.0403,-0.0414
2023-06-30,185.33200,167.57300,17.75900,19.92000,-1.57900,21.49900,-3.74000,-0.23200,-3.97200,-3.97200,-3.97200,-4.11800,-3.45600,-3.74000,179.76400,179.76400,-0.02000,-0.02000,-2.01800,-2.01800,-2.14320,-2.22200,2.45000,-18.08580,-46.87280,-5.25080,-18.08580,,0.1309,0.1302
2023-03-31,107.84500,97.03700,10.80800,16.32200,-1.52400,17.84600,-7.03800,-0.27700,-7.31500,-7.31500,-7.31500,-7.39500,-6.76900,-7.03800,178.62900,178.62900,-0.04000,-0.04000,-6.52600,-6.52600,-6.78290,-6.85710,2.06410,-35.56840,-106.32260,-14.00050,-35.56840,,0.05190,0.05120
2022-12-31,96.11800,87.89800,8.22000,14.18200,-1.18100,15.36300,-7.14300,0.38400,-6.75900,-6.75900,-6.75900,-6.80900,-7.03500,-7.14300,178.20100,178.20100,-0.04000,-0.04000,-7.43150,-7.43150,-7.03200,-7.08400,2.19640,-30.15390,-80.03550,-15.44490,-30.15390,0.12460,-0.0197,-0.0225
2022-09-30,111.63300,103.05700,8.57600,11.74100,-1.14600,12.88700,-4.31100,-0.85800,-5.16900,-5.16900,-5.16900,-5.24700,-4.22400,-4.31100,179.46600,179.46600,-0.03000,-0.03000,-3.86180,-3.86180,-4.63040,-4.70020,2.35880,-38.57180,-395.18360,-10.92210,-38.57180,,-0.0222,-0.0238
2022-06-30,112.35600,103.06400,9.29200,11.81600,-1.68000,13.49600,-4.20400,0.04900,-4.15500,-4.15500,-4.15500,-4.20800,-4.06900,-4.20400,178.33000,178.33000,-0.02000,-0.02000,-3.74170,-3.74170,-3.69810,-3.74520,2.14840,-22.56800,-75.69690,-7.94500,-22.56800,,0.0147,0.0133
2022-03-31,61.64900,55.78700,5.86200,9.09000,-0.86000,9.95000,-4.08800,-0.16400,-4.25200,-4.25200,-4.25200,-4.31300,-4.08500,-4.08800,174.74600,174.74600,-0.03000,-0.03000,-6.63110,-6.63110,-6.89710,-6.99610,1.16370,-17.78560,-39.01630,-8.02600,-17.78560,,0.06080,0.05870
2021-12-31,50.47900,46.37100,4.10800,7.19600,-0.65400,7.85000,-3.74200,-0.14700,-3.88900,-3.88900,-3.88900,-3.88900,-3.65800,-3.74200,170.48300,170.48300,0.01000,0.01000,-7.41300,-7.41300,-7.70420,-7.70420,1.26210,-14.40160,-14.98590,-9.72320,-14.40160,0.15150,-0.0039,-0.0045
2021-09-30,38.79800,35.47700,3.32100,4.19700,-0.14500,4.34200,-1.02100,-0.04300,-1.06400,-1.06400,-1.06400,-1.06400,-0.97800,-1.02100,165.70000,165.70000,-0.01000,-0.01000,-2.63160,-2.63160,-2.74240,-2.74240,0.82230,-2.75410,-2.83540,-2.25500,-2.75410,,0.0028,0.0028
