Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,28.38600,27.49600,0.89000,5.71000,1.69700,9.52800,-8.63800,-3.60100,-12.23900,-0.01400,-12.22500,-12.22500,-12.22500,-6.47200,-8.63800,12.97090,12.97090,-0.94000,-0.94000,0.10650,-1.26560,-0.59620,3.13530,-30.43050,-30.43050,-43.11630,-43.06700,0.29000,6.51060,13.82370,9.01480,7.65910,-12.48990,20.42370,-10.05290,-0.795,-0.8798
2024-06-30,32.36600,27.72900,4.63700,5.65800,22.17400,29.89400,-25.25700,-1.76100,-27.01800,-0.03500,-26.98300,-26.98300,-26.98300,-23.15000,-25.25700,11.70220,11.70220,-2.30930,-2.30930,0.08500,-0.18960,-0.26240,14.32680,-78.03560,-78.03560,-83.47650,-83.36830,0.30670,7.21330,12.47700,21.06570,17.63830,-25.56490,25.05870,-10.29950,-0.4156,-0.4721
2024-03-31,30.62400,28.48900,2.13500,7.00900,27.61800,36.60500,-34.47000,-2.54100,-37.01100,-0.04600,-36.96500,-36.96500,-36.96500,-32.44500,-34.47000,11.04750,11.04750,-3.35900,-3.35900,0.10100,-0.26720,-0.33500,6.97170,-112.55880,-112.55880,-120.85620,-120.70600,0.28150,6.50190,13.84210,34.77390,27.98730,-33.97960,44.06630,-9.08090,-1.15950,-1.22430
2023-12-31,26.83600,27.60900,-0.77300,16.34500,29.49200,107.76900,-108.54200,-2.18500,-110.72700,0.26700,-110.99400,-110.99400,-110.99400,-46.56100,-108.54200,5.63980,5.63980,-2.69630,-2.69630,0.12660,-0.43340,-0.47180,-2.88040,-404.46420,-404.46410,-412.60620,-413.60110,0.24180,5.40500,16.65110,143.24580,106.57330,-100.00450,205.32390,-7.12270,-5.6449,-5.4989
2023-09-30,21.96700,20.61000,1.35700,2.87700,60.14700,64.38000,-63.02300,-15.15700,-78.18000,-3.57100,-74.60900,-74.60900,-74.60900,-61.61900,-63.02300,7.81360,7.81360,-9.55000,-9.55000,0.26830,0.54590,1.31540,6.17740,-286.89850,-286.89850,-355.89750,-339.64130,0.11840,5.60960,16.04410,-263.65460,115.79140,-40.22610,-119.71340,2.69470,4.4168,3.0257
2023-06-30,6.19500,7.04900,-0.85400,0.81600,11.22300,12.30000,-13.15400,-31.36600,-44.52000,,-44.52000,-44.52000,-44.52000,-12.89300,-13.15400,2.02460,2.02460,-21.97340,-21.97340,0.07640,-0.03710,-0.32920,-13.78530,-212.33250,-212.33250,-718.64400,-718.64400,0.41910,92.46270,0.97340,15.44630,15.78760,-301.19750,16.52970,-145.68370,-5.7087,-5.7678
2023-03-31,5.50700,6.65000,-1.14300,0.81200,9.83500,10.90500,-12.04800,-8.52500,-20.57300,,-20.57300,-20.57300,-20.57300,-11.79000,-12.04800,2.01500,2.01500,-10.21690,-10.21690,,,,-20.75540,-218.77610,-218.77610,-373.57910,-373.57910,,,,,,,,,-4.47690,-4.51810
2022-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,11.1809,11.1909
2022-09-30,5.08200,6.21600,-1.13400,0.73000,8.98700,9.97300,-11.10700,-10.03300,-21.14000,,-21.14000,-21.14000,-21.14000,-10.84800,-11.10700,2.00040,2.00040,-10.56680,-10.56680,,,,-22.31410,-218.55570,-218.55570,-415.97800,-415.97800,,,,,,,,,-3.1277,-3.1377
2022-06-30,4.47800,5.94800,-1.47000,0.71600,10.61100,11.58500,-13.05500,-5.69800,-18.75300,,-18.75300,-18.75300,-18.75300,-13.05500,-13.05500,1.91870,1.91870,-9.79710,-9.79710,,,,-32.82720,-291.53640,-291.53640,-418.78070,-418.78070,,,,,,,,,-8.0532,-8.0532
