Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.42610,0.49350,0.93260,0.33800,0.54050,0.39210,-0.71720,-0.32500,-0.32500,-0.32500,-0.48820,0.60240,0.39210,3.39000,3.39000,-0.14000,-0.14000,0.93980,28.85970,27.49740,27.49740,-22.79030,-34.23450,0.02940,-25.32710,30.93820,-0.67100,-1.52410,0.37850,-0.0477,-0.0477
2024-06-30,0.51930,0.47110,0.04820,0.35950,0.59980,-0.55150,-18.59360,-19.14520,-19.14520,-19.14520,-19.30840,-0.30340,-0.55150,3.39000,3.39000,-5.70000,-5.70000,0.93290,25.13920,-106.19850,-106.19850,-3686.37800,-3717.80400,0.01040,-1306.76900,2068.40500,-38.45220,-87.62490,0.43220,-0.1598,-0.1598
2024-03-31,0.53460,0.44260,0.09200,0.45370,0.99870,-0.90670,-1.17030,-2.07700,-2.07700,-2.07700,-2.24020,-0.35370,-0.90670,3.39000,3.39000,-0.66000,-0.66000,0.51470,1.83440,-169.59460,-169.59460,-388.50570,-419.03380,0.00780,-10.68400,-12.22280,-3.01550,-5.18520,5.73460,-0.11860,0.09250
2023-12-31,0.64650,0.66200,-0.01540,0.42220,0.96450,-0.98000,-0.83230,-1.81230,-1.81230,-1.81230,-1.97550,-0.21080,-0.98000,3.39000,3.39000,-0.58000,-0.58000,0.48140,1.60350,-151.57140,-151.57140,-280.30870,-305.55240,0.00920,-8.13410,-9.16420,-2.58120,-4.21830,6.57230,-0.1819,-0.8925
2023-09-30,0.48850,0.54740,-0.05880,0.43900,1.06160,-1.12050,-8.90220,-10.02270,-10.02270,-10.02270,-10.18590,-0.47710,-1.12050,3.39000,3.39000,-3.01000,-3.01000,0.47320,1.62450,-229.36320,-229.36320,-2051.60700,-2085.01500,0.00660,-43.15850,-48.50860,-13.54800,-22.73710,6.85050,-0.0934,-0.0978
2023-06-30,0.21790,0.63170,-0.41380,0.46450,1.12610,-1.53990,-0.65150,-2.19140,-2.19140,-2.19140,-2.35460,-0.85690,-1.53990,3.39000,3.39000,-0.69000,-0.69000,0.52680,1.14600,-706.71090,-706.71090,-1005.71800,-1080.61900,0.00260,-6.60220,-7.16760,-2.62190,-3.12400,9.79130,-0.2397,0.4709
2023-03-31,1.00470,0.59790,0.40680,0.42730,1.08890,-0.68210,0.34300,-0.33900,-0.33900,-0.33900,-0.50230,0.00100,-0.68210,3.39000,3.39000,-0.15000,-0.15000,0.51270,1.08260,-67.88640,-67.88640,-33.74490,-49.98880,0.01170,-0.95990,-1.03850,-0.39540,-0.46780,10.41940,-0.25870,-0.25870
2022-12-31,2.29160,0.85910,1.43250,0.46520,0.95460,0.47790,-17.25720,-16.77930,-16.77930,-16.77930,-16.94250,0.98920,0.47790,3.37800,3.37800,-5.01000,-5.01000,0.51080,1.06160,20.85610,20.85610,-732.20510,-739.32710,0.02660,-47.13660,-51.05480,-19.46620,-23.06030,10.50060,0.1009,-0.1244
2022-09-30,2.00760,0.00630,2.00130,0.42660,0.92910,1.07230,-0.48930,0.58300,0.58300,0.58300,0.41980,1.58660,1.07230,3.38600,3.40600,0.12000,0.12000,0.40510,0.73420,53.40930,53.40930,29.03750,20.90820,0.01930,1.11510,1.19380,0.56150,0.66330,15.42220,0.3766,-0.2447
2022-06-30,2.23300,0.00630,2.22660,0.33580,0.82860,1.39810,-0.45320,0.94490,0.94490,0.94490,0.78170,1.90270,1.39810,3.36700,3.36700,0.23000,0.23000,0.38700,0.66330,62.61200,62.61200,42.31740,35.00840,0.02250,1.82930,1.96440,0.95350,1.12140,15.34180,0.6276,-0.1119
