Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,1.98550,0.00630,1.97920,0.29130,0.68400,1.29520,-0.29740,0.99790,0.99790,0.99790,0.83470,1.70000,1.29520,3.36800,3.36800,0.25000,0.25000,0.39980,0.67880,65.23420,65.23420,50.25800,42.03810,0.02020,1.96570,2.11830,1.01540,1.17990,15.07720,0.91980,-3.69750
2021-12-31,1.82180,0.00690,1.81490,0.26860,0.78810,1.02680,-0.35620,0.67070,0.67070,0.67070,0.50740,1.51980,1.02680,3.17800,3.26500,0.15000,0.15000,0.31160,0.46560,56.36370,56.36370,36.81300,27.85410,0.02140,1.34610,1.43110,0.78610,0.92660,14.79250,0.6658,-1.1257
2021-09-30,2.54730,0.00640,2.54100,0.21670,0.50290,2.03800,-0.21200,1.82600,1.82600,1.82600,1.66280,2.33280,2.03800,3.32200,3.40800,0.50000,0.49000,0.30120,0.44310,80.00580,80.00580,71.68280,65.27580,0.02910,3.48050,3.70460,2.08760,2.43210,15.79310,0.8557,-5.8784
2021-06-30,2.26780,0.00630,2.26150,0.23200,0.43780,1.82380,-0.28410,1.53970,1.53970,1.53970,1.37650,2.03810,1.82380,3.31200,3.39800,0.42000,0.41000,0.31140,0.46460,80.41830,80.41830,67.89230,60.69600,0.02660,3.03720,3.24420,1.80520,2.09130,15.26010,0.5045,-1.7131
2021-03-31,1.82090,0.00630,1.81460,0.16350,0.41890,1.39580,-0.28760,1.10810,1.10810,1.10810,0.94490,1.65960,1.39580,2.75600,2.83900,0.34000,0.33000,0.31920,0.48130,76.65090,76.65090,60.85520,51.89210,0.02180,2.24650,2.40720,1.32970,1.52940,14.94760,0.42440,-1.72590
2020-12-31,1.39460,0.00690,1.38770,0.12850,0.23340,1.15430,-0.29030,0.86400,0.86400,0.86400,0.79390,1.26780,1.15430,1.91100,1.97300,0.42000,0.41000,0.66430,2.03090,82.76760,82.76760,61.95050,56.92720,0.03440,7.37300,10.32750,2.13120,2.47480,6.11590,0.5001,-0.9923
2020-09-30,1.11560,0.00600,1.10960,0.14590,0.24490,0.86470,-0.28860,0.57610,0.57610,0.57610,0.50600,0.97230,0.86470,1.91500,1.98500,0.26000,0.25000,0.68160,2.19600,77.51140,77.51140,51.63780,45.35790,0.02840,5.30550,7.73620,1.46560,1.68900,5.66700,0.391,-1.0994
2020-06-30,0.97510,0.01010,0.96500,0.10420,0.19310,0.77200,-0.29220,0.47980,0.47980,0.47980,0.40970,0.86940,0.77200,1.91300,1.97600,0.21000,0.21000,0.69600,2.34690,79.16500,79.16500,49.19930,42.01470,0.02510,4.66420,7.03980,1.23420,1.41810,5.37680,0.295,-1.56
2020-03-31,0.78740,0.00460,0.78280,0.14930,0.23520,0.54760,-0.29550,0.25210,0.25210,0.25210,0.18200,0.64200,0.54760,1.89900,1.92200,0.10000,0.09000,0.70720,2.47380,69.54220,69.54220,32.01560,23.11810,0.02060,2.56500,4.00280,0.65800,0.75110,5.13750,0.31260,-1.09370
2019-12-31,0.62680,0.00550,0.62130,0.09630,0.17670,0.44460,-0.18210,0.26250,0.26250,0.26250,0.19240,0.53210,0.44460,1.87200,1.87200,0.10000,0.10000,0.71320,2.54550,70.93530,70.93540,41.87750,30.70090,0.01660,2.74270,4.38860,0.69610,0.78670,5.10990,0.104,0.0934
2019-09-30,0.56390,0.00550,0.55830,0.09410,0.17120,0.38720,-0.11350,0.27370,0.27370,0.27370,0.20360,0.47050,0.38720,1.87300,1.88500,0.11000,0.11000,0.48480,0.98530,68.66710,68.66710,48.53820,36.11380,0.02530,2.93310,4.81650,1.22570,1.51110,4.98190,0.2891,-0.6613
2019-06-30,0.49560,0.00560,0.49010,0.10230,0.16150,0.32850,-0.11500,0.21350,0.21350,0.21350,0.14340,0.39410,0.32850,1.87000,1.87000,0.08000,0.08000,0.49860,1.03930,66.28100,66.28100,43.06970,28.93400,0.02230,2.35070,3.97320,0.95950,1.17860,4.84810,0.1678,0.1678
2019-03-31,0.49460,0.00560,0.48900,0.11580,0.17500,0.31400,-0.11670,0.19720,0.19720,0.19720,0.12720,0.37960,0.31400,1.87000,1.87000,0.07000,0.07000,0.50750,1.07430,63.48190,63.48190,39.88030,25.71550,0.02220,2.21880,3.85050,0.88720,1.09280,4.75400,0.17210,0.17210
2018-12-31,0.49430,0.00820,0.48610,0.09660,0.15590,0.33020,-0.11640,0.21380,0.21380,0.21380,0.14380,0.39580,0.33020,1.84870,1.84870,0.07000,0.07000,0.51310,1.09870,66.80540,66.80540,43.25590,29.08270,0.02260,2.45800,4.38850,0.97650,1.19680,4.65140,0.124,0.124
2018-09-30,0.49410,0.00550,0.48860,0.10400,0.16340,0.32520,-0.12240,0.20290,0.20290,0.20290,0.13280,0.39080,0.32520,1.82800,1.82800,0.07000,0.07000,0.51920,1.12570,65.82540,65.82540,41.05790,26.87840,0.02270,2.38910,4.40500,0.93330,1.14870,4.54070,0.2185,0.2185
2018-06-30,0.49360,0.00280,0.49090,0.10500,0.16430,0.32650,-0.11900,0.20750,0.20750,0.20750,0.13740,0.39210,0.32650,1.82700,1.82700,0.08000,0.08000,0.53150,1.18080,66.14830,66.14830,42.03290,27.84080,0.02260,2.50290,4.77550,0.95180,1.17250,4.53750,0.0398,0.0398
2018-03-31,0.49260,0.00550,0.48710,0.09280,0.15210,0.33500,-0.12040,0.21460,0.21460,0.21460,0.14460,0.40060,0.33500,1.82700,1.82700,0.08000,0.08000,0.54000,1.21910,68.01460,68.01460,43.57400,29.35200,0.02240,2.64690,5.22900,0.97550,1.21760,4.43860,0.30250,0.30250
2017-12-31,0.50790,0.00560,0.50230,0.09000,0.14930,0.35300,-0.12810,0.22490,0.22490,0.22490,0.15640,0.41860,0.35300,1.81000,1.81000,0.08000,0.08000,0.54610,1.24960,69.50920,69.50920,44.27960,30.79070,0.02370,2.84040,5.83550,1.04790,1.28910,4.33360,0.01,0.01
2017-09-30,0.49180,0.00560,0.48620,0.08250,0.14170,0.34440,-0.24170,0.10270,0.10270,0.10270,0.03280,0.41000,0.34440,1.82700,1.82700,0.02000,0.02000,0.55260,1.28270,70.04270,70.04270,20.88960,6.66140,0.02290,1.33170,2.86090,0.47760,0.59580,4.22210,0.1028,0.1028
2017-06-30,0.49130,0.00570,0.48560,0.10290,0.16220,0.32340,-0.12620,0.19720,0.19720,0.19720,0.12720,0.38900,0.32340,1.79900,1.79900,0.07000,0.07000,0.56070,1.32610,65.81960,65.81960,40.13330,25.89250,0.02250,2.58310,5.71330,0.90320,1.13480,4.17820,0.2246,0.2246
2017-03-31,0.49130,0.00590,0.48540,0.10860,0.16790,0.31750,-0.12380,0.19370,0.19370,0.19370,0.12230,0.38310,0.31750,1.78500,1.78500,0.07000,0.07000,0.56940,1.36820,64.61680,64.61680,39.42070,24.88250,0.02260,2.59660,6.01970,0.89220,1.11810,4.17870,0.24470,0.24470
2016-12-31,0.49050,0.00280,0.48780,0.08080,0.29240,0.19530,-0.12200,0.07330,0.07330,0.07330,0.00330,0.41320,0.19530,1.77000,1.77000,0.00000,0.00000,0.57540,1.40220,39.82060,39.82060,14.94010,0.67680,0.02310,1.00630,2.45750,0.34540,0.42730,4.08010,0.0571,0.0571
2016-09-30,0.49170,0.00280,0.48890,0.09830,0.15760,0.33130,-0.28600,0.04530,0.04530,0.04530,-0.02470,0.39690,0.33130,1.78500,1.78500,-0.01000,-0.01000,0.57690,1.41340,67.38220,67.38220,9.21520,-5.01400,0.02310,0.62710,1.58120,0.21240,0.26540,4.04810,0.1285,0.1285
2016-06-30,0.50200,0.00280,0.49920,0.08860,0.14790,0.35130,-0.38790,-0.03660,-0.03660,-0.03660,-0.10660,0.40000,0.35130,1.76900,1.76900,-0.06000,-0.06000,0.58380,1.44990,69.98400,69.98400,-7.29710,-21.23500,0.02320,-0.50900,-1.31900,-0.16910,-0.21190,4.03400,0.2149,0.2149
2016-03-31,0.49170,0.00540,0.48630,0.07210,0.13130,0.35500,-0.18970,0.16520,0.16520,0.16520,0.09520,0.43740,0.35500,1.74300,1.74300,0.05000,0.05000,0.58490,1.45100,72.19320,72.19320,33.60260,19.37200,0.02270,2.27860,5.96050,0.76340,0.94580,4.15980,0.09900,0.09900
2015-12-31,0.49160,0.01100,0.48060,0.10560,0.16490,0.31570,-0.79860,-0.48280,-0.48280,-0.48280,-0.54950,0.25930,0.31570,1.73500,1.73500,-0.31000,-0.31000,0.58900,1.47620,64.22550,64.22550,-98.21060,-111.77950,0.02310,-6.78130,-18.70060,-2.26540,-2.78710,4.08480,-0.2105,-0.2105
2015-09-30,0.49160,,0.49160,0.08550,,0.34680,-0.52700,-0.18020,-0.18020,-0.18020,-0.25560,0.42750,0.34680,1.73400,1.73400,-0.15000,-0.15000,,0.25410,70.54150,70.54150,-36.64780,-51.99320,0.02300,-2.47490,-6.71670,-0.84230,-2.47490,4.17650,0.0877,0.0877
2015-06-30,0.49610,0.00550,0.49070,0.11410,0.17330,0.31730,-0.03540,0.28190,0.28190,0.28190,0.21190,0.75350,0.31730,1.73200,1.73200,0.12000,0.12000,,0.24690,63.95390,63.95390,56.81900,42.71640,0.02290,3.76430,9.95000,1.29960,3.76430,4.32370,-0.09,-0.09
2015-03-31,0.49080,0.00550,0.48530,0.10720,0.16640,0.31890,-0.38850,-0.06970,-0.06970,-0.06970,-0.13740,0.44070,0.31890,1.73200,1.73200,-0.08000,-0.08000,,0.24390,64.97330,64.97330,-14.19650,-28.00300,0.02170,-0.91910,-2.43210,-0.30840,-0.91910,4.37680,0.08310,0.08310
2014-12-31,0.49160,0.01750,0.47410,0.09300,0.15230,0.32180,-0.93210,-0.61030,-0.61030,-0.61030,-0.67740,0.46660,0.32180,1.70200,1.70200,-0.39000,-0.39000,0.54470,1.22230,65.46010,65.46010,-124.14410,-137.78570,0.02200,-7.96290,-21.12320,-2.73200,-3.62550,4.42520,-0.272,0.9625
2014-09-30,0.49160,0.00140,0.49030,0.09890,0.15820,0.33200,-0.63480,-0.30280,-0.30280,-0.30280,-0.36570,0.43970,0.33200,1.73200,1.73200,-0.21000,-0.21000,0.16730,0.20460,67.54020,67.54020,-61.59150,-74.38340,0.02180,-3.68770,-8.96650,-1.34100,-3.07070,4.74080,-0.0049,0.0867
2014-06-30,0.46190,0.00930,0.45260,0.18060,0.23100,0.22150,-0.92290,-0.70130,-0.70130,-0.70130,-0.76240,0.31610,0.22150,1.67200,1.67200,-0.46000,-0.46000,0.16210,0.19700,47.96620,47.96620,-151.85650,-165.07030,0.02050,-8.22600,-19.31030,-3.10900,-6.89220,4.92260,-0.0078,-2.6513
2014-03-31,0.29810,0.00660,0.29150,0.06360,0.06600,0.22550,-0.16760,0.05800,0.05800,0.05800,0.05800,0.22790,0.22550,1.67500,1.68800,0.03000,0.03000,0.15360,0.18470,75.65620,75.65620,19.44840,19.44840,0.01960,0.63740,0.65410,0.38190,0.53960,5.44610,0.22150,0.22150
2013-12-31,0.29090,0.00740,0.28350,0.10180,0.10180,0.18170,-0.27620,-0.09450,-0.09450,-0.09450,-0.08850,0.18170,0.18170,1.66900,1.66900,-0.05000,-0.05000,0.15390,0.18510,62.45750,62.45750,-32.47840,-30.41570,0.02410,-1.04140,-1.06890,-0.78430,-0.88110,5.40970,-0.1374,0.015
2013-09-30,0.25100,0.00200,0.24900,0.12400,0.12400,0.12500,-0.30700,-0.18200,-0.18200,-0.18200,-0.18200,0.12500,0.12500,1.65100,1.65100,-0.11000,-0.11000,0.21580,0.27830,49.80080,49.80080,-72.51000,-72.51000,0.02050,-1.99340,-1.99340,-1.48790,-1.56330,5.44420,-0.0695,-1.0083
2013-06-30,0.25100,0.00200,0.24900,0.09600,0.09600,0.15300,-0.25300,-0.10000,-0.10000,-0.10000,-0.10000,0.15300,0.15300,1.63600,1.63600,-0.06000,-0.06000,0.08940,0.09890,60.95620,60.95620,-39.84060,-39.84060,0.02340,-1.08050,-1.08050,-0.93060,-0.98390,5.51880,-0.0165,-0.0165
2013-03-31,0.25100,-0.00300,0.25400,0.09600,0.09600,0.15800,-0.26300,-0.10500,-0.10500,-0.10500,-0.11100,0.15800,0.15800,1.62300,1.62300,-0.07000,-0.07000,0.09080,0.10050,62.94820,62.94820,-41.83270,-44.22310,0.02390,-1.15320,-1.15320,-1.00120,-1.04850,5.50820,0.00120,0.00120
2012-12-31,0.22810,,0.22810,0.18240,,0.04560,-0.33440,-0.28870,-0.28870,-0.28870,-0.28870,0.04560,0.04560,1.62300,1.62300,-0.18000,-0.18000,0.08910,0.09910,20.00210,20.00210,-126.60330,-126.60320,0.02140,-3.08670,-3.08670,-2.71440,-2.81150,5.76370,0.0664,-0.5054
2012-09-30,0.22900,,0.22900,0.06900,,0.16000,-0.14200,0.01800,0.01800,0.01800,0.01800,0.16000,0.16000,1.62300,1.62800,0.01000,0.01000,,,69.86900,69.86900,7.86030,7.86030,0.02330,0.18720,0.18720,0.18310,0.18720,5.92420,-0.0053,-0.0053
2012-06-30,0.22900,,0.22900,0.18600,,0.04300,-0.14100,-0.09800,-0.09800,-0.09800,-0.09800,0.04300,0.04300,1.62300,1.62300,-0.06000,-0.06000,,,18.77730,18.77730,-42.79480,-42.79480,0.02290,-1.00520,-1.00520,-0.97870,-1.00520,6.00680,-0.106,-0.106
2012-03-31,0.22900,,0.22900,0.09900,,0.13000,-0.08300,0.04700,0.04700,0.04700,0.04700,0.13000,0.13000,1.62300,1.62300,0.03000,0.03000,,,56.76860,56.76860,20.52400,20.52400,0.02270,0.46960,0.46960,0.46510,0.46960,6.16700,0.04620,0.04620
2011-12-31,0.25000,,0.25000,0.06000,,0.19000,,0.18000,0.18000,0.18000,0.18000,0.19000,0.19000,1.60000,1.60000,0.10000,0.10000,,,76.00000,76.00000,72.00000,72.00000,0.02470,1.77790,1.77790,1.77610,1.77790,6.23820,0.119,0.119
2011-09-30,0.22900,,0.22900,0.05500,,0.17400,,0.17400,0.17400,0.17400,0.17400,0.17400,0.17400,1.62300,1.62300,0.11000,0.11000,,,75.98250,75.98250,75.98250,75.98250,0.02260,1.71770,1.71600,1.71600,1.71600,,0.114,0.114
2011-06-30,0.22900,,0.22900,0.10200,,0.12700,,0.12700,0.12700,0.12700,0.12700,0.12700,0.12700,1.62300,1.62300,0.08000,0.08000,,,55.45850,55.45850,55.45850,55.45850,0.02260,1.25490,1.25370,1.25370,1.25370,,0.0787,0.0787
2011-03-31,0.22900,,0.22900,0.06000,,0.16900,,0.16900,0.16900,0.16900,0.16900,0.16900,0.16900,1.52900,1.52900,0.11000,0.11000,,,73.79910,73.79910,73.79910,73.79910,0.02250,1.66180,1.66180,1.66010,1.66180,,0.08830,0.08830
2010-12-31,0.25000,,0.25000,0.03000,,0.22000,,0.22000,0.22000,0.22000,0.22000,0.22000,0.22000,,,,0.00000,,,88.00000,88.00000,88.00000,88.00000,0.02720,2.39390,2.39390,2.39390,2.39390,6.08610,0,0
2010-09-30,0.22000,,0.22000,0.02000,,0.20000,,0.20000,0.20000,0.20000,0.20000,0.20000,0.20000,,,,0.00000,,,90.90910,90.90910,90.90910,90.90910,0.02400,2.18100,2.17860,2.17860,2.17860,,0,0
2010-06-30,0.22000,,0.22000,0.03000,,0.19000,,0.19000,0.19000,0.19000,0.19000,0.19000,0.19000,,,,0.00000,,,86.36360,86.36360,86.36360,86.36360,0.02400,2.07200,2.07200,2.07200,2.07200,,0,0
2010-03-31,0.22000,,0.22000,0.07000,,0.15000,,0.15000,0.15000,0.15000,0.15000,0.15000,0.15000,,,,0.00000,,,68.18180,68.18180,68.18180,68.18180,0.02400,1.63760,1.63760,1.63760,1.63760,,0.00000,
2009-12-31,0.25000,,0.25000,0.02000,,0.23000,,0.23000,0.23000,0.23000,0.23000,0.23000,0.23000,,,,0.00000,,,92.00000,92.00000,92.00000,92.00000,0.02720,2.50540,2.50270,2.50270,2.50270,,0,0
2009-09-30,0.22000,,0.22000,0.02000,,0.20000,,0.20000,0.20000,0.20000,0.20000,0.20000,0.20000,,,,0.00000,,,90.90910,90.90910,90.90910,90.90910,0.02400,2.18340,2.18100,2.18100,2.18100,,0,0
2009-06-30,0.22000,,0.22000,0.05000,,0.17000,,0.17000,0.17000,0.17000,0.17000,0.17000,0.17000,,,,0.00000,,,77.27270,77.27270,77.27270,77.27270,0.02400,1.85790,1.85590,1.85590,1.85590,,0,0
2009-03-31,0.22000,,0.22000,0.07000,,0.15000,,0.15000,0.15000,0.15000,0.15000,0.15000,0.15000,,,,0.00000,,,68.18180,68.18180,68.18180,68.18180,0.02400,1.63760,1.63760,1.63760,1.63760,,0.00000,
