Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.18800,7.60400,,-24.79200,11.10800,-13.68400,-13.68400,-13.68400,-13.68400,-24.79200,-24.79200,77.90900,80.23900,-0.18000,-0.27000,8.99920,0.08490,0.09270,-5.21910,-5.64810,-4.27930,-4.77620,3.21350,-0.1843,-0.1843
2024-06-30,14.64500,9.81300,,-24.45800,18.60400,-5.85400,-5.85400,-5.85400,-5.85400,-24.45800,-24.45800,71.91200,75.30400,-0.08000,-0.26000,5.91900,0.10720,0.12000,-2.89730,-3.21420,-2.18310,-2.58690,2.80330,-0.1391,-0.1391
2024-03-31,11.70500,10.49900,,-22.20400,-32.19600,-54.40000,-54.40000,-54.40000,-54.40000,-21.67700,-22.20400,47.86100,47.86100,-1.14000,-1.14000,3.91410,0.06750,0.07240,-27.74680,-30.88440,-19.74360,-25.87410,4.77020,-0.34680,-0.34680
2023-12-31,11.54500,10.65900,,-22.20400,-1.66000,-23.86400,-23.86400,-23.86400,-23.86400,-21.41400,-22.20400,39.15700,39.15700,-0.58000,-0.58000,3.22120,0.15310,0.18080,-30.54240,-41.36670,-19.16160,-25.86520,1.90100,-0.541,-0.541
2023-09-30,13.20300,8.41300,,-21.61600,3.69300,-17.92300,-17.92300,-17.92300,-17.92300,-20.82500,-21.61600,39.72000,39.72000,-0.45000,-0.45000,3.85460,0.12780,0.14660,-18.67390,-23.97920,-12.66200,-16.28670,2.39380,-0.3983,-0.3983
2023-06-30,14.77700,14.40700,,-29.18400,0.05400,-29.13000,-29.13000,-29.13000,-29.13000,-28.39400,-29.18400,38.57600,38.57600,-0.76000,-0.76000,3.41080,,,-27.48840,-34.70090,-20.50180,-27.48840,2.73070,-0.3544,-0.3544
2023-03-31,12.59900,8.26300,,-20.86200,-3.95300,-24.81500,-24.81500,-24.81500,-24.81500,-20.07100,-20.86200,38.07700,38.07700,-0.65000,-0.65000,5.49520,,,-19.03810,-23.07770,-15.95520,-19.03810,3.40410,-0.35010,-0.35010
2022-12-31,8.83000,5.07000,,-13.90000,8.99700,-4.90300,-4.90300,-4.90300,-4.90300,-13.11000,-13.90000,30.85700,30.85700,-0.02000,-0.02000,8.16310,,,-3.24880,-3.85120,-2.88420,-3.24880,3.97370,-0.352,-0.352
2022-09-30,7.77200,9.21100,,-16.98300,0.49800,-16.48500,-16.48500,-16.48500,-16.48500,-16.19300,-16.98300,29.29600,29.29600,-0.56000,-0.56000,6.01080,,,-10.73290,-12.75970,-9.11240,-10.73290,4.09130,-0.2817,-0.2817
2022-06-30,9.32600,7.61700,,-16.94300,-0.01400,-16.95700,-16.95700,-16.95700,-16.95700,-16.12300,-16.94300,28.24200,28.24200,-0.60000,-0.60000,13.85970,,,-13.61960,-17.07360,-12.62840,-13.61960,4.37470,-0.5341,-0.5341
2022-03-31,10.24100,8.26400,,-18.50500,0.05400,-18.45100,-18.45100,-18.45100,-18.45100,-17.72500,-18.50500,28.14700,28.14700,-0.66000,-0.66000,11.67030,,,-13.48710,-16.65280,-12.36380,-13.48710,4.85560,-0.45710,-0.45710
2021-12-31,10.88300,6.67600,,-17.55900,-0.42700,-17.98600,-16.82900,-16.82900,-16.82900,-16.77100,-17.55900,27.37700,27.37700,-0.54110,-0.54110,13.18360,,,-11.09620,-13.47650,-10.26150,-11.09620,5.39230,-0.3177,-0.3177
2021-09-30,9.01900,8.20800,,-17.22700,0.03100,-17.19600,-17.19600,-17.19600,-17.19600,-16.43800,-17.22700,28.01400,28.01400,-0.61000,-0.61000,25.32480,,,-10.35620,-12.82490,-9.62920,-10.35620,,-0.5821,-0.5821
2021-06-30,8.07400,37.14600,,-45.22000,-0.03200,-45.25200,-45.25200,-45.25200,-45.25200,-44.44100,-45.22000,27.40190,27.40190,-1.64920,-1.64920,14.79640,,,-25.65260,-32.05320,-23.34150,-25.65260,,-0.3877,-0.3877
2021-03-31,6.81300,7.03500,,-13.84800,0.08900,-13.75900,-13.75900,-13.75900,-13.75900,-13.58800,-13.84800,25.98470,25.98470,-0.59970,-0.59970,25.16080,,,-7.33450,-9.22770,-6.85230,-7.33450,,-0.38630,-0.38630
2020-12-31,8.78600,6.77500,,-15.14800,2.63600,-12.51200,-12.51200,-13.91400,-13.91400,-15.56100,-15.14800,24.08800,24.08800,-0.14990,-0.14990,27.10070,,,-18.33980,-18.33980,-17.06840,-18.33980,3.70890,-0.1017,-0.1017
2020-09-30,5.34200,1.57900,-0.56300,-7.62100,-1.05400,-8.67500,-8.67500,-8.67500,-8.67500,-7.48300,-7.62100,18.74320,18.74320,-0.44980,-0.44980,,,,,,,,,-0.2722,-0.2722
2020-06-30,2.70000,1.87300,-1.31400,-6.02500,0.30800,-5.71700,-5.71700,-5.71700,-5.71700,-5.88800,-6.02500,17.58580,17.58580,-0.29990,-0.29990,,,,,,,,,-0.2269,-0.2269
2020-03-31,1.80300,1.88000,-0.41500,-4.23600,-2.79700,-7.03300,-7.03300,-7.03300,-7.03300,-4.09800,-4.23600,13.46500,13.46500,-0.44980,-0.44980,,,,,,,,,-0.37880,-0.37880
2019-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,,0,0
