Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,37.62200,16.04400,21.57800,3.37000,,10.82600,10.75200,-11.84000,-1.08800,-1.08800,-1.08800,-1.14900,18.85800,10.75200,16.07700,16.07700,-0.05000,-0.05000,-132.91040,28.57900,28.57900,-2.89190,-3.05410,0.02920,11.49740,11.49740,-0.08450,11.49740,-0.58860,0.3915,-0.5444
2024-06-30,37.34600,16.43400,20.91200,3.45900,,10.91400,9.99800,-11.74100,-1.74300,-1.74300,-1.74300,-1.02900,18.10500,9.99800,16.07700,16.07700,-0.06000,-0.06000,-265.16110,26.77130,26.77130,-4.66720,-2.75530,0.02930,37.14830,37.14920,-0.13670,37.14830,-0.29180,0.5465,-0.6841
2024-03-31,35.76000,15.75800,20.00200,3.55100,,10.93000,9.07200,-11.73800,-2.66600,-2.66600,-2.66600,-1.38100,17.10100,9.07200,16.06300,16.06300,-0.09000,-0.09000,1671.23700,25.36910,25.36910,-7.45530,-3.86190,0.02830,-363.21200,-363.21110,-0.21090,-363.21540,0.04570,0.38920,-0.99580
2023-12-31,34.86700,15.14900,19.71800,3.14000,,10.70300,9.01500,-11.87100,-2.85600,-2.85600,-2.85600,-1.40600,17.30500,9.01500,16.06300,16.06300,-0.07000,-0.07000,166.63770,25.85540,25.85540,-8.19110,-4.03250,0.02790,-39.47480,-39.47490,-0.22860,-39.47480,0.45040,0.5637,-0.2813
2023-09-30,35.12800,15.30400,19.82400,3.34000,,10.62200,9.20200,-11.52700,-2.32500,-2.32500,-2.32500,-1.20300,17.02500,9.20200,16.06300,16.06300,-0.09000,-0.09000,87.77700,26.19560,26.19560,-6.61870,-3.42460,0.02830,-17.04550,-17.04550,-0.18750,-17.04550,0.84920,-0.0057,-0.5577
2023-06-30,34.54300,15.48200,19.06100,3.39600,-0.35700,11.02200,8.03900,-11.33400,-3.29500,-3.29500,-3.29500,-1.57100,15.78400,8.03900,16.06300,16.06300,-0.10000,-0.10000,60.26400,23.27240,23.27240,-9.53880,-4.54800,0.02820,-16.87150,-16.87150,-0.26880,-16.87150,1.21580,0.6101,0.2103
2023-03-31,33.66700,16.63500,17.03200,3.29300,,10.11800,6.91400,-14.00300,-7.08900,-7.08900,-7.08900,-3.00900,14.16300,6.91400,16.06300,16.06300,-0.19000,-0.19000,44.63910,20.53640,20.53640,-21.05620,-8.93750,0.02720,-26.86240,-26.86260,-0.57290,-26.86240,1.64290,0.46200,-0.31580
2022-12-31,33.00900,16.06400,16.94500,3.40400,0.00000,10.16800,6.77700,-10.13100,-3.35400,-3.35400,-3.35400,-1.55000,13.96600,6.77700,16.06300,16.06300,-0.11000,-0.11000,31.24310,20.53080,20.53080,-10.16090,-4.69570,0.02680,-9.02120,-9.02120,-0.27280,-9.02120,2.31460,0.3101,-0.2804
2022-09-30,32.80000,15.51900,17.28100,3.20900,0.01000,9.98300,7.29800,-10.08600,-2.78800,-2.78800,-2.78800,-1.33700,14.50500,7.29800,16.06300,16.06300,-0.08000,-0.08000,26.29900,22.25000,22.25000,-8.50000,-4.07620,0.02670,-6.33880,-6.33880,-0.22690,-6.33880,2.73820,0.2164,-0.4755
2022-06-30,31.88700,14.81400,17.07300,3.19700,-0.09200,10.02100,7.05200,-10.00500,-2.95300,-2.95300,-2.95300,-1.36500,14.21000,7.05200,16.06300,16.06300,-0.08000,-0.08000,22.94420,22.11560,22.11560,-9.26080,-4.28070,0.02590,-5.87990,-5.87990,-0.23950,-5.87990,3.12660,0.3172,-0.3655
