Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,23.55900,23.55900,2.16100,-16.72400,4.67400,18.65900,23.33300,23.33300,23.33300,16.11600,2.80700,4.67400,17.46100,30.46800,0.92000,0.74000,0.63050,1.70610,19.83960,19.83960,99.04070,68.40700,0.00410,6.94790,6.94760,0.41040,2.56740,19.23400,0.4507,0.4436
2024-06-30,18.23300,18.23300,3.17900,-17.10800,-2.05400,14.16800,12.11400,12.11400,12.11400,7.48800,-2.97100,-2.05400,17.42200,27.78800,0.43000,0.40000,0.63780,1.76060,-11.26530,-11.26530,66.44000,41.06840,0.00280,3.69940,3.69920,0.18420,1.34000,18.75460,-0.345,-0.3518
2024-03-31,-1.57400,-1.57400,4.18700,-18.07900,-23.84000,9.19900,-14.64100,-14.64100,-14.64100,-14.28600,2.48400,-23.84000,17.26400,24.86200,-0.83000,-0.83000,0.60360,1.52270,1514.61200,1514.61200,930.17790,907.62380,-0.00020,-4.47650,-4.47620,-0.20660,-1.77440,18.89990,0.71240,0.70220
2023-12-31,16.88400,16.88400,2.15100,-17.30600,-2.57300,20.50800,17.93500,17.93500,17.93500,13.63500,-0.91200,-2.57300,17.19900,17.19900,0.79000,0.80000,0.73520,2.77660,-15.23930,-15.23930,106.22480,80.75690,0.00240,5.16230,5.16210,0.25550,1.36690,20.16230,0.6034,0.5946
2023-09-30,18.01400,18.01400,2.52400,-17.00500,-1.51500,-15.53500,-17.05000,-17.05000,-17.05000,-15.55000,-0.57300,-1.51500,17.23200,23.08600,-0.90000,-0.90000,0.72610,2.65130,-8.41010,-8.41010,-94.64860,-86.32180,0.00260,-4.94200,-4.94180,-0.24760,-1.35340,20.02180,0.2576,0.2392
2023-06-30,17.29900,17.29900,2.37700,-15.81500,-0.89300,9.37000,8.47700,8.47700,8.47700,5.74700,-0.17000,-0.89300,17.21300,23.08000,0.33000,0.33000,0.71120,2.46290,-5.16210,-5.16210,49.00280,33.22160,0.00230,2.28110,2.28100,0.11150,0.65870,21.56700,0.3146,0.3137
2023-03-31,16.16100,16.16100,2.15200,-15.58000,-1.57100,10.94900,9.37800,9.37800,9.37800,6.56700,-1.05300,-1.57100,17.11800,22.67800,0.38000,0.37000,0.71030,2.45160,-9.72090,-9.72090,58.02860,40.63490,0.00200,2.48590,2.48580,0.11660,0.72020,21.95440,0.65920,0.65670
2022-12-31,15.56800,15.56800,1.93500,-20.05200,-6.41900,4.45300,-1.96600,-1.96600,-1.96600,-3.73300,-5.80700,-6.41900,14.68600,14.68600,-0.32000,-0.20000,0.69330,2.26100,-41.23200,-41.23200,-12.62840,-23.97870,0.00190,-0.43840,-0.43830,-0.02410,-0.13440,26.25950,1.8879,1.8847
2022-09-30,14.89300,14.89300,1.67700,-15.05800,-1.84200,-7.52100,-9.36300,-9.36300,-9.36300,-9.28900,-1.37700,-1.84200,14.96200,22.67800,-0.62000,-0.62000,0.72310,2.61130,-12.36820,-12.36820,-62.86850,-62.37160,0.00180,-2.66080,-2.66060,-0.11310,-0.73670,23.49190,0.3388,0.3363
2022-06-30,16.39400,16.39400,1.86800,-10.96700,3.55900,3.91500,7.47400,7.47400,7.47400,3.85000,5.12700,3.55900,14.74800,22.49400,0.26000,0.26000,0.71610,2.52260,21.70920,21.70920,45.58990,23.48420,0.00210,2.04050,2.04040,0.09510,0.57920,24.50170,0.5418,0.5405
2022-03-31,31.13300,31.13300,1.76300,-13.11500,16.25500,1.81400,18.06900,18.06900,18.06900,12.40600,24.08100,16.25500,13.85500,22.03000,0.90000,0.78000,0.72230,2.60080,52.21150,52.21150,58.03810,39.84840,0.00390,5.02800,5.02770,0.22530,1.39630,24.81100,1.71200,1.71110
2021-12-31,15.92700,15.92700,1.56100,-9.89200,4.47400,16.48300,20.95700,20.95700,20.95700,12.43500,6.68100,4.47400,6.60100,20.36600,1.36000,0.92000,0.80090,4.02280,28.09070,28.09070,131.58160,78.07500,0.00190,8.54460,8.54400,0.24610,1.70100,26.76590,0.6241,0.6241
2021-09-30,14.37200,14.37200,1.47600,-9.66800,3.22800,21.96300,25.19100,25.19100,25.19100,13.23300,5.63800,3.22800,6.86300,20.72100,1.93000,1.17000,0.79360,3.84610,22.46030,22.46030,175.27830,92.07490,0.00170,10.60730,10.60660,0.30360,2.18870,25.92260,0.6313,0.6313
2021-06-30,12.87900,12.87900,1.81600,-9.38600,1.67700,10.57700,12.25400,12.25400,12.25400,5.54200,2.78500,1.67700,5.30600,19.60300,1.04000,0.58000,0.85990,6.13810,13.02120,13.02120,95.14710,43.03130,0.00150,8.06130,8.06050,0.14360,1.12920,27.64610,0.6925,0.6925
2021-03-31,12.64900,12.64900,1.51800,-8.35100,2.78000,22.29000,25.07000,25.07000,25.07000,8.36700,3.62800,2.78000,5.02300,19.19900,1.67000,1.26000,0.86680,6.50990,21.97800,21.97800,198.19750,66.14750,0.00210,18.66010,18.65780,0.42060,2.48440,26.75040,0.47270,0.47270
2020-12-31,12.07900,12.07900,1.02100,-8.41400,2.64400,23.58000,26.22400,26.22400,26.22400,9.32000,3.69300,2.64400,5.20600,18.64800,1.81000,1.44000,0.87220,6.82620,21.88920,21.88930,217.10400,77.15870,0.00200,20.45120,20.44870,0.42460,2.61280,25.53120,-2.0255,-2.0255
2020-09-30,10.49200,10.49200,1.16700,-7.82300,1.50200,10.03900,11.54100,11.54100,11.54100,2.86200,2.89700,1.50200,5.26100,5.55000,0.54000,0.52000,0.86400,6.35320,14.31570,14.31570,109.99810,27.27790,0.00170,9.31860,9.31740,0.18720,1.26710,23.65640,1.5395,1.5395
2020-06-30,9.82100,9.82100,0.84600,-6.75900,2.21600,17.05700,19.27300,19.27300,19.27300,5.27000,3.83200,2.21600,5.26300,5.29200,1.00000,1.00000,0.90120,9.12630,22.56390,22.56390,196.24270,53.66050,0.00250,22.33330,22.33330,0.49940,2.20550,16.39690,1.2653,1.2653
2020-03-31,6.58600,6.58600,0.34800,-4.18200,2.05600,-24.92400,-22.86800,-22.86800,-22.86800,-6.35300,3.11600,2.05600,5.22300,5.22300,-1.22000,-1.22000,,9.48680,31.21770,31.21770,-347.22140,-96.46220,0.00240,-27.51900,-27.51900,-0.84220,-27.51900,15.78930,0.98510,0.98510
