Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,206.08700,132.05200,74.03500,20.14900,21.04200,52.99300,,52.99300,52.99300,52.99300,,52.99300,36.78700,36.78700,1.44000,1.44000,0.73170,3.21440,71.57830,71.57830,0.00650,4.04580,4.05540,0.46440,1.08570,,-6.6182,-6.6405
2024-06-30,207.65400,132.61400,75.04000,24.07700,24.91800,50.12200,,50.12200,50.12200,50.12200,,50.12200,36.77500,36.77500,1.36000,1.36000,0.73700,3.26710,73.32490,73.32490,0.00630,3.96660,3.97480,0.45960,1.04330,,12.9307,12.9273
2024-03-31,203.27500,130.68700,72.58800,20.50200,21.32000,51.26800,,51.26800,51.26800,51.26800,,51.26800,36.60900,36.60900,1.40000,1.40000,0.76060,3.66140,73.70440,73.70440,0.00650,4.14150,4.15030,0.47970,0.99140,,4.79500,4.79280
2023-12-31,212.65600,128.38100,84.27510,37.06800,37.89000,46.38500,,46.38500,46.38500,46.38500,,46.38500,36.48100,36.48100,1.26000,1.26000,0.78330,4.09000,68.38020,68.38020,0.00630,3.85310,3.86150,0.43170,0.83490,,0.7241,-0.7785
2023-09-30,187.18200,121.89300,65.28900,18.74100,19.53600,45.75300,,45.75300,45.75300,45.75300,,45.75300,36.53100,36.53100,1.25000,1.25000,,3.88730,70.07770,70.07770,0.00650,3.94090,3.94930,0.45320,3.94090,,1.3639,2.8573
2023-06-30,162.42400,105.04400,57.38000,19.57200,20.31400,37.06600,,37.06600,37.06600,37.06600,,37.06600,36.49200,36.49200,1.02000,1.02000,0.78210,4.22740,70.34870,70.34870,0.00520,3.28740,3.29400,0.36580,0.71620,,12.774,12.7663
2023-03-31,149.93400,90.75900,59.17500,21.48600,22.22100,36.95400,,36.95400,36.95400,36.95400,,36.95400,36.36000,36.36000,1.02000,1.02000,,4.05300,69.93040,69.93040,0.00570,3.37320,3.38050,0.39960,3.37320,,14.25220,14.24820
2022-12-31,139.47400,81.46500,58.00900,26.28900,26.98400,31.02500,,31.02500,31.02500,31.02500,,31.02500,36.30400,36.30400,0.86000,0.86000,0.80510,4.56390,65.40940,65.40940,0.00510,2.90130,2.90700,0.33420,0.56550,29.43910,4.4057,4.389
2022-09-30,94.00100,52.50800,41.49300,13.89700,14.61900,26.87400,,26.87400,26.87400,26.87400,,26.87400,36.32900,36.32900,0.74000,0.74000,,4.49610,64.76760,64.76760,0.00450,2.56210,2.56720,0.28840,2.56210,,-0.2625,-0.2791
2022-06-30,68.27200,31.35400,36.91800,13.25500,13.89600,23.02200,,23.02200,23.02200,23.02200,,23.02200,36.31300,36.31300,0.63000,0.63000,,4.61280,63.79940,63.79940,0.00400,2.26030,2.26390,0.25800,2.26030,,-12.0682,-12.0783
2022-03-31,49.53500,19.28300,30.25200,18.47600,19.13300,11.11900,,11.11900,11.11900,11.11900,,11.11900,36.24900,36.24900,0.31000,0.31000,0.78090,4.10100,50.21910,50.21910,0.00260,1.10690,1.10870,0.13150,0.24250,,-13.27520,-13.27730
2021-12-31,44.81700,14.22100,30.59600,9.79400,10.53000,20.06600,,20.06600,20.06600,20.06600,,20.06600,38.79600,38.79600,0.53000,0.53000,0.76910,3.96570,67.67160,67.67160,0.00370,2.02320,2.02650,0.24960,0.46710,27.37410,-19.7828,-19.7866
2021-09-30,38.75000,12.69100,26.05900,9.60700,10.32800,15.73100,,15.73100,15.73100,15.73100,,15.73100,38.78900,38.78900,0.41000,0.41000,0.65940,2.49940,60.36690,60.36690,0.00370,1.55330,1.55590,0.22550,0.52910,,-0.7754,-0.7769
2021-06-30,38.75600,13.16600,25.59000,10.56200,11.50600,14.08400,,14.08400,14.08400,14.08400,,14.08400,39.65900,39.65900,0.36000,0.36000,0.66650,2.23330,58.18390,58.18390,0.00360,1.36640,1.36850,0.20950,0.45570,,0.7075,0.7051
2021-03-31,35.98400,14.02300,21.96100,8.05500,9.14500,12.81600,,12.81600,12.81600,12.81600,,12.81600,39.69300,39.69300,0.32000,0.32000,0.64330,2.02970,58.35800,58.35800,0.00340,1.23630,1.23830,0.20100,0.44100,,-2.61850,-2.62250
