Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2020-12-31,38.46000,15.46400,22.99600,6.18200,7.25500,15.74100,,15.74100,15.74100,15.74100,,15.74100,39.65600,39.65600,0.39000,0.39000,,1.99450,60.74330,60.74330,0.00410,1.51660,1.51950,0.25030,1.51660,26.15920,-4.7315,-4.7415
2020-09-30,42.41500,17.08600,25.32900,8.58400,9.88500,15.44400,,15.44400,15.44400,15.44400,,15.44400,39.67200,39.67200,0.39000,0.39000,0.66830,2.11290,64.92900,64.92900,0.00380,1.50570,1.50700,0.24470,0.49940,,3.1615,3.1475
2020-06-30,45.15600,22.78400,22.37200,7.22600,8.26600,14.10600,,14.10600,14.10600,14.10600,,14.10600,39.65400,39.65400,0.36000,0.36000,0.72000,2.58460,63.05200,63.05200,0.00340,1.38040,1.38180,0.21280,0.38660,,31.3645,31.3636
2020-03-31,61.94500,33.18900,28.75600,9.52800,10.45400,18.30200,,18.30200,18.30200,18.30200,,18.30200,39.60900,39.60900,0.46000,0.46000,0.75490,3.19840,63.44950,63.44950,0.00420,1.79700,1.79920,0.26830,0.44040,,1.66130,1.66100
2019-12-31,69.55100,37.17800,32.37300,9.35600,10.38900,21.98400,,22.09600,22.09600,22.09600,,22.09600,39.57500,39.57500,0.55000,0.55000,0.75540,3.24210,66.22310,66.22310,0.00460,2.17440,2.17750,0.30480,0.53190,25.66010,-6.9651,-6.9773
2019-09-30,68.87700,38.85600,30.02100,8.69700,9.46900,20.55200,,20.44000,20.44000,20.44000,,20.44000,39.60200,39.60200,0.52000,0.52000,0.72240,2.74350,69.50250,69.50250,0.00440,2.02560,2.02850,0.30590,0.56230,,-3.1748,-3.1869
2019-06-30,76.23300,42.59900,33.63400,10.46600,11.36200,22.27200,,22.27200,22.27200,22.27200,,22.27200,39.55300,39.55300,0.56000,0.56000,0.70580,2.49820,67.85490,67.85490,0.00500,2.22160,2.22480,0.33870,0.65360,,5.1096,5.1085
2019-03-31,76.66300,45.53400,31.12900,9.02900,9.88400,21.24500,,21.24500,21.24500,21.24500,,21.24500,39.54200,39.54200,0.54000,0.54000,,2.64740,68.24830,68.24830,0.00480,2.13100,2.13420,0.32940,2.13100,,2.69470,2.69410
2018-12-31,17.53800,46.14600,-28.60800,11.89300,12.38300,-40.99100,,20.73300,20.73300,20.73300,,20.73300,39.54300,39.54300,0.52000,0.52000,0.77980,3.59090,-72.47270,-72.47270,-0.00380,2.08670,2.09010,0.27250,0.45950,25.13000,3.3168,3.3302
2018-09-30,62.99000,37.72400,25.26600,10.20000,10.85100,14.41500,-55.13400,-40.71900,-40.71900,-40.71900,,-40.71900,39.54000,39.54000,-1.03000,-1.03000,0.59010,2.75600,-161.16130,-161.16130,0.00390,-4.11740,-4.12490,-0.62060,-1.68760,25.01330,-9.2054,-9.2216
2018-06-30,66.68500,34.03000,32.65500,10.71400,11.37000,21.28500,-4.65900,16.62600,16.62600,16.62600,,16.62600,39.62600,39.65100,0.42000,0.42000,0.52760,2.13080,50.91410,50.91410,0.00520,1.58740,1.59470,0.26260,0.74990,26.42430,-4.1265,-4.1384
2018-03-31,61.59000,30.84700,30.74300,13.65300,14.31400,16.42900,-1.93100,14.49800,14.49800,14.49800,,14.49800,39.46600,39.49200,0.37000,0.37000,0.51780,1.86780,47.15870,47.15870,0.00520,1.38510,1.39190,0.24680,0.66790,26.46950,5.62520,5.62470
2017-12-31,62.32800,27.65800,34.67000,12.42200,13.11400,21.55600,-0.95700,20.59900,20.59900,20.59900,,20.59900,39.31100,39.32900,0.53000,0.52000,0.67960,2.12690,59.41450,59.41450,0.00550,1.97530,1.98570,0.32870,0.63300,26.44780,-5.2904,-5.3421
2017-09-30,58.21900,27.15300,31.06600,9.39500,9.95300,21.11300,-0.65200,20.46100,20.46100,20.46100,,20.46100,39.36200,39.41300,0.52000,0.52000,0.56820,2.03520,65.86300,65.86300,0.00500,1.98320,1.98770,0.33000,0.85630,26.20960,-2.846,-2.853
2017-06-30,61.16800,26.75400,34.41400,12.06800,12.60200,21.81200,-4.33100,17.48100,17.48100,17.48100,,17.48100,39.31700,39.34700,0.44000,0.44000,0.59200,1.93130,50.79620,50.79620,0.00540,1.70690,1.71120,0.27220,0.69650,26.01980,8.7715,8.7677
2017-03-31,62.86200,24.69900,38.16300,10.57400,11.20600,26.95700,-3.49900,23.45800,23.45800,23.45800,,23.45800,39.18800,39.29600,0.60000,0.60000,0.66290,2.71380,61.46790,61.46790,0.00540,2.30230,2.30840,0.33190,0.77620,25.97470,17.57920,17.57420
2016-12-31,66.96200,23.76500,43.19700,11.52000,12.14100,31.05600,-17.71200,13.34400,13.34400,13.34400,,13.34400,39.08500,39.21000,0.33900,0.34000,0.63730,3.22970,30.89100,30.89100,0.00600,1.31950,1.32330,0.18580,0.47860,25.82580,2.1033,2.0407
2016-09-30,66.37400,22.99700,43.37700,10.64600,11.24400,32.13300,-4.14200,27.99100,27.99100,27.99100,,27.99100,39.10200,39.22500,0.72000,0.71000,0.64430,3.03400,64.52960,64.52960,0.00600,2.76900,2.77750,0.38410,0.98480,25.94040,2.0096,1.9732
2016-06-30,66.65200,22.28700,44.36500,9.64400,10.06900,34.29600,-12.02400,22.27200,22.27200,22.27200,,22.27200,39.07800,39.19800,0.57000,0.57000,0.67350,3.38460,50.20170,50.20170,0.00580,2.24460,2.24550,0.29180,0.73280,25.38060,5.9517,5.9479
2016-03-31,58.67500,21.64000,37.03500,11.91800,12.36000,24.67500,-1.23700,23.43800,23.43800,23.43800,,23.43800,38.99700,39.12100,0.60100,0.60000,0.65440,3.59540,63.28610,63.28610,0.00480,2.38420,2.38530,0.30560,0.82390,27.22010,11.08510,11.08660
2015-12-31,63.90900,20.34800,43.56100,12.64200,13.09900,30.46200,-7.23600,23.22600,23.22600,23.22600,,23.22600,38.92500,39.11300,0.59030,0.58000,0.65940,4.56960,53.31830,53.31830,0.00530,2.38970,2.39070,0.28030,0.81390,24.94180,-4.7741,-4.7782
2015-09-30,70.61700,18.63900,51.97800,12.40800,12.87100,39.10700,-1.73500,37.37200,37.37200,37.37200,,37.37200,38.96900,39.09500,0.96000,0.96000,0.65050,4.00320,71.89970,71.89970,0.00650,3.88570,3.88570,0.46750,1.35800,24.68070,0.1091,0.1053
2015-06-30,54.11100,18.01700,36.09400,12.18400,12.70200,23.39200,-9.87400,13.51800,13.51800,13.51800,,13.51800,38.95400,39.07300,0.35000,0.35000,0.62590,4.21200,37.45220,37.45220,0.00430,1.42230,1.42230,0.16270,0.53210,24.38980,8.7931,8.7901
2015-03-31,60.05400,17.82900,42.22500,12.58300,13.11200,29.11300,0.75500,29.86800,29.86800,29.86800,,29.86800,38.80500,38.85800,0.76970,0.77000,0.57780,4.60270,70.73530,70.73530,0.00530,3.17230,3.17230,0.37540,1.33950,24.19720,6.59550,6.59140
2014-12-31,71.50500,17.93600,53.56900,13.87300,14.45400,39.11500,,32.03800,32.03800,32.03800,,32.51300,38.69300,38.88200,0.81000,0.81000,0.60570,4.94690,55.12100,55.93830,0.00720,3.51660,3.52060,0.39940,1.38650,23.49430,-10.1229,-10.122
2014-09-30,58.48500,17.93900,40.54600,13.33500,13.94200,26.60400,,26.60400,26.60400,26.60400,,26.60400,38.72300,38.86900,0.69000,0.68000,0.61090,4.06780,67.51260,67.51260,0.00510,2.92680,2.92680,0.34130,1.13890,23.43760,1.3339,1.3317
2014-06-30,55.17100,18.18100,36.99000,15.66400,16.30300,20.68700,,20.68700,20.68700,20.68700,,19.73700,38.66600,38.79900,0.54000,0.53000,0.62590,4.19420,61.64180,58.81110,0.00440,2.30790,2.30790,0.26940,0.86340,23.17840,1.0835,1.0832
2014-03-31,54.01100,17.50600,36.50500,12.80800,13.46800,23.03700,,23.03700,23.03700,23.03700,,23.51200,38.60000,38.67900,0.61000,0.61000,0.58160,4.16470,63.07880,64.37940,0.00510,2.60180,2.60180,0.32090,1.08860,22.90240,0.85050,0.85010
2013-12-31,53.04500,18.86400,34.18100,12.29400,12.96400,21.21700,,21.21700,21.21700,21.21700,,23.91000,38.40600,38.53300,0.62000,0.62000,0.57210,4.82120,60.86700,68.59260,0.00470,2.47000,2.47540,0.28600,1.05680,22.26950,0.6315,0.6266
2013-09-30,56.08100,19.41000,36.67100,16.10800,16.79500,19.87600,,19.87600,19.87600,19.87600,,22.82600,38.45900,38.67200,0.59000,0.59000,0.57160,4.50190,60.65300,69.65520,0.00430,2.32970,2.32970,0.26110,0.99810,22.17190,0.6093,0.6064
2013-06-30,56.36600,21.55200,34.81400,11.00000,11.66800,23.14600,,23.14600,23.14600,23.14600,0.02300,21.72300,38.41300,38.62500,0.57000,0.56000,0.54160,4.19200,61.78030,57.98210,0.00520,2.75390,2.75390,0.31960,1.26240,21.87060,0.5168,0.515
2013-03-31,49.99900,22.38500,27.61400,10.55900,11.28100,16.33300,,16.33300,16.33300,16.33300,-0.02700,16.29400,38.21800,38.31300,0.43000,0.43000,0.65680,4.02840,54.83630,54.70540,0.00430,1.93190,1.93190,0.23690,0.66310,22.01510,-0.34180,-0.34460
2012-12-31,57.97500,25.32900,32.64600,7.25500,7.89300,24.75300,,24.75300,24.75300,24.75300,-0.08900,24.57800,37.82400,37.93800,0.65000,0.64000,0.69750,4.29100,60.40560,59.97850,0.00610,2.99500,2.99500,0.36640,0.90600,21.66670,0.6374,0.6017
2012-09-30,49.69500,22.57100,27.12400,13.34800,14.02100,13.10300,,13.10300,13.10300,13.10300,-0.13000,13.01000,38.03100,38.24600,0.34000,0.34000,0.71190,3.84710,49.36520,49.01480,0.00420,1.60950,1.60950,0.20630,0.46370,21.34420,0.3689,0.3594
2012-06-30,60.71700,20.81100,39.90600,15.92000,16.42100,23.48500,,23.48500,23.48500,23.48500,-0.15800,23.22300,37.83300,38.07500,0.61000,0.61000,0.71800,3.63700,63.49010,62.78180,0.00590,2.90810,2.90810,0.37720,0.82020,21.29340,1.1877,1.1596
2012-03-31,60.55000,18.74900,41.80100,8.67900,9.13600,32.66500,,32.66500,32.66500,32.66500,-0.30400,32.22100,37.28100,37.56600,0.86000,0.86000,0.66720,3.52560,72.09390,71.11390,0.00750,4.17710,4.17710,0.54170,1.39000,,0.36530,0.36480
2011-12-31,62.95400,16.96500,45.98900,20.51700,20.98000,25.00900,,25.00900,25.00900,25.00900,,24.79700,37.12700,37.41800,0.67000,0.66000,0.66210,4.20750,65.29590,64.74240,0.00600,3.29380,3.29380,0.39320,1.11310,20.44820,1.407,1.3938
2011-09-30,41.35800,13.88700,27.47100,10.82600,11.28600,16.18500,,16.18500,16.18500,16.18500,,16.33900,37.06800,37.06800,0.44000,0.44000,0.66200,4.04640,56.70390,57.24350,0.00450,2.21410,2.21110,0.25720,0.74720,,1.253,1.2416
2011-06-30,49.38800,12.41000,36.97800,10.19700,10.81700,26.16100,,26.16100,26.16100,26.16100,,25.74000,36.94300,37.20100,0.70000,0.69000,0.67920,3.97260,66.12160,65.05750,0.00680,3.57880,3.57880,0.45050,1.14790,,1.6249,1.6048
2011-03-31,43.75000,11.45500,32.29500,15.17200,15.79400,16.50100,,16.50100,16.50100,16.50100,,16.30400,36.73100,36.99300,0.44000,0.44000,0.62780,3.67000,60.04080,59.32400,0.00520,2.33070,2.33070,0.31130,0.86620,,0.53060,0.51600
2010-12-31,51.94200,12.18100,39.76100,23.80100,24.41200,15.34900,,15.34900,15.34900,15.34900,,15.51700,36.69900,36.98300,0.42000,0.42000,0.60670,3.53870,56.87980,57.50230,0.00530,2.20200,2.20200,0.30100,0.86610,18.98770,1.8668,1.8321
2010-09-30,24.83900,11.56100,13.27800,-2.81900,-2.19700,15.47500,,15.47500,15.47500,15.47500,,14.96800,36.67900,36.81400,0.41000,0.41000,0.59870,3.13640,59.87620,57.91450,0.00530,2.24280,2.24600,0.31840,0.90130,,0,0
2010-06-30,28.47600,10.50000,17.97600,18.15400,18.75500,-0.77900,,-0.77900,-0.77900,-0.77900,,1.66300,36.64800,36.80800,0.05000,0.05000,0.67060,3.08170,-8.41890,17.97260,0.00210,-0.11580,-0.11590,-0.01770,-0.03810,,0,0
2010-03-31,30.71100,10.73300,19.97800,9.52600,10.20200,9.77600,,9.77600,9.77600,9.77600,,10.09600,36.56000,36.71500,0.28000,0.28000,0.67180,2.60790,49.32640,50.94100,0.00500,1.43550,1.43550,0.24670,0.47110,,0.00000,
2009-12-31,19.05400,13.07300,5.98100,-6.81400,-6.16700,12.14800,,12.14700,12.14700,12.14700,,11.91500,36.54600,36.72700,0.33000,0.32000,0.67300,2.65560,55.10340,54.05100,0.00570,1.79790,1.79790,0.31320,0.58790,18.48750,0.4757,0.409
2009-09-30,41.48700,17.07000,24.41700,7.51300,8.15700,16.26000,,16.26000,16.26000,16.26000,,15.75300,36.53900,36.80400,0.43000,0.43000,0.66090,2.54960,65.57250,63.52790,0.00670,2.44510,2.44140,0.43670,0.82790,,0,0
2009-06-30,49.58800,21.46400,28.12400,16.83000,17.52700,10.59700,,10.59700,10.59700,10.59700,,10.48800,36.47100,36.66900,0.29000,0.29000,0.63690,3.18660,55.13820,54.57100,0.00470,1.64810,1.64810,0.26060,0.59840,,0,0
2009-03-31,79.55800,25.60500,53.95300,36.29400,36.97700,16.97600,,16.97600,16.97600,16.97600,,16.70700,36.41600,36.46400,0.46000,0.46000,0.65720,3.60570,60.36560,59.40900,0.00680,2.82460,2.82460,0.41320,0.96840,,0.00000,
