Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,431.96900,194.49400,237.47500,27.80800,91.25300,-9.83300,128.89400,108.58100,63.21000,171.79100,11.91900,159.87200,159.87200,157.75600,108.58100,108.58100,1040.92200,1044.26500,0.15000,0.15000,7.64030,,54.97500,25.13630,25.13630,39.76930,36.52020,0.07460,112.11240,0.80280,3.08200,3.41320,2.76250,3.08200,,0,0
2024-06-30,380.37900,180.54700,199.83200,31.94400,81.38600,-8.70500,122.03500,77.79700,44.90600,122.70300,7.04400,115.65900,115.65900,113.26800,77.79700,77.79700,1040.29500,1045.27700,0.11000,0.11000,6.93920,,52.53500,20.45250,20.45250,32.25810,29.77770,0.06980,100.97660,0.89130,2.35390,2.61350,2.12260,2.35390,,0,0
2024-03-31,314.21200,142.91500,171.29700,34.30700,83.73800,-10.01600,128.06100,43.23600,45.55200,88.78800,7.57900,81.20900,81.20900,80.48900,43.23600,43.23600,1043.20600,1045.23400,0.08000,0.08000,5.85500,,54.51640,13.76010,13.76010,28.25740,25.61610,0.05740,35.97570,2.50170,1.68030,1.87130,1.48380,1.68030,,0.00000,
2023-12-31,345.67790,165.44500,180.23290,36.42700,98.35500,-8.99700,143.77900,36.45390,49.74600,86.20000,1.17400,85.02600,85.02600,84.42600,36.45390,36.45400,1055.59600,1058.11800,-0.02000,-0.02000,7.32810,,52.13900,10.54560,10.54560,24.93650,24.42330,0.06240,104.81440,0.85870,1.69490,1.88400,1.53420,1.69490,4.76110,0.3021,0.2889
2023-09-30,310.29600,156.53200,153.76400,32.58200,79.66400,-7.65600,119.90200,33.86200,58.24500,92.10700,7.34700,84.76000,84.76000,84.20300,33.86200,33.86200,1051.26300,1052.96300,0.08000,0.08000,8.21020,,49.55400,10.91280,10.91280,29.68360,27.13640,0.05810,106.33860,0.84640,1.74740,1.94440,1.58750,1.74740,,0,0
2023-06-30,284.36700,134.49600,149.87100,30.84900,66.67500,-6.31500,103.83900,46.03200,41.65300,87.68500,3.70000,83.98500,83.98500,83.50800,46.03200,46.03200,1058.85200,1060.94200,0.08000,0.08000,10.39510,,52.70340,16.18750,16.18750,30.83520,29.36630,0.05370,115.78460,0.77730,1.73660,1.93520,1.58660,1.73660,,0,0
2023-03-31,247.86900,123.67800,124.19100,33.47300,61.91100,-4.66800,100.05200,24.13900,38.59300,62.73200,2.82200,59.91000,59.91000,59.54300,24.13900,24.13900,1064.67200,1067.61800,0.06000,0.06000,12.14490,,50.10350,9.73860,9.73860,25.30850,24.02200,0.04650,81.37520,1.10600,1.21810,1.36390,1.12350,1.21810,,0.00000,
2022-12-31,262.50600,129.47900,133.02690,33.52300,91.24800,-4.97900,129.75000,3.27690,31.54700,34.82400,2.31300,32.51100,32.51100,32.24100,3.27690,3.27700,1075.89300,1078.98100,-0.02000,-0.02000,11.34950,,50.67580,1.24830,1.24830,13.26600,12.28200,0.04930,139.11290,0.64700,0.66620,0.74670,0.61110,0.66620,4.55880,-0.0021,-0.0135
2022-09-30,254.24400,133.96400,120.28000,31.85700,61.77900,-6.72600,100.36200,19.91800,46.24200,66.16000,10.56300,55.59700,55.59700,55.31900,19.91800,19.91800,1061.26200,1065.88700,0.05000,0.05000,11.43310,,47.30890,7.83420,7.83420,26.02230,21.75820,0.04920,108.93060,0.82620,1.17300,1.31500,1.07670,1.17300,,0,0
2022-06-30,249.33200,138.23900,111.09300,32.30400,80.76400,-4.95500,118.02300,-6.93000,9.22200,2.29200,0.39000,1.90200,1.90200,1.70300,-6.93000,-6.93000,1082.58100,1084.79600,0.00000,0.00000,11.92750,0.00020,44.55630,-2.77940,-2.77940,0.91930,0.68300,0.04690,113.38430,0.79380,0.03880,0.04370,0.03580,0.03880,,0,0
2022-03-31,210.20500,107.88000,102.32500,34.85500,102.60700,-4.61600,142.07800,-39.75300,10.12100,-29.63200,0.65800,-30.29000,-30.29000,-30.28800,-39.75300,-39.75300,1092.94700,1092.94700,-0.03000,-0.03000,12.99560,0.00030,48.67870,-18.91150,-18.91150,-14.09670,-14.40880,0.03940,57.89180,1.55460,-0.61010,-0.69050,-0.56730,-0.61010,,0.00000,
