Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,117.13200,1.53600,115.59600,8.62300,-6.18400,45.68600,69.91000,-20.45800,49.45200,0.15900,49.29300,,49.29300,49.14000,102.55700,69.91000,175.33100,179.61100,0.28000,0.27000,0.40690,0.68600,59.68480,59.68480,42.21900,41.95270,0.02120,1.53960,1.53960,0.89100,0.91320,18.26050,0.3999,-1.0271
2024-06-30,109.26800,1.15500,108.11300,8.71000,-2.67900,41.31600,66.79700,-14.96600,51.83100,0.15500,51.67600,,51.67600,51.51700,98.14200,66.79700,175.31900,177.58400,0.29000,0.29000,0.37060,0.58880,61.13140,61.13140,47.43480,47.14740,0.02070,1.58890,1.58890,0.98110,1.00000,18.54940,0.4375,-1.0484
2024-03-31,103.50100,0.99300,102.50800,9.35800,-2.24200,40.12500,62.38300,-15.10400,47.27900,0.15600,47.12300,,47.12300,46.97500,92.28600,62.38300,167.29100,168.85500,0.28000,0.28000,0.33950,0.51400,60.27290,60.27290,45.67980,45.38600,0.02060,1.45100,1.45100,0.93990,0.95840,18.52510,0.39530,-0.99710
2023-12-31,97.73500,1.31700,96.41800,7.33600,2.95700,31.82000,64.59800,-15.16500,49.43300,0.16200,49.27100,,49.27100,49.09500,91.67800,64.59800,152.14100,153.52200,0.31000,0.31000,0.35840,0.55860,66.09510,66.09510,50.57860,50.23280,0.02050,1.64950,1.64950,1.03330,1.05830,18.14320,0.5004,-1.6154
2023-09-30,91.65700,1.35900,90.29800,7.17400,1.75700,31.62900,58.66900,-12.41900,46.25000,0.16200,46.08800,,46.08800,45.91400,87.21200,58.66900,155.91700,157.18300,0.29000,0.29000,0.35950,0.56130,64.00930,64.00930,50.45990,50.09330,0.02030,1.62410,1.62410,1.02140,1.04020,18.18820,0.3719,-0.852
2023-06-30,86.51600,1.14400,85.37200,7.58500,11.73700,20.59000,64.78200,-11.62300,53.15900,0.15900,53.00000,,53.00000,52.80200,91.10900,64.78200,150.49200,151.52200,0.35000,0.35000,0.33620,0.50640,74.87860,74.87860,61.44410,61.03150,0.02010,1.88800,1.88800,1.22890,1.25330,18.09120,0.4182,-1.3537
2023-03-31,83.68700,0.84300,82.84400,8.58300,4.26700,28.14000,54.70400,-11.49500,43.20900,0.15300,43.05600,,43.05600,42.89600,80.34300,54.70400,144.40600,146.00000,0.30000,0.29000,0.35080,0.54030,65.36740,65.36740,51.63170,51.25770,0.02020,1.63670,1.63670,1.04090,1.06260,17.67440,0.36770,-1.03070
2022-12-31,74.27600,0.78500,73.49100,6.50700,2.99300,27.63500,45.85600,-10.10300,35.75300,0.23200,35.52100,,35.52100,35.35000,69.34300,45.85600,134.94100,135.85600,0.25000,0.25000,0.36270,0.56900,61.73730,61.73730,48.13530,47.59280,0.01860,1.42270,1.42270,0.88800,0.90670,17.53600,0.4483,-1.6729
2022-09-30,70.66300,0.83000,69.83300,7.86800,6.01000,23.91200,45.92100,-9.14000,36.78100,0.19000,36.59100,,36.59100,36.42800,72.55100,45.92100,139.06800,139.89100,0.26000,0.26000,0.33660,0.50740,64.98590,64.98590,52.05130,51.55170,0.01830,1.46150,1.46150,0.94950,0.96950,17.58500,0.3325,-0.7038
2022-06-30,71.44600,0.82800,70.61800,7.02600,3.72900,25.37100,45.24700,-9.16000,36.08700,0.27500,35.81200,,35.81200,35.65300,68.52900,45.24700,131.27200,132.02000,0.27000,0.27000,0.35370,0.54730,63.33040,63.33040,50.50950,49.90200,0.01990,1.57900,1.57900,0.99830,1.02050,17.09490,0.4277,-0.7039
