Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,70.12100,1.00900,69.11200,8.06300,-2.33700,30.71300,38.39900,-11.28000,27.11900,0.30100,26.81800,,26.81800,26.69900,59.92400,38.39900,126.83900,127.92300,0.21000,0.21000,0.34470,0.52610,54.76110,54.76110,38.67460,38.07560,0.02020,1.20590,1.20590,0.77380,0.79020,16.95670,0.34480,-1.11210
2021-12-31,65.01500,1.81600,63.19900,5.83200,0.58900,24.20400,38.99500,-9.15000,29.84500,0.05500,29.79000,,29.79000,29.63900,59.14900,38.99500,116.35800,117.46600,0.25000,0.25000,0.36320,0.57040,59.97850,59.97840,45.90480,45.58790,0.01970,1.45760,1.45760,0.90310,0.92820,16.39650,0.4648,-2.0161
2021-09-30,59.60100,1.35800,58.24300,5.59600,1.32700,21.62400,36.61900,-8.91800,27.70100,0.05500,27.64600,,27.64600,27.50700,55.47000,36.61900,119.23100,120.29900,0.23000,0.23000,0.34440,0.52530,61.44030,61.44030,46.47740,46.15190,0.01950,1.42180,1.42180,0.90530,0.93220,16.02140,0.3706,-1.471
2021-06-30,57.06600,1.17400,55.89200,6.47000,3.47800,20.17600,35.71600,-12.25500,23.46100,0.06100,23.40000,,23.40000,23.28400,54.95200,35.71600,116.31800,117.51300,0.20000,0.20000,0.35670,0.55440,62.58720,62.58720,41.11210,40.80190,0.01940,1.27000,1.27000,0.79360,0.81700,15.61730,0.3107,-0.9793
2021-03-31,48.55200,1.41400,47.13800,6.43100,-1.97200,24.04900,23.08900,-7.65800,15.43100,0.05600,15.37500,,15.37500,15.29500,40.55500,23.08900,106.98600,108.05600,0.14000,0.14000,0.36100,0.56500,47.55520,47.55520,31.78240,31.50230,0.01820,0.92940,0.92940,0.57740,0.59390,15.15300,0.27890,-1.34440
2020-12-31,41.11000,2.12600,38.98400,4.73800,-1.76900,25.51100,13.47300,-7.71200,5.76100,0.05600,5.70500,,5.70500,5.67000,35.59600,13.47300,95.31100,96.19800,0.05000,0.05000,0.34010,0.51540,32.77310,32.77310,14.01360,13.79230,0.01650,0.36060,0.36060,0.22920,0.23800,14.87320,0.3096,-2.2308
2020-09-30,42.90900,0.81000,42.09900,5.91700,-2.23200,22.11500,19.98400,-7.59300,12.39100,0.05500,12.33600,,12.33600,12.26300,34.33100,19.98400,94.25900,95.04000,0.13000,0.13000,0.33820,0.51090,46.57300,46.57300,28.87740,28.57910,0.01750,0.78990,0.78990,0.50320,0.52280,14.92020,0.3294,-0.7602
2020-06-30,38.50300,0.57200,37.93100,6.25300,-0.44100,20.15800,17.77300,-7.25900,10.51400,0.07000,10.44400,,10.44400,10.38100,32.86700,17.77300,91.60400,92.48400,0.11000,0.11000,0.37020,0.58790,46.16000,46.16000,27.30700,26.96150,0.01710,0.76890,0.76890,0.46470,0.48420,14.60250,0.1057,-0.2962
2020-03-31,41.48700,0.37300,41.11400,7.53600,1.03400,19.51400,21.60000,-7.52600,14.07400,0.03100,14.04300,,14.04300,13.95900,35.83000,21.60000,90.32200,91.33200,0.15000,0.15000,0.38930,0.63740,52.06450,52.06450,33.92390,33.64670,0.01800,1.03580,1.03580,0.60910,0.63260,14.74480,0.28850,-1.45160
2019-12-31,39.20400,0.73600,38.46800,5.29000,30.01000,-12.34100,50.80900,-36.09000,14.71900,0.09400,14.62500,,14.62500,14.51900,63.90900,50.80900,64.10400,75.31000,0.20000,0.18000,0.37680,0.60470,129.60160,129.60160,37.54470,37.03450,0.01980,1.21660,1.21660,0.74030,0.75820,14.35170,0.3912,-1.9847
2019-09-30,36.29100,0.44200,35.84900,7.53000,-7.20700,25.87800,9.97100,4.20100,14.17200,0.06600,14.10600,,14.10600,13.24500,22.05400,9.97100,72.48400,77.61300,0.18000,0.18000,0.37470,0.59930,27.47510,27.47510,39.05100,36.49670,0.02010,1.28120,1.28120,0.78130,0.80110,13.81940,0.3174,-1.4993
2019-06-30,32.75500,0.64500,32.11000,4.73700,-6.26000,21.10200,11.00800,-0.36100,10.64700,0.07600,10.57100,,10.57100,7.95100,22.03700,11.00800,57.10400,76.66600,0.14000,0.14000,0.35720,0.55570,33.60710,33.60710,32.50500,24.27420,0.01990,1.02580,1.02580,0.64330,0.65940,17.82130,0.2047,-1.6375
2019-03-31,31.10700,1.24700,29.86000,4.18800,-8.52900,21.83700,8.02300,0.76700,8.79000,0.06700,8.72300,,8.72300,6.12900,18.18700,8.02300,45.24000,64.64000,0.13000,0.13000,0.32680,0.48560,25.79160,25.79160,28.25730,19.70300,0.01970,0.83920,0.83920,0.55190,0.56490,17.97650,0.26270,-1.50160
2018-12-31,28.64900,0.75900,27.89000,3.89000,-7.69600,20.09600,7.79400,2.96900,10.76300,0.05200,10.71100,,8.29900,5.78000,17.21500,7.79400,42.63500,61.76600,0.13000,0.13000,0.39970,0.66600,27.20510,27.20510,37.56850,20.17520,0.02070,1.02330,1.02330,0.60100,0.61420,18.53850,0.2752,-1.3931
2018-09-30,25.74200,0.49400,25.24800,3.52900,-7.33300,19.62500,5.62300,2.11000,7.73300,0.02600,7.70700,,7.70700,5.32400,15.39600,5.62300,42.36500,61.47300,0.12000,0.12000,0.38380,0.62280,21.84370,21.84370,30.04040,20.68220,0.01900,0.94580,0.94580,0.56880,0.58280,18.62650,0.2421,-1.7166
2018-06-30,21.66500,0.38000,21.28500,2.98700,-9.54100,20.13900,1.14600,0.02800,1.17400,0.08700,1.08700,2.41200,3.49900,3.40000,9.37700,1.14600,40.97700,60.03300,0.01000,0.01000,0.39340,0.64860,5.28960,5.28960,5.41890,15.69350,0.01650,0.44600,0.44600,0.26660,0.27060,19.14350,0.2261,-4.3555
2018-03-31,20.16700,0.34700,19.82000,3.35600,-10.12500,19.94900,-0.12900,1.26800,1.13900,0.03000,1.10900,,1.10900,1.10900,7.09100,-0.12900,,,,0.00000,,,-0.63970,-0.63970,5.64780,5.49910,,,,,,,0.00000,
2017-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
2017-09-30,13.58000,0.38900,13.19100,2.33600,-7.17400,14.66400,-1.47300,1.98600,0.51300,-0.00900,0.52200,,0.52200,0.52200,4.85000,-1.47300,,,,0.00000,,,-10.84680,-10.84680,3.77760,3.84390,,,,,,,0,0
2017-06-30,13.31700,0.47900,12.83800,2.33100,-5.58800,12.22400,0.61400,,0.61400,0.03500,0.57900,1.46800,2.04700,2.04700,0.61400,0.61400,,,,0.00000,,,4.61070,4.61070,4.61060,15.37130,,,,,,,0,0
2016-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,0,0
