Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,43.81800,21.57700,22.24100,15.41000,50.76700,,66.17700,-43.93600,3.37500,-40.56100,-0.05500,-40.50600,-40.50600,-40.50600,-38.92800,-43.93600,319.01500,319.01500,-0.11000,-0.11000,2.57720,,50.75770,-100.26930,-100.26930,-92.56700,-92.44150,0.08060,3.86960,3.32460,27.07110,-10.19940,-12.65020,-7.45050,-10.19940,1.21500,-0.0088,-0.0169
2024-09-30,43.79300,22.09300,21.70000,15.26100,50.46400,,65.72500,-44.02500,5.69100,-38.33400,0.06700,-38.40100,-38.40100,-38.40100,-39.77100,-44.02500,321.15100,321.15100,-0.12000,-0.12000,2.77610,,49.55130,-100.52980,-100.52980,-87.53450,-87.68750,0.07920,2.91390,2.93560,30.65830,-9.44060,-11.65860,-6.94510,-9.44060,1.25980,-0.0208,-0.0283
2024-06-30,42.21600,22.83600,19.38000,15.36000,54.12900,-95.00000,164.48900,-145.10900,3.57700,-141.53200,0.05400,-141.58600,-141.58600,-141.58600,-141.78500,-145.10900,316.80100,316.80100,-0.45000,-0.45000,2.73420,,45.90680,-343.72990,-343.72990,-335.25680,-335.38470,0.07510,2.60540,2.44570,36.79860,-34.28570,-42.24800,-25.17570,-34.28570,1.29450,-0.0249,-0.0323
2024-03-31,39.87200,20.28000,19.59200,14.90000,45.47600,,60.37600,-40.78400,4.69700,-36.08700,0.04100,-36.12800,-36.12800,-36.12800,-38.12700,-40.78400,313.00800,313.00800,-0.12000,-0.12000,7.83860,,49.13720,-102.28730,-102.28730,-90.50710,-90.61000,0.06960,2.39800,2.15840,41.69770,-6.90770,-8.12350,-6.30720,-6.90770,1.66290,-0.01230,-0.01930
2023-12-31,39.54500,21.32700,18.21800,14.59400,52.76400,,67.35800,-49.14000,5.18200,-43.95800,-0.01300,-43.94500,-43.94500,-43.94500,-47.24100,-49.14000,300.69700,300.69700,-0.14000,-0.14000,9.55920,,46.06900,-124.26350,-124.26350,-111.15950,-111.12660,0.06850,2.33980,2.33650,38.51940,-8.30270,-9.75320,-7.61410,-8.30270,1.70700,-0.0361,-0.0438
2023-09-30,40.64200,20.74500,19.89700,15.57700,53.71900,,69.29600,-49.39900,4.75500,-44.64400,0.11000,-44.75400,-44.75400,-44.75400,-47.56300,-49.39900,303.43200,303.43200,-0.15000,-0.15000,9.68090,,48.95680,-121.54670,-121.54670,-109.84700,-110.11760,0.06900,1.68080,2.36220,38.09980,-8.28690,-9.71010,-7.59560,-8.28690,1.76740,-0.049,-0.0563
2023-06-30,39.56700,23.60400,15.96300,18.86100,56.00800,,74.86900,-58.90600,2.53300,-56.37300,0.16300,-56.53600,-56.53600,-56.53600,-55.83300,-58.90600,298.09600,298.09600,-0.19000,-0.19000,9.70590,,40.34420,-148.87660,-148.87660,-142.47480,-142.88670,0.06540,1.93510,2.12170,42.41940,-10.25130,-11.98040,-9.34900,-10.25130,1.83480,-0.0406,-0.0494
2023-03-31,37.99400,21.58200,16.41200,18.27300,54.93300,,73.20600,-56.79400,2.87600,-53.91800,-0.07600,-53.84200,-53.84200,-53.84200,-53.08400,-56.79400,293.07400,293.07400,-0.18000,-0.18000,10.81040,,43.19630,-149.48150,-149.48150,-141.91190,-141.71180,0.06130,1.96160,1.74150,51.68000,-9.44460,-10.98730,-8.69070,-9.44460,1.92790,-0.06960,-0.07870
2022-12-31,41.14100,29.30800,11.83300,18.42100,55.77900,,74.20000,-62.36700,2.38400,-59.98300,0.36700,-60.35000,-60.35000,-60.35000,-57.90000,-62.36700,283.58500,283.58500,-0.22000,-0.19000,10.57480,,28.76210,-151.59330,-151.59330,-145.79860,-146.69060,0.06420,2.64970,1.97380,45.59830,-10.33550,-11.98780,-9.42390,-10.33550,2.00970,-0.0712,-0.0823
2022-09-30,37.99300,21.60200,16.39100,19.08400,56.29300,,75.37700,-58.98600,0.71000,-58.27600,-0.01700,-58.25900,-58.25900,-58.25900,-54.62400,-58.98600,286.45800,286.45800,-0.20000,-0.20000,11.51990,,43.14220,-155.25490,-155.25490,-153.38620,-153.34140,0.05750,1.85000,1.94690,46.22830,-9.61640,-11.09900,-8.82160,-9.61640,2.10790,-0.1413,-0.1526
