Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-06-30,3551.00000,1172.00000,2379.00000,1178.00000,0.00000,1638.00000,741.00000,-198.00000,543.00000,190.00000,353.00000,363.00000,,362.00000,1231.00000,741.00000,484.50000,484.86100,0.75000,0.75000,0.69970,0.50510,1.23330,66.99520,20.86740,20.86740,15.29150,10.19430,0.06650,0.78450,2.01530,44.65780,2.41870,2.43330,0.67950,1.19700,30.95520,1.724,0.4206
2012-03-31,3625.00000,1313.00000,2312.00000,1135.00000,,1558.00000,754.00000,-184.00000,570.00000,189.00000,381.00000,390.00000,,389.00000,1211.00000,754.00000,483.82800,484.24900,0.80000,0.80000,0.66450,0.50800,1.23650,63.77930,20.80000,20.80000,15.72410,10.73100,0.06850,0.92600,2.17070,41.46210,2.62500,2.64100,0.73720,1.29150,30.68170,1.80900,0.11980
2011-12-31,3444.00000,1349.00000,2095.00000,1306.00000,-49.00000,1752.00000,343.00000,-108.00000,235.00000,32.00000,203.00000,211.00000,,308.00000,769.00000,343.00000,482.16900,482.46000,0.64000,0.64000,0.63260,0.50700,1.23870,60.83040,9.95940,9.95940,6.82350,8.94310,0.06590,1.04410,1.87790,47.92680,1.43880,1.44630,0.40400,0.70930,30.33580,0.9375,-0.7688
2011-09-30,4333.00000,1665.00000,2668.00000,1243.00000,-90.00000,1778.00000,890.00000,94.00000,984.00000,334.00000,650.00000,657.00000,,928.00000,1371.00000,890.00000,482.49900,482.79700,1.92000,1.92000,0.76950,0.50890,1.20990,61.57400,20.54000,20.54000,22.70940,21.41700,0.08470,1.41940,2.32960,38.63370,4.48370,4.50710,1.28350,2.20200,30.34560,3.3221,1.8458
2011-06-30,3609.00000,1267.00000,2342.00000,1215.00000,,1625.00000,717.00000,-196.00000,521.00000,174.00000,347.00000,353.00000,,352.00000,1165.00000,717.00000,481.92800,482.20300,0.73000,0.73000,0.80750,0.52750,1.31100,64.89330,19.86700,19.86700,14.43610,9.75340,0.07110,0.97090,1.93410,46.53370,2.53250,2.54630,0.69550,1.19650,28.90550,1.8675,0.7163
2011-03-31,3730.00000,1331.00000,2399.00000,1164.00000,,1567.00000,832.00000,-205.00000,627.00000,278.00000,349.00000,355.00000,,353.00000,1269.00000,832.00000,481.14400,481.36600,0.73000,0.73000,0.79960,0.53150,1.34150,64.31640,22.30560,22.30560,16.80970,9.46380,0.07380,1.00230,2.13260,42.20110,2.57640,2.59070,0.70210,1.20710,28.60480,1.72430,0.74160
2010-12-31,3434.00000,1219.00000,2215.00000,1325.00000,,1729.00000,486.00000,-199.00000,287.00000,113.00000,174.00000,178.00000,,176.00000,916.00000,486.00000,479.37300,479.60100,0.37000,0.37000,0.76960,0.53230,1.33290,64.50200,14.15260,14.15260,8.35760,5.12520,0.06810,0.84190,1.78580,50.39900,1.30670,1.31400,0.35280,0.61120,28.33150,2.0027,0.2754
2010-09-30,4064.00000,1436.00000,2628.00000,1179.00000,0.00000,1603.00000,1025.00000,-213.00000,812.00000,258.00000,554.00000,557.00000,,555.00000,1493.00000,1025.00000,479.57810,479.75050,1.16000,1.16000,0.88180,0.53940,1.37280,64.66540,25.22150,25.22150,19.98030,13.65650,0.08150,1.01920,2.23790,40.21650,4.07880,4.10160,1.11640,1.87850,28.44760,2.3331,1.2599
2010-06-30,3360.00000,1122.00000,2238.00000,1439.00000,,1844.00000,394.00000,-193.00000,201.00000,65.00000,136.00000,137.00000,,136.00000,838.00000,394.00000,479.05100,479.17600,0.28000,0.28000,1.00260,0.55130,1.41830,66.60710,11.72620,11.72620,5.98210,4.04760,0.06730,0.71150,1.81920,49.47320,1.03240,1.03840,0.27430,0.46320,27.68180,1.2104,0.1698
2010-03-31,3569.00000,1252.00000,2317.00000,1151.00000,,1559.00000,758.00000,-209.00000,549.00000,207.00000,342.00000,346.00000,,344.00000,1196.00000,758.00000,478.43000,478.84500,0.72000,0.72000,1.00020,0.54990,1.39580,64.92010,21.23840,21.23840,15.38250,9.63860,0.07190,0.79950,2.15520,41.75960,2.59680,2.61170,0.69720,1.16870,27.82470,0.00420,-0.97740
2009-12-31,3282.00000,1107.00000,2175.00000,1297.00000,,1694.00000,481.00000,-204.00000,277.00000,40.00000,237.00000,239.00000,,238.00000,900.00000,481.00000,458.67750,458.98230,0.47000,0.47000,0.89280,0.54530,1.34120,66.27060,14.65570,14.65570,8.44000,7.25170,0.06790,0.66650,3.12570,28.79340,1.81890,1.82950,0.49430,0.82710,27.48640,1.4709,-0.1775
2009-09-30,3547.00000,1178.00000,2369.00000,1090.00000,,1511.00000,858.00000,-208.00000,650.00000,208.00000,442.00000,446.00000,,443.00000,1295.00000,858.00000,476.94800,477.11100,0.93000,0.93000,0.89810,0.54600,1.34760,66.78880,24.18950,24.18950,18.32540,12.48940,0.07520,0.75180,3.44700,26.10940,3.41400,3.43390,0.94510,1.54980,27.36500,2.1067,0.8421
2009-06-30,3202.00000,1022.00000,2180.00000,1101.00000,,1498.00000,682.00000,-213.00000,469.00000,148.00000,321.00000,322.00000,,316.00000,1091.00000,682.00000,472.22000,472.22300,0.67000,0.67000,0.78320,0.54600,1.35220,68.08240,21.29920,21.29920,14.64710,9.86880,0.06910,0.68780,3.08780,29.14740,2.52290,2.53800,0.69490,1.14540,26.76900,1.0367,0.0253
2009-03-31,3458.00000,1224.00000,2234.00000,1102.00000,,1484.00000,750.00000,-208.00000,542.00000,179.00000,363.00000,363.00000,,360.00000,1145.00000,750.00000,406.82700,407.38200,0.89000,0.89000,0.64230,0.59210,1.71740,64.60380,21.68880,21.68880,15.67380,10.41060,0.07540,0.94880,3.59460,25.03760,3.31260,3.33580,0.79150,1.35140,26.87360,0.77810,-1.00150
