Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,983.75900,631.68100,352.07790,186.29100,-20.22700,206.51800,145.55990,-13.61800,131.94200,31.18600,100.75600,100.75600,100.75600,168.20390,145.55990,56.56500,57.06600,1.78000,1.77000,1.84700,0.46210,0.94280,35.78910,14.79630,14.79630,13.41200,10.24190,0.26850,1.03150,1.90270,47.30140,7.52370,19.36270,2.74950,4.04670,23.73360,3.5185,2.9093
2024-06-30,1021.68300,637.87000,383.81300,208.48500,-26.49000,234.97500,148.83800,-12.21400,136.62400,34.91600,101.70800,101.70800,101.70800,169.70300,148.83800,56.81600,57.36600,1.79000,1.77000,2.05870,0.45550,0.84140,37.56670,14.56790,14.56790,13.37250,9.95490,0.29920,1.09460,1.86020,48.38230,7.74680,19.52490,2.97810,4.21790,23.16550,2.9865,2.5981
2024-03-31,981.19700,612.79800,368.39900,198.74700,-4.60500,203.35200,165.04710,-6.51700,158.53000,35.11500,123.41500,123.41500,123.41500,186.63310,165.04710,56.86500,57.64100,2.17000,2.14000,2.24300,0.45740,0.84670,37.54590,16.82100,16.82100,16.15680,12.57800,0.29030,1.08020,1.80200,49.94540,9.43660,19.97140,3.65160,5.11990,22.71600,2.31250,1.86250
2023-12-31,1058.51400,687.48390,371.03050,188.93100,21.93200,166.99890,204.03160,-7.00200,197.02910,40.38600,156.64300,156.64300,156.64300,226.00050,204.03140,57.36400,58.22100,2.73000,2.70000,2.24370,0.45730,0.84440,35.05200,19.27530,19.27530,18.61370,14.79840,0.31340,1.22140,1.96450,45.81390,11.96800,25.49530,4.63810,6.49530,22.97160,2.076,2.4274
2023-09-30,1033.21400,667.58400,365.63000,187.11500,-7.07400,194.18890,171.44100,-10.00800,161.43300,32.09000,129.34300,129.34300,129.34300,192.93000,171.44100,57.32000,58.13600,2.26000,2.22000,2.06930,0.47360,0.90610,35.38760,16.59300,16.59300,15.62440,12.51850,0.31070,1.09020,1.92180,46.83190,10.55360,23.99880,3.88900,5.55490,21.42590,3.8535,3.4182
2023-06-30,1060.56500,687.13700,373.42790,192.74800,-2.66700,195.41500,178.01290,-4.95300,173.06000,35.72900,137.33100,137.33100,137.33100,199.92990,178.01290,57.47900,58.30300,2.39000,2.36000,2.03040,0.47880,0.92750,35.21030,16.78470,16.78470,16.31770,12.94890,0.32030,1.01840,1.85970,48.39540,11.43070,26.98230,4.14750,5.95710,20.92600,3.4147,3.0508
2023-03-31,1039.34300,683.98600,355.35700,190.11600,-0.87700,190.99310,164.36400,-9.02000,155.34400,33.41300,121.93100,121.93100,121.93100,185.65900,164.36400,57.59600,58.41700,2.12000,2.09000,1.92660,0.49670,1.03090,34.19050,15.81420,15.81420,14.94640,11.73160,0.31950,1.02920,1.81240,49.65830,10.83600,27.34790,3.74800,5.45340,19.54450,2.12150,1.85660
2022-12-31,930.93400,622.95010,307.98390,164.11300,-2.38300,166.49610,141.48780,-5.73100,135.75700,26.61200,109.14500,109.14500,109.14600,160.53780,141.48800,58.03000,58.74900,1.90000,1.86000,1.82650,0.51780,1.16420,33.08330,15.19850,15.19850,14.58290,11.72440,0.29270,0.93610,1.71910,52.35350,10.55520,65.71910,3.43160,5.08970,17.94460,1.8854,1.5723
2022-09-30,935.24000,625.72200,309.51800,159.04500,-8.36400,167.40900,142.10900,-4.62200,137.48700,28.26200,109.22500,109.22500,109.22500,161.35900,142.10900,57.82300,58.52600,1.89000,1.87000,1.70100,0.43490,0.84350,33.09500,15.19490,15.19490,14.70070,11.67880,0.35270,0.98950,2.01950,44.56560,11.81800,21.85710,4.11860,6.67850,16.00730,2.2327,1.9398
2022-06-30,969.58900,636.10800,333.48100,166.79200,0.84400,165.94800,167.53300,-7.59200,159.94100,32.11800,127.82300,127.82300,127.82300,187.40100,167.53300,58.01600,58.68800,2.20000,2.18000,1.62140,0.43850,0.91830,34.39410,17.27880,17.27880,16.49580,13.18320,0.35360,0.99490,1.87050,48.11670,14.00060,26.55410,4.66200,7.86170,15.76230,1.6807,1.4253
2022-03-31,925.44800,595.67100,329.77700,166.68600,-1.88500,168.57110,161.20590,-1.56400,159.64200,33.61100,126.03100,126.03100,126.03000,181.09690,161.20590,58.60600,59.27200,2.15000,2.13000,1.53920,0.45310,1.00290,35.63430,17.41920,17.41920,17.25020,13.61830,0.33820,0.99310,1.79270,50.20360,14.60280,29.59040,4.60580,7.98630,14.85520,0.72700,0.42160
2021-12-31,844.25110,571.59390,272.65720,150.75800,-1.55000,152.30800,120.34920,-48.78000,71.56900,-2.84100,74.41000,74.41000,74.54100,140.93730,120.34900,59.30900,60.06200,1.26000,1.24000,1.70600,0.45360,0.89110,32.29570,14.25520,14.25510,8.47720,8.82920,0.32570,1.05870,1.96760,45.74070,8.61320,26.16810,2.87040,4.70650,14.69560,1.8299,1.6109
2021-09-30,806.45400,538.28200,268.17200,149.11800,-3.48400,152.60200,115.57000,-77.15500,38.41500,6.65800,31.75700,31.75700,31.75700,137.62000,115.57000,59.28900,60.05500,0.54000,0.53000,1.65810,0.45550,0.88490,33.25320,14.33060,14.33060,4.76340,3.93790,0.31390,1.02640,1.82020,49.44470,3.70170,7.52800,1.23630,2.01540,14.52870,1.8342,1.5441
2021-06-30,826.45400,552.44500,274.00900,151.55700,-0.63000,152.18700,121.82200,-3.96100,117.86100,21.58100,96.28000,96.28000,96.10500,141.21200,121.82200,59.46400,60.16400,1.62000,1.60000,1.77860,0.45520,0.84750,33.15480,14.74030,14.74030,14.26110,11.62860,0.32890,1.15650,1.80660,49.81630,11.20030,21.54780,3.83170,6.10230,14.47490,1.6634,1.3994
2021-03-31,757.02100,503.25400,253.76700,145.67600,-4.16300,149.83900,103.92800,-6.77500,97.15300,23.02000,74.13300,74.13300,74.17700,123.04600,103.92800,59.64200,60.29900,1.24000,1.23000,1.94690,0.47100,0.89490,33.52180,13.72860,13.72860,12.83360,9.79850,0.32050,1.21000,1.75500,51.28190,9.22730,15.79940,3.13890,4.88120,13.49400,0.75060,0.59550
2020-12-31,693.79390,464.54000,229.25390,136.36200,-9.45200,145.81400,83.43990,-2.30800,81.13200,16.06200,65.07000,65.07000,65.07800,103.36590,83.44000,59.63300,60.24800,1.11000,1.09000,2.02450,0.47520,0.90880,33.04350,12.02660,12.02660,11.69400,9.38000,0.29980,1.21840,1.85760,48.44930,8.23410,20.32130,2.81150,4.32160,13.25010,2.2403,1.8875
2020-09-30,668.88800,453.50100,215.38700,131.33700,-6.25700,137.59400,77.79300,-4.49000,73.30300,14.79700,58.50600,58.50600,58.47900,97.28100,77.79300,59.42600,60.01800,0.98000,0.97000,1.92480,0.50170,1.00860,32.20080,11.63020,11.63020,10.95890,8.74270,0.30160,1.14460,1.79310,50.19370,8.23170,15.42590,2.63840,4.10160,11.95110,1.4855,1.2971
2020-06-30,590.72700,401.34900,189.37800,126.37600,-23.23800,149.61400,39.76400,-6.08400,33.68000,6.66700,27.01300,27.01300,26.99600,59.81400,39.76400,59.35400,59.83100,0.45000,0.45000,1.77250,0.52020,1.15950,32.05850,6.73140,6.73140,5.70140,4.57000,0.26860,0.96130,1.74200,51.66380,4.09220,8.14900,1.22840,1.96330,11.11920,1.7447,1.5248
2020-03-31,701.99100,464.66900,237.32200,149.72700,-6.52100,156.24800,81.07400,-5.14900,75.92500,20.37000,55.55500,55.55500,55.56200,102.10200,81.07400,60.18400,60.79900,0.92000,0.91000,1.61780,0.51730,1.27000,33.80700,11.54920,11.54920,10.81570,7.91490,0.30440,1.16680,1.82020,49.44590,8.31710,16.27390,2.40930,4.01440,11.24760,0.36140,0.26720
2019-12-31,736.30690,495.37300,240.93390,149.38100,-8.85100,158.23200,82.70190,-2.40800,80.29400,16.57800,63.71600,63.71600,63.71600,103.78890,82.70190,61.96000,62.65800,1.05000,1.03000,1.91000,0.46510,0.91230,32.72200,11.23200,11.23200,10.90500,8.65350,0.31050,1.25810,1.96530,45.79400,7.77900,20.94740,2.68710,4.16070,13.51790,1.9123,1.6629
2019-09-30,730.78300,492.43200,238.35100,148.31200,-1.49500,149.80700,88.54400,3.25300,91.79700,19.34000,72.45700,72.45700,72.46100,109.69200,88.54400,61.38000,62.06100,1.18000,1.17000,1.89090,0.46730,0.89350,32.61580,12.11630,12.11630,12.56150,9.91550,0.30950,1.19780,1.84840,48.69020,8.90350,15.01710,3.06870,4.74290,13.30860,2.1088,1.8404
