Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,24.37540,21.44590,2.92950,0.26430,0.31070,2.61880,,2.61880,0.56660,2.05220,2.05220,2.05220,2.86160,2.66520,2.96500,2.98600,0.69000,0.69000,0.17030,0.20520,10.74360,10.93400,10.74360,8.41910,0.10460,2.80720,2.80720,0.88100,2.32930,23.28880,2.7277,2.7017
2024-06-30,22.17710,22.63480,-0.45770,0.40590,0.45180,-0.90950,,-0.90950,-0.17760,-0.73190,-0.73190,-0.73190,-0.63760,-0.86360,2.96300,2.98900,-0.25000,-0.25000,0.18160,0.22180,-4.10120,-3.89420,-4.10120,-3.30010,0.10090,-1.08240,-1.08240,-0.33290,-0.88590,21.51250,0.9337,0.8821
2024-03-31,23.08210,20.00000,3.08210,0.20080,0.24670,2.83540,,2.83540,0.59620,2.23920,2.23920,2.23920,3.06210,2.88130,2.95300,2.96900,0.76000,0.75000,0.17920,0.21840,12.28400,12.48290,12.28400,9.70100,0.10660,3.26010,3.26010,1.03460,2.67570,21.88130,1.70590,1.64120
2023-12-31,22.90660,18.92940,3.97730,0.16800,0.21440,3.76290,,3.76290,0.90200,2.86080,2.86080,2.86080,4.02710,3.80930,2.94700,2.96700,0.96000,0.96000,0.18290,0.22390,16.42690,16.62960,16.42690,12.48910,0.10860,4.26970,4.26970,1.35570,3.48870,21.34550,-0.706,-0.757
2023-09-30,19.76440,20.46570,-0.70130,0.22010,0.26650,-0.96780,,-0.96780,-0.19890,-0.76900,-0.76900,-0.76900,-0.72930,-0.92140,2.94500,2.96900,-0.26000,-0.26000,0.20110,0.25170,-4.89680,-4.66190,-4.89680,-3.89070,0.09460,-1.29050,-1.29050,-0.36790,-1.03100,18.97660,0.9514,0.8959
2023-06-30,20.65070,19.65930,0.99140,0.20250,0.24840,0.74300,,0.74300,0.15650,0.58650,0.58650,0.58650,0.99280,0.78890,2.94200,2.96900,0.20000,0.20000,0.19140,0.23680,3.59790,3.82010,3.59790,2.84000,0.10060,0.92570,0.92570,0.28570,0.74850,20.19570,1.8342,1.794
2023-03-31,19.62040,17.39730,2.22310,0.19370,0.23900,1.98410,,1.98410,0.40550,1.57850,1.57850,1.57850,2.23280,2.02950,2.94300,2.95600,0.54000,0.53000,0.19080,0.23590,10.11230,10.34360,10.11230,8.04540,0.09920,2.48200,2.48200,0.79800,2.00840,20.18360,0.79210,0.73790
2022-12-31,21.08000,16.90240,4.17760,0.21310,0.25950,3.91810,,3.91810,0.84060,3.07750,3.07750,3.07750,4.12050,3.96450,3.03200,3.03200,1.00000,1.01000,0.19880,0.24820,18.58670,18.80680,18.58660,14.59920,0.10970,5.09180,5.09180,1.60150,4.07940,19.16330,0.8306,0.7982
2022-09-30,17.79440,16.74740,1.04700,0.18970,0.23610,0.81090,,0.81090,0.18110,0.62970,0.62970,0.62970,1.11320,0.85730,3.06100,3.07400,0.21000,0.20000,0.20940,0.26480,4.55680,4.81760,4.55680,3.53900,0.09390,1.11160,1.11160,0.33240,0.87890,17.94970,0.895,0.8031
2022-06-30,14.79740,19.81140,-5.01410,0.18450,0.22680,-5.24080,,-5.24080,-1.11200,-4.12880,-4.12880,-4.12880,-4.96460,-5.19860,3.06900,3.08200,-1.35000,-1.35000,0.19610,0.24390,-35.41720,-35.13170,-35.41720,-27.90210,0.07670,-6.71260,-6.71260,-2.14030,-5.39650,18.69530,0.7168,0.6681
2022-03-31,16.00810,15.96760,0.04050,0.18940,0.25040,-0.20990,,-0.20990,-0.04980,-0.16010,-0.16010,-0.16010,0.07330,-0.14890,3.06020,3.07220,-0.05000,-0.05000,0.20930,0.26480,-1.31150,-0.93040,-1.31150,-1.00040,0.08060,-0.22980,-0.22980,-0.08060,-0.18170,21.15670,1.10480,1.04910
