Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.19520,-0.19520,2.99510,2.79990,2.79990,2.79990,2.79990,-0.19520,-0.19520,5.75000,5.75000,0.10000,0.10000,6.87580,-31.37430,-31.37430,1.19610,-31.37430,-1.55200,-0.0958,-0.0958
2024-06-30,-0.07110,-0.07110,0.09850,0.02740,0.02740,0.02740,0.02740,-0.07110,-0.07110,5.02500,5.02500,0.00000,0.00000,10.35600,-0.31370,-0.31370,0.01180,-0.31370,-1.51810,-0.0481,-0.0481
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,0.0,0.0
2023-09-30,,,,,,,,,,5.00000,5.00000,,0.00000,,,,,,,0.0,0.0
2023-06-30,,,,,,,,,,5.00000,5.00000,,0.00000,,,,,,,0.0,0.0
