Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.97000,0.97000,50.72300,16.76000,-66.51300,6.67700,-59.83600,-0.83500,-59.00100,-59.00100,-59.00100,-65.62100,-66.51300,53.79000,53.79000,-1.10000,-1.10000,11.52440,100.00000,-6857.01000,-6857.01000,-6168.66000,-6082.57700,0.00160,,,-11.04140,-11.04140,-9.91190,-11.04140,9.93070,-0.8642,-0.8645
2024-06-30,132.01400,132.01400,57.51000,16.12700,58.37700,6.47000,64.84700,-2.03900,66.88600,66.88600,66.88600,59.27000,58.37700,53.76700,55.04300,1.24000,1.22000,12.53590,100.00000,44.22030,44.22030,49.12130,50.66580,0.20450,,,11.49410,11.49410,10.36090,11.49410,10.82190,0.3228,0.3202
2024-03-31,0.05000,0.05000,64.11400,17.46400,-81.52800,7.08800,-74.44000,-2.20100,-72.23900,-72.23900,-72.23900,-80.64100,-81.52800,53.71400,53.71400,-1.34000,-1.34000,13.07880,100.00000,-163056.00000,-163056.00000,-148880.00000,-144478.00000,0.00010,,,-14.37880,-14.37880,-11.59170,-14.37880,9.35220,-1.36000,-1.36190
2023-12-31,0.31600,0.31600,61.89100,16.94000,-78.51500,7.89700,-70.61800,-3.14200,-67.47600,-67.47600,-67.47600,-75.97600,-78.51500,53.21600,53.21600,-1.25000,-1.22000,11.23700,100.00000,-24846.09000,-24846.09000,-22347.08000,-21352.79000,0.00050,0.06130,1469.31000,-12.02000,-12.02000,-9.68950,-12.02000,10.45720,-1.0876,-1.118
2023-09-30,84.86600,84.86600,57.91300,16.64500,10.30800,8.50700,18.81500,-3.09200,21.90700,21.90700,21.90700,12.62100,10.30800,53.55900,58.00400,0.41000,0.38000,12.93990,100.00000,12.14620,12.14620,22.17030,25.81360,0.11360,16.45010,5.47110,3.54930,3.54930,2.93300,3.54930,11.50710,0.3104,0.3042
2023-06-30,4.01900,4.01900,56.01100,14.51200,-66.50400,7.60300,-58.90100,-4.30600,-54.59500,-54.59500,-54.59500,-64.70300,-66.50400,53.12100,53.12100,-1.03000,-1.03000,9.46140,100.00000,-1654.74000,-1654.74000,-1465.56400,-1358.42200,0.00560,7.66980,11.73430,-9.38580,-9.38580,-7.57580,-9.38580,10.87390,-0.8352,-0.8497
2023-03-31,2.16900,2.16900,44.75600,13.73800,-56.32500,6.54900,-49.77600,-2.91200,-46.86400,-46.86400,-46.86400,-54.56600,-56.32500,52.50100,52.50100,-0.89000,-0.89000,14.32660,100.00000,-2596.81900,-2596.81900,-2294.88300,-2160.62700,0.00290,,,-7.71540,-7.71540,-6.31940,-7.71540,11.53060,-0.90390,-0.90490
2022-12-31,49.92300,49.92300,36.87100,13.12400,-0.07200,3.41700,3.34500,-3.00400,6.34900,6.34900,6.34900,1.65500,-0.07200,47.36900,47.36900,0.16000,0.16000,14.33980,100.00000,-0.14420,-0.14420,6.70030,12.71760,0.06590,,,1.02070,1.02070,0.83760,1.02070,11.93850,-0.0872,-0.0903
2022-09-30,1.51700,1.51700,39.86000,11.98900,-50.33200,1.91500,-48.41700,-2.65300,-45.76400,-45.76400,-45.76400,-48.61800,-50.33200,46.98600,46.98600,-0.97000,-0.97000,10.36730,100.00000,-3317.86400,-3317.86400,-3191.62800,-3016.74400,0.00270,,,-11.30960,-11.30960,-8.25410,-11.30960,8.45020,-0.6573,-0.6601
2022-06-30,1.31200,1.31200,31.56900,12.95200,-43.20900,0.63700,-42.57200,-1.32800,-41.24400,-41.24400,-41.24400,-41.55000,-43.20900,46.80500,46.80500,-0.88000,-0.88000,12.99760,100.00000,-3293.36900,-3293.36900,-3244.81700,-3143.59700,0.00240,,,-10.12620,-10.12620,-7.50450,-10.12620,8.70110,-0.7517,-0.7551
2022-03-31,1.15300,1.15300,27.26200,11.83500,-37.94400,-0.01700,-37.96100,-1.67100,-36.29000,-36.29000,-36.29000,-36.30300,-37.94400,46.70400,46.70400,-0.78000,-0.78000,15.22410,100.00000,-3290.89300,-3290.89300,-3292.36800,-3147.44100,0.00200,,,-8.26860,-8.26860,-6.24170,-8.26860,9.38800,-0.80110,-0.80160
2021-12-31,1.17200,1.17200,22.05800,12.20600,-33.09200,-0.00400,-33.09600,0.08300,-33.17900,-33.17900,-33.17900,-31.40800,-33.09200,44.22800,48.46400,-0.59000,-0.42000,17.48200,100.00000,-2823.54700,-2823.54700,-2823.88900,-2830.97100,0.00190,,,-7.11930,-7.11930,-5.44480,-7.11930,9.98800,-0.3363,-0.3432
2021-09-30,139.17400,139.17400,17.99200,11.95500,109.22700,-0.03100,109.19600,-0.05100,109.24700,109.24700,109.24700,110.93600,109.22700,45.62600,51.20500,2.39000,2.13000,20.80510,100.00000,78.48230,78.48230,78.46010,78.49670,0.22000,1761.69600,0.05110,22.27390,22.27390,17.26670,22.27390,10.54030,2.1848,2.1808
2021-06-30,60.07100,60.07100,21.09000,11.03200,27.94900,-0.05300,27.89600,0.25400,27.64200,27.64200,27.64200,29.65500,27.94900,44.33200,47.41400,0.62000,0.58000,7.74060,100.00000,46.52660,46.52660,46.43840,46.01560,0.13770,20023.67000,0.00450,9.59100,9.59100,6.33440,9.59100,6.41700,0.8987,0.8989
2021-03-31,0.16000,0.16000,21.14400,11.12500,-32.10900,0.03400,-32.07500,4.66000,-36.73500,-36.73500,-36.73500,-30.40500,-32.10900,40.25000,40.25000,-0.91000,-0.91000,15.01970,100.00000,-20068.13000,-20068.13000,-20046.88000,-22959.38000,0.00040,,,-15.65960,-15.65960,-9.67430,-15.65960,5.31020,-0.83640,-0.83760
2020-12-31,0.36000,0.36000,20.76000,9.90800,-30.30800,-0.05500,-30.36300,0.35300,-30.71600,-30.71600,-30.71600,-28.56000,-30.30800,39.91500,39.91500,-0.76000,-0.76000,11.57860,100.00000,-8418.89100,-8418.89200,-8434.16700,-8532.22400,0.00110,24.00000,3.75000,-16.69290,-16.69290,-9.22470,-16.69290,4.60930,-0.4784,-0.4797
2020-09-30,0.15700,0.15700,21.60500,9.39800,-30.84600,0.05400,-30.79200,-0.21500,-30.57700,-30.57700,-30.57700,-29.08600,-30.84600,39.91700,39.91700,-0.77000,-0.77000,14.75390,100.00000,-19647.13000,-19647.13000,-19612.74000,-19475.79000,0.00040,7.13640,12.61150,-14.59430,-14.59430,-8.59430,-14.59430,5.24820,-0.486,-0.4879
2020-06-30,0.19500,0.19500,17.27100,9.65600,-26.73200,0.19500,-26.53700,-0.25500,-26.28200,-26.28200,-26.28200,-24.99200,-26.73200,39.91100,39.91100,-0.66000,-0.66000,18.39530,100.00000,-13708.72000,-13708.72000,-13608.72000,-13477.95000,0.00050,3.48210,25.84620,-11.21040,-11.21040,-6.93580,-11.21040,5.87420,-0.4684,-0.4696
2020-03-31,0.14100,0.14100,15.24800,9.74100,-24.84800,1.11300,-23.73500,-0.16600,-23.56900,-23.56900,-23.56900,-23.11900,-24.84800,39.90900,39.90900,-0.59000,-0.59000,21.05180,100.00000,-17622.70000,-17622.70000,-16833.33000,-16715.60000,0.00040,0.81030,111.06380,-9.24130,-9.24130,-5.90080,-9.24130,6.39020,-0.58050,-0.58100
2019-12-31,0.25600,0.25600,15.47100,8.05900,-23.27400,1.58900,-21.68500,-0.13100,-21.55400,-21.55400,-21.55400,-21.54100,-23.27400,39.88200,39.88200,-0.54000,-0.54000,21.36020,100.00000,-9091.40400,-9091.40400,-8470.70100,-8419.53100,0.00060,3.76470,23.90630,-7.89750,-7.89750,-5.14090,-7.89750,6.84030,-0.3636,-0.3663
2019-09-30,0.20500,0.20500,12.48600,8.69100,-20.97200,1.99200,-18.98000,0.46800,-19.44800,-19.44800,-19.44800,-19.26000,-20.97200,39.89700,39.89700,-0.49000,-0.49000,12.88300,100.00000,-10230.24000,-10230.24000,-9258.53600,-9486.82900,0.00050,,,-6.72530,-6.72530,-4.31320,-6.72530,7.24800,-0.2237,-0.23
2019-06-30,0.16700,0.16700,9.58300,9.08100,-18.49700,2.53100,-15.96600,-0.15600,-15.81000,-15.81000,-15.81000,-16.80300,-18.49700,39.87200,39.87200,-0.40000,-0.40000,14.94530,100.00000,-11076.05000,-11076.05000,-9560.47900,-9467.06600,0.00040,,,-5.22110,-5.22110,-3.42150,-5.22110,7.58970,-0.3034,-0.3052
2019-03-31,0.18600,0.18600,13.29600,9.90500,-22.95400,2.28700,-20.66700,0.19800,-20.86500,-20.86500,-20.86500,-21.27300,-22.95400,39.86400,39.86400,-0.52000,-0.52000,27.85410,100.00000,-12340.86000,-12340.86000,-11111.29000,-11217.74000,0.00040,,,-6.68470,-6.68470,-4.54050,-6.68470,7.82970,-0.43740,-0.44040
2018-12-31,0.19400,0.19400,16.51000,8.02600,-22.75500,0.84500,-21.91000,0.55100,-22.46100,-22.46100,-22.46100,-21.92900,-22.75500,39.55900,39.55900,-0.55000,-0.55000,28.90190,100.00000,-11729.38000,-11729.38000,-11293.82000,-11577.83000,0.00040,,,-6.95390,-6.95390,-4.50300,-6.95390,8.10250,-0.5385,-0.5714
2018-09-30,0.25500,0.25500,18.51500,9.23500,-24.32300,0.72600,-23.59700,0.96200,-24.55900,-24.55900,-24.55900,-23.52900,-24.32300,39.85000,39.85000,-0.62000,-0.62000,19.33840,100.00000,-9538.43200,-9538.43200,-9253.72600,-9630.98000,0.00050,,,-7.23070,-7.23070,-4.68120,-7.23070,8.52020,-0.843,-0.8467
2018-06-30,0.27900,0.27900,31.45200,10.99200,-63.06900,1.24100,-61.82800,-1.94600,-59.88200,-59.88200,-59.88200,-62.27000,-63.06900,39.82400,39.82400,-1.50000,-1.50000,10.70920,100.00000,-22605.38000,-22605.38000,-22160.57000,-21463.08000,0.00050,34.87500,2.58060,-16.82050,-16.82050,-10.63060,-16.82050,8.93770,1.4832,1.4807
2018-03-31,0.22700,0.22700,34.70600,14.22900,-48.70800,-0.07200,-48.78000,-0.03700,-48.74300,-48.74300,-48.74300,-47.91100,-48.70800,38.68400,38.68400,-1.26000,-1.26000,15.10770,100.00000,-21457.27000,-21457.27000,-21488.99000,-21472.69000,0.00040,0.00230,39652.34000,-11.90290,-11.90290,-8.03480,-11.90290,10.28340,-0.81650,-0.82110
2017-12-31,0.22900,0.22900,33.50200,14.04400,-47.31700,-0.15400,-47.47100,0.28700,-47.75800,-47.75800,-47.75800,-46.53500,-47.31700,37.65400,37.65400,-1.25000,-1.25000,11.40800,100.00000,-20662.54000,-20662.54000,-20729.79000,-20855.12000,0.00050,0.95420,94.32360,-11.72870,-11.72870,-9.62220,-11.72870,10.58100,-1.0902,-1.1016
2017-09-30,0.21900,0.21900,41.31500,12.43800,-53.53400,-0.56500,-54.09900,-1.70500,-52.39400,-52.39400,-52.39400,-52.76700,-53.53400,38.29200,38.29200,-1.37000,-1.37000,11.94820,100.00000,-24444.75000,-24444.75000,-24702.74000,-23924.20000,0.00040,0.99550,90.41100,-11.74090,-11.74090,-9.74450,-11.74090,11.60820,-0.4521,-0.4658
2017-06-30,26.81200,26.81200,34.03200,10.91200,-18.13200,-0.85600,-18.98800,-1.28700,-17.70100,-17.70100,-17.70100,-17.37300,-18.13200,38.07300,38.07300,-0.46000,-0.46000,12.92260,100.00000,-67.62640,-67.62640,-70.81900,-66.01890,0.04630,0.88660,101.50680,-3.63490,-3.63490,-3.05720,-3.63490,12.76240,-0.8833,-0.8846
2017-03-31,0.25900,0.25900,25.69800,10.83200,-36.27100,-0.77400,-37.04500,-1.66100,-35.38400,-35.38400,-35.38400,-35.51200,-36.27100,35.75800,35.75800,-0.99000,-0.99000,15.26730,100.00000,-14004.25000,-14004.25000,-14303.09000,-13661.78000,0.00040,0.95570,94.16990,-7.13030,-7.13030,-6.08020,-7.13030,13.07360,-1.05830,-1.12540
2016-12-31,0.17100,0.17100,39.84400,9.60400,-49.27700,0.72700,-48.55000,0.35300,-48.90300,-48.90300,-48.90300,-48.35900,-49.27700,34.35100,34.35100,-1.41000,-1.41000,9.52800,100.00000,-28816.97000,-28816.97000,-28391.82000,-28598.26000,0.00040,0.96070,93.68420,-13.38330,-13.38330,-10.63160,-13.38330,10.51460,-0.9885,-1.197
2016-09-30,0.28600,0.28600,26.83800,16.13600,-42.68800,-0.13000,-42.81800,0.42100,-43.23900,-43.23900,-43.23900,-41.85800,-42.68800,34.41300,34.41300,-1.26000,-1.26000,11.26150,100.00000,-14925.87000,-14925.87000,-14971.33000,-15118.53000,0.00060,0.69930,128.70630,-10.78010,-10.78010,-9.01600,-10.78010,11.64090,-0.8711,-1.1197
2016-06-30,0.33300,0.33300,32.35900,8.13400,-40.16000,-0.09600,-40.25600,0.18900,-40.44500,-40.44500,-40.44500,-39.73200,-40.16000,34.35800,34.35800,-1.18000,-1.18000,13.46840,100.00000,-12060.06000,-12060.06000,-12088.89000,-12145.65000,0.00070,0.91480,98.37840,-9.38690,-9.38690,-8.04780,-9.38690,12.53170,-0.7882,-0.8086
2016-03-31,0.26500,0.26500,20.49300,7.18200,-27.41000,0.07000,-27.34000,0.18100,-27.52100,-27.52100,-27.52100,-27.15900,-27.41000,34.02600,34.02600,-0.81000,-0.81000,20.74940,100.00000,-10343.40000,-10343.40000,-10316.98000,-10385.28000,0.00050,0.26420,340.64150,-5.90860,-5.90860,-5.60160,-5.90860,13.56380,-0.73640,-0.74340
2015-12-31,0.30700,0.30700,17.89000,6.62900,-24.21200,0.05700,-24.15500,0.00200,-24.15700,-24.15700,-24.15700,-23.99400,-24.21200,30.32600,30.32600,-0.79000,-0.79000,16.98790,100.00000,-7886.64600,-7886.64500,-7868.08000,-7868.73100,0.00080,0.60310,149.21820,-6.69780,-6.69780,-6.27070,-6.69780,11.36180,-0.5718,-0.6048
2015-09-30,0.42900,0.42900,17.18500,5.90500,-22.66100,-0.07700,-22.73800,0.23800,-22.97600,-22.97600,-22.97600,-22.46100,-22.66100,31.44100,31.44100,-0.73000,-0.73000,21.20790,100.00000,-5282.28400,-5282.28400,-5300.23300,-5355.71100,0.00110,0.52700,170.76920,-6.07910,-6.07910,-5.75940,-6.07910,11.99010,-0.5207,-0.5311
2015-06-30,0.27800,0.27800,12.79100,5.52200,-18.03500,-0.04700,-18.08200,0.19500,-18.27700,-18.27700,-18.27700,-17.84000,-18.03500,30.79200,30.79200,-0.59000,-0.59000,30.18730,100.00000,-6487.41000,-6487.41000,-6504.31700,-6574.46000,0.00070,0.28930,311.11510,-4.62450,-4.62450,-4.44520,-4.62450,12.59470,-0.3026,-0.3038
2015-03-31,0.59300,0.59300,10.57300,5.04900,-15.02900,0.09300,-14.93600,0.26600,-15.20200,-15.20200,-15.20200,-14.83600,-15.02900,27.40100,27.40100,-0.55000,-0.55000,29.80080,100.00000,-2534.40100,-2534.40100,-2518.71800,-2563.57500,0.00200,0.42750,210.50590,-5.47970,-5.47970,-5.24960,-5.47970,10.10070,-0.53720,-0.53820
2014-12-31,2.01300,2.01300,10.10700,5.01100,-13.10500,0.11800,-12.98700,0.12300,-13.11000,-13.11000,-13.11000,-12.91100,-13.10500,24.67200,24.67200,-0.69000,-0.65000,24.84490,100.00000,-651.01810,-651.01820,-645.15630,-651.26650,0.00660,1.14440,78.64380,-4.52240,-4.52240,-4.31090,-4.52240,10.58450,-0.4603,-0.4637
2014-09-30,1.48600,1.48600,10.38800,4.23000,-13.13200,0.19100,-12.94100,0.24100,-13.18200,-13.18200,-13.18200,-12.94000,-13.13200,27.37000,27.37000,-0.48000,-0.48000,30.97170,100.00000,-883.71470,-883.71470,-870.86150,-887.07940,0.00470,1.40320,64.13860,-4.37130,-4.37130,-4.20350,-4.37130,11.01310,-0.6201,-0.6215
2014-06-30,15.12100,15.12100,8.61500,4.93700,1.56900,0.01700,1.58600,0.29600,1.29000,1.29000,1.29000,1.75100,1.56900,21.95900,22.89800,0.06000,0.06000,27.14340,100.00000,10.37630,10.37630,10.48870,8.53120,0.04850,9.83800,9.14820,0.43230,0.43230,0.41390,0.43230,11.19230,0.2727,0.2585
2014-03-31,32.23400,32.23400,9.34200,4.87300,18.01900,-0.01600,18.00300,0.15100,17.85200,17.85200,17.85200,18.19400,18.01900,21.88400,22.94200,0.82000,0.78000,22.26660,100.00000,55.90060,55.90060,55.85100,55.38250,0.15820,14.60540,6.16210,9.24920,9.24920,8.75910,9.24920,8.81130,0.78000,0.77880
2013-12-31,0.16700,0.16700,5.60000,5.26900,-10.70200,-0.20400,-10.90600,0.14800,-11.05400,-11.05400,-11.05400,-10.47000,-10.70200,18.61500,18.61500,-0.50000,-0.50000,24.06450,100.00000,-6408.38400,-6408.38500,-6530.54100,-6619.16100,0.00090,2.87930,31.25750,-6.37960,-6.37960,-6.06000,-6.37960,7.92780,-0.4651,-0.4633
2013-09-30,0.17100,0.17100,6.34800,3.38900,-9.56600,0.01400,-9.55200,0.13700,-9.68900,-9.68900,-9.68900,-9.42200,-9.56600,17.67900,17.67900,-0.55000,-0.55000,13.34260,100.00000,-5594.15200,-5594.15200,-5585.96500,-5666.08200,0.00160,3.16670,28.42110,-9.80860,-9.80860,-8.97660,-9.80860,5.58750,-0.5828,-0.5957
2013-06-30,0.16700,0.16700,8.14700,3.21200,-11.19200,0.01400,-11.17800,0.12400,-11.30200,-11.30200,-11.30200,-11.04500,-11.19200,17.67900,17.67900,-0.64000,-0.64000,12.50620,100.00000,-6701.79700,-6701.79700,-6693.41400,-6767.66500,0.00140,3.03640,29.64070,-10.54010,-10.54010,-9.58370,-10.54010,6.06530,-0.3878,-0.3991
2013-03-31,0.17100,0.17100,5.95700,3.18100,-8.96700,0.02200,-8.94500,0.00600,-8.95100,-8.95100,-8.95100,-8.83000,-8.96700,17.67900,17.67900,-0.51000,-0.51000,23.74970,100.00000,-5243.85900,-5243.85900,-5230.99400,-5234.50300,0.00140,0.65520,137.36840,-7.59920,-7.60200,-7.20300,-7.59920,6.66270,-0.28860,-0.29490
2012-12-31,0.57500,0.57500,9.84000,2.97000,-12.23500,0.00500,-12.22000,0.00600,-12.22600,-12.22100,-12.22100,-12.08100,-12.23500,14.88600,14.88600,-0.82000,-0.82000,72.15650,100.86960,-2127.82600,-2127.82600,-2125.21800,-2125.39100,0.00440,2.57850,34.90440,-9.66210,-9.66210,-9.45290,-9.66210,7.15450,-1.0025,-1.071
2012-09-30,0.94400,0.94400,7.53000,2.08200,-8.66800,,-8.66800,,-8.66800,-8.66800,-8.66800,-8.59000,-8.66800,14.49700,14.49700,-0.60000,-0.60000,,100.00000,-918.22030,-918.22030,-918.22030,-918.22030,,,,,,,,,-0.5138,-0.5209
2012-06-30,0.73500,0.73500,8.01900,2.42700,-9.71100,,-9.71100,,-9.71100,-9.71100,-9.71100,-9.59600,-9.71100,14.49700,14.49700,-0.67000,-0.67000,,100.00000,-1321.22400,-1321.22400,-1321.22400,-1321.22400,,,,,,,,,-0.7149,-0.7173
2012-03-31,0.40400,0.40400,8.75700,2.45800,-10.81100,,-10.81100,,-10.81100,-10.81100,-10.81100,-10.69800,-10.81100,14.49700,14.49700,-0.75000,-0.75000,,100.00000,-2675.99000,-2675.99000,-2675.99000,-2675.99000,,,,,,,,,-0.59490,-0.60430
2011-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
2010-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
