Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.62800,5.18800,1.44000,2.79100,2.79100,-1.35100,-0.84300,-2.19400,-0.73600,-1.45800,-1.45800,0.06600,-1.12500,-0.49300,-1.35100,1.77000,1.77000,-0.64000,-0.64000,2.27110,0.70600,2.55240,21.72600,-20.38320,-20.38320,-33.10200,-16.97350,0.06470,0.33490,2.83610,31.73360,-9.55130,6.89070,-1.42300,-2.80770,8.62430,-4.2684,-4.383
2024-06-30,16.78000,12.80300,3.97700,4.09500,4.09500,-0.11800,-0.96400,-1.08200,-0.20100,-0.88100,-0.88100,0.06400,-0.74500,0.71700,-0.11800,1.77000,1.77000,-0.42000,-0.42000,1.78920,0.64220,1.90500,23.70080,-0.70320,-0.70320,-6.44820,-4.43980,0.17500,1.83610,4.78610,18.80450,-5.33910,4.40460,-0.91870,-1.91020,9.32260,1.9713,1.8202
2024-03-31,8.03300,6.13900,1.89400,3.38800,3.38800,-1.49400,-0.18900,-1.68300,-0.34700,-1.33600,-1.33600,0.07200,-1.04100,-1.18200,-1.49400,1.74300,1.74300,-0.73000,-0.73000,1.93290,0.66700,2.16920,23.57770,-18.59830,-18.59830,-20.95110,-12.95900,0.07520,0.63170,1.52570,58.98790,-7.73950,6.82610,-1.25070,-2.57700,9.90360,0.84340,0.71140
2023-12-31,,,,0.70100,,-0.70100,0.16900,-0.53200,0.02400,-0.55600,-0.55600,0.23200,-0.32400,-0.69700,-0.70100,1.78100,1.78100,-0.17000,-0.17000,15.16520,,,,,,,,,,,,-3.57970,-3.57970,-3.33470,-3.57970,8.91110,0.6213,0.6073
2023-09-30,,,,1.63300,,-1.63300,0.11100,-1.52200,-0.01100,-1.51100,-1.51100,2.63700,1.12600,-1.65600,-1.63300,1.78500,1.78500,0.63000,0.63000,10.37580,,,,,,,,,,,,-9.50190,-9.50190,-8.56670,-9.50190,9.08170,1.343,1.3401
2023-06-30,,,,0.55700,,-0.55700,0.13500,-0.42200,0.00400,-0.42600,-0.42600,0.39000,-0.03600,-0.54500,-0.55700,1.79800,1.79800,-0.02000,-0.02000,4.32180,,,,,,,,,,,,-2.82920,-2.82920,-2.15590,-2.82920,8.37430,0.4655,0.4583
2023-03-31,,,,0.62800,,-0.62800,0.10300,-0.52500,0.00300,-0.52800,-0.52800,2.17600,1.64800,-0.61400,-0.62800,1.79800,1.79800,0.92000,0.92000,3.26120,,,,,,,,,,,,-3.50160,-3.50160,-2.40760,-3.50160,8.38650,-2.13900,-2.14240
2022-12-31,,,,-0.77000,,8.47600,0.07100,-0.85500,-0.01700,-0.83800,-0.83800,0.10500,-0.73300,8.47600,-0.92600,1.79100,1.79100,-0.39000,-0.39000,2.81430,,,,,,,,,,,,-6.25330,-6.25330,-3.99660,-6.25330,7.45740,0.1665,0.1665
2022-09-30,,,,0.48800,,-0.48800,0.05500,-0.43300,0.00100,-0.43400,-0.43400,12.23500,11.80100,-0.48800,-0.48800,1.79500,1.79500,6.58000,6.58000,3.39030,,,,,,,,,,,,-3.07760,-3.07760,-2.16280,-3.07760,7.85190,6.6121,6.6278
2022-06-30,3.25400,2.83800,0.41600,1.51700,1.51700,-1.10100,0.03100,-1.07000,0.01400,-1.08400,-1.08400,,-1.08400,-1.08600,-1.10100,1.78800,1.78800,-0.61000,-0.61000,1.70640,,,12.78430,-33.83530,-33.83530,-32.88260,-33.31280,0.45990,113.52000,0.78790,114.22860,-47.77440,-47.77440,-15.31940,-47.77440,1.26550,1.0592,1.0535
2022-03-31,6.14800,4.86800,1.28000,1.20700,1.20700,0.07300,-0.00300,0.07000,0.00800,0.06200,0.06200,,0.06200,0.08900,0.07300,1.78600,1.79400,0.03000,0.03000,1.80940,,,20.81980,1.18740,1.18740,1.13860,1.00850,0.69230,157.03230,0.82300,109.35260,1.87140,1.87140,0.69820,1.87140,1.85500,-1.88410,-1.89410
