Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,0.17520,0.04970,0.12550,1.51710,,1.51720,-1.39160,-0.22460,-1.61620,-1.61620,-1.61620,-1.61620,-1.36230,-1.39160,1.79260,1.79260,-0.88000,-0.88000,0.05830,-0.10800,-0.15920,71.61300,-794.25570,-794.25570,-922.43840,-922.43840,0.15640,13.21520,13.19100,-144.29110,14.64300,-6.61000,-0.3903,-0.3903
2024-03-31,0.25980,0.06320,0.19660,2.61640,,2.61640,-2.41980,-0.00960,-2.42940,-2.42940,-2.42940,-2.42940,-2.41290,-2.41980,1.75440,1.75440,-1.36000,-1.36000,0.06850,-0.08890,-0.14520,75.67110,-931.58170,-931.58170,-935.26510,-935.26510,0.21190,21.08000,21.03220,-198.21430,22.95420,-6.53790,-1.07080,-1.07080
2023-12-31,5.24240,4.78370,0.45870,9.40590,,9.40590,-8.94720,0.01910,-8.92810,-8.92810,-8.92810,-8.92810,-8.94720,-8.94720,1.32050,1.32050,-6.80000,-6.80000,0.16860,-0.07550,-0.07520,8.74980,-170.67070,-170.67070,-170.30580,-170.30580,2.20120,89.76040,89.76040,-374.88210,96.53470,-5.72470,0.7129,0.7129
2023-09-30,,,,,-0.11670,,-0.11670,-0.00940,-0.12610,-0.12610,-0.12610,-0.12610,-0.11670,-0.11670,0.23930,0.23930,-0.56000,-0.56000,0.32100,-0.07290,-0.06790,,,,,,,2.03550,2.02470,-3.76010,2.18380,-4.91770,-0.774,-0.774
2023-06-30,5.21210,5.37010,-0.15800,1.05480,,1.05480,-1.21280,0.00310,-1.20970,-1.20970,-1.20970,-1.20970,-0.61990,-1.21280,1.25930,1.25930,-0.96000,-0.96000,1.02070,,-0.64410,-3.03180,-23.26920,-23.26920,-23.21050,-23.21050,1.13380,27.20650,27.20650,-26.31570,27.20650,-23.54220,0.9971,0.9971
2023-03-31,5.63390,5.48600,0.14800,0.95430,,0.95430,-0.80640,0.00070,-0.80560,-0.80560,-0.80560,-0.80560,0.37940,-0.80640,1.25930,1.25930,-0.64000,-0.64000,1.08800,,-0.67710,2.62630,-14.31260,-14.31260,-14.29990,-14.29990,1.26200,19.71910,19.71910,-18.04620,19.71910,-21.63130,-1.49480,-1.49480
2022-12-31,5.37640,5.43130,-0.05490,1.08160,,1.08160,-1.13650,0.00260,-1.13390,-1.13390,-1.13390,-1.13390,-1.13650,-1.13650,1.25930,1.25930,-0.88000,-0.88000,1.54100,,-0.68370,-1.02060,-21.13860,-21.13860,-21.09080,-21.09080,0.87970,28.92690,28.92680,-18.55380,28.92690,-20.75430,4.6329,4.6329
2022-09-30,,,,,-0.48090,,-0.48090,-0.09790,,,,-0.57880,,,0.56740,0.56740,-1.04000,-1.04000,,,,,,,,,,,14.61820,,,,1.3346,1.3346
2022-06-30,,,,,-0.14460,,-0.14460,0.10900,-0.03550,-0.03550,-0.03550,-0.03550,-0.14460,-0.14460,0.68470,0.68470,-0.08000,-0.08000,13.70150,,-0.74840,,,,,,,1.17730,1.17730,-0.08530,1.17730,-15.98450,-0.4085,-0.4085
2022-03-31,,,,,-0.46930,,-0.46930,0.00900,-0.46030,-0.46030,-0.46030,-0.46030,-0.46930,-0.46930,0.75510,0.75510,-0.64000,-0.64000,13.64400,,-2.46870,,,,,,,50.23620,50.29100,-1.10100,50.29110,-4.84570,-0.92610,-0.92610
2021-12-31,,,,,-0.41060,,-0.41060,-0.02220,-0.43280,-0.43280,-0.43280,-0.43280,-0.41060,-0.41060,0.76390,0.76390,-0.64000,-0.64000,24.63710,,-0.88690,,,,,,,23.62430,23.62420,-0.90790,23.62430,-9.69960,-0.2912,-0.2912
2021-09-30,,,,,-0.15330,,-0.15330,0.02870,-0.12460,-0.12460,-0.12460,-0.12460,-0.15330,-0.15330,0.76390,0.76390,-0.16000,-0.16000,0.40280,,-101.10520,,,,,,,1081.58900,1081.65600,-0.26260,1081.59900,-0.06100,-0.1605,-0.1605
2021-06-30,,,,,-0.02860,,-0.02860,0.00720,-0.02130,-0.02130,-0.02130,-0.02130,-0.02860,-0.02860,0.76390,0.76390,0.00000,0.00000,1.35850,,6.22370,,,,,,,-18.87440,-18.87360,-0.04530,-18.87440,0.59880,0,0
2021-03-31,,,,,-0.07840,,-0.07840,0.05800,-0.02040,-0.02040,-0.02040,-0.02040,-0.07840,-0.07840,0.76390,0.76390,0.00000,0.00000,1.95950,,1.81380,,,,,,,-15.15450,-15.15470,-0.04370,-15.15450,0.71180,-0.11240,-0.11240
2020-12-31,,,,,-0.10060,,-0.10060,-0.17570,-0.27630,-0.27630,-0.27630,-0.27630,-0.10060,-0.10060,0.46220,0.46220,-0.64000,-0.64000,142.45880,,1.57510,,,,,,,-178.44710,-178.44680,-0.59120,-178.44680,0.81960,-0.3106,-0.3106
2020-09-30,,,,,-0.04730,,-0.04730,0.00580,-0.04140,-0.04140,-0.04140,-0.04140,-0.04730,-0.04730,0.76390,0.76390,-0.08000,-0.08000,2.38640,,0.04880,,,,,,,-0.82860,-0.82860,-0.08840,-0.82860,20.39780,0.0174,0.0174
2020-06-30,,,,,0.00000,,0.00000,0.00010,0.00010,0.00010,0.00010,0.00010,0.00000,0.00000,0.17060,0.17060,0.00000,0.00000,,,,,,,,,,,,,,,-0.0025,-0.0025
