Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,173.56300,173.56300,18.05900,-22.41100,127.33100,8.08600,135.41700,28.82300,106.59400,106.59400,106.59400,133.09300,127.33100,22.98000,23.01200,4.64000,4.63000,73.36300,73.36300,78.02180,61.41520,0.14760,10.13120,10.48780,9.06740,10.13120,46.00890,5.1531,4.8129
2024-06-30,172.33400,172.33400,16.44400,-18.57500,133.22200,13.22000,146.44200,31.85300,114.58900,114.58900,114.58900,137.31500,133.22200,22.98800,23.01400,4.99000,4.98000,77.30450,77.30450,84.97570,66.49240,0.13100,9.49830,9.66210,8.70880,9.49830,52.72590,4.2725,3.9505
2024-03-31,174.14200,174.14200,17.38500,-16.87600,136.04100,9.94300,145.98400,31.56700,114.41700,114.41700,114.41700,139.88100,136.04100,23.00300,23.02000,4.97000,4.97000,78.12070,78.12070,83.83040,65.70330,0.13830,10.19350,10.38540,9.08670,10.19350,49.01310,6.39640,6.29910
2023-12-31,166.65700,166.65700,14.88600,-14.03200,133.86300,11.26900,145.13200,32.02200,113.10990,113.10990,113.11000,137.73900,133.86300,23.04300,23.06100,4.92330,4.91000,80.32250,80.32250,87.08420,67.86990,0.14410,10.84260,11.06570,9.78120,10.84260,45.51270,4.8227,4.6329
2023-09-30,157.96700,157.96700,15.35800,-12.06700,126.95800,7.97900,134.93700,29.36300,105.57400,105.57400,105.57400,130.54200,126.95800,23.02700,23.04500,4.58000,4.58000,80.37000,80.37000,85.42100,66.83300,0.14640,10.94530,11.18070,9.78150,10.94530,41.88630,4.6794,4.457
2023-06-30,160.60900,160.60900,13.92300,-22.51300,120.28000,6.87100,127.15100,26.75800,100.39300,100.39300,100.39300,124.17300,120.28000,23.05700,23.07300,4.35000,4.35000,74.89000,74.89000,79.16810,62.50770,0.16040,11.31130,11.31130,10.02600,11.31130,38.52720,3.6665,2.6216
2023-03-31,146.36200,146.36200,14.14500,-23.86100,104.95200,5.38900,110.34100,23.77300,86.56800,86.56800,86.56800,108.35600,104.95200,23.07900,23.09500,3.75000,3.75000,71.70710,71.70710,75.38910,59.14650,0.15320,10.44180,10.44180,9.06230,10.44180,35.92230,4.96970,4.89420
2022-12-31,152.70600,152.70600,15.25600,-10.06600,124.23100,3.92200,128.15300,28.42200,99.73100,99.73100,99.73100,127.38400,124.23100,23.16600,23.18100,4.31670,4.31330,81.35310,81.35310,83.92140,65.30920,0.17400,12.90370,12.90370,11.36630,12.90370,33.47570,5.7038,5.4104
2022-09-30,191.11100,191.11100,13.81700,-11.32200,162.05500,1.92000,163.97500,34.13800,129.83700,129.83700,129.83700,165.97200,162.05500,23.14500,23.16000,5.61000,5.60670,84.79630,84.79630,85.80090,67.93800,0.23050,18.00370,18.00370,15.66240,18.00370,31.18300,5.1671,4.8933
2022-06-30,176.27000,176.27000,13.26200,-7.12000,151.70800,0.63000,152.33800,33.44400,118.89400,118.89400,118.89400,155.88800,151.70800,23.20200,23.21100,5.12330,5.12330,86.06570,86.06570,86.42310,67.44990,0.23050,18.42520,18.42520,15.54760,18.42520,27.83300,3.7806,3.6487
