Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2025-03-31,117.18700,10.88900,106.29800,104.27700,,104.41400,1.88400,7.57100,9.45500,1.42800,8.02700,8.02700,-0.47100,7.17500,7.49500,1.88400,39.80900,41.72000,0.18000,0.17000,0.88990,0.80870,5.39740,90.70800,1.60770,1.60770,8.06830,6.12270,0.19270,3.65510,24.62300,17.58110,-5.84310,1.31990,3.36270,1.14680,-0.00050,-0.09010
2024-12-31,130.37900,12.19200,118.18700,115.19800,0.11600,115.53500,2.65200,-44.44900,-41.79700,8.32100,-50.11800,-50.11800,,-50.64900,9.04000,2.65200,39.17000,39.17000,-1.28000,-1.26000,1.03250,0.85700,5.99290,90.64880,2.03410,2.03410,-32.05810,-38.84750,0.21280,3.81750,23.57570,-122.08740,35.20220,-8.18000,-17.45880,1.03150,1.6729,1.5691
2024-09-30,114.47900,11.58400,102.89500,107.58500,,108.48100,-5.58600,22.42900,16.84300,2.32100,14.52200,14.52200,,13.92800,1.30900,-5.58600,39.74800,45.01400,0.35000,0.33000,0.93330,0.84990,5.66150,89.88110,-4.87950,-4.87950,14.71270,12.16640,0.20890,2.85300,31.54590,36.11550,-10.10960,2.64990,5.42150,1.01120,-0.3775,-0.4562
2024-06-30,124.61500,11.94800,112.66700,113.73200,5.04400,108.30900,4.35800,-4.48300,-0.12500,9.28700,-9.41200,-9.41200,,-10.03500,12.29800,4.35800,39.43100,39.43100,-0.25000,-0.25000,0.93590,0.84900,5.62370,90.41210,3.49720,3.49720,-0.10030,-8.05280,0.21750,2.99590,30.04090,-23.29130,6.54440,-1.64300,-3.51630,1.01780,0.3997,0.5187
2024-03-31,123.08400,12.52700,110.55700,103.09100,,103.18700,7.37000,-12.68200,-5.31200,6.19400,-11.50600,-11.50600,,-12.27100,17.04700,7.37000,37.71000,37.71000,-0.33000,-0.33000,0.93140,0.84560,5.47650,89.82240,5.98780,5.98780,-4.31580,-9.96960,0.21200,2.48810,36.17210,-27.77560,8.09490,-1.98200,-4.28870,1.06280,-0.26810,-0.36340
2023-12-31,137.71600,15.40600,122.31000,106.98400,,104.65700,17.65300,16.08600,33.73900,5.25000,28.48900,28.48900,,27.70200,28.55500,17.65300,31.24300,31.24300,0.90000,0.90000,0.69230,1.21650,-6.67910,88.81320,12.81840,12.81840,24.49900,20.11530,0.24120,2.73390,32.91970,-70.67100,-12.36500,4.98970,15.30370,-1.26560,1.7098,1.5986
2023-09-30,126.47400,15.79600,110.67800,108.91400,,111.14200,-0.46400,-39.52500,-39.98900,0.81700,-40.80600,-40.80600,,-41.35800,12.10400,-0.46400,31.50000,31.50000,-1.31000,-1.31000,0.51730,1.27870,-5.53660,87.51050,-0.36690,-0.36690,-31.61840,-32.70080,0.24140,3.62540,24.82520,82.82280,16.95220,-7.78950,-23.07880,-1.54750,-0.3816,-0.5072
2023-06-30,129.10900,16.14400,112.96500,118.53000,,117.84100,-4.87600,-4.80500,-9.68100,2.32300,-12.00400,-12.00400,,-12.60700,8.36700,-4.87600,31.02000,31.02000,-0.41000,-0.41000,0.52820,1.12360,-10.97160,87.49580,-3.77670,-3.77670,-7.49830,-9.76460,0.21990,3.66720,24.54160,48.35020,5.50440,-2.04420,-5.97610,-0.79500,-1.3364,-1.3935
2023-03-31,121.61100,16.90000,104.71100,126.48200,,135.27600,-30.56500,3.07000,-27.49500,1.11800,-28.61300,-28.61300,,-29.14700,-16.06000,-30.56500,30.67600,30.67600,-0.95000,-0.95000,0.56770,1.12190,-11.15320,86.10320,-25.13340,-25.13340,-22.60900,-23.96740,0.18690,3.26360,27.57700,116.89250,13.04150,-4.39770,-14.24740,-0.79460,-2.48790,-2.76360
2022-12-31,148.15900,19.03000,129.12900,154.32000,-3.44800,161.95490,-32.82590,25.60600,-7.22000,47.01500,-54.23500,-54.23500,,-55.30700,-18.73190,-32.82600,30.16600,30.16600,-1.81000,-1.81000,0.69120,0.96210,33.85900,87.15570,-22.15590,-22.15590,-4.87310,-37.32950,0.18680,3.29450,27.31790,-612.27430,28.93030,-6.83820,-23.19910,0.29050,0.5022,0.3095
2022-09-30,144.39000,18.66800,125.72200,157.14000,,162.05200,-36.33000,-23.54100,-59.87100,-4.32800,-55.54300,-55.54300,,-56.22300,-21.62400,-36.33000,30.30800,30.30800,-1.86000,-1.86000,0.77230,0.69810,3.44480,87.07110,-25.16100,-25.16100,-41.46480,-38.93830,0.16240,3.39030,26.54620,-57.19370,55.34050,-6.24800,-17.26790,3.19460,-1.403,-1.6719
2022-06-30,153.21600,19.24400,133.97200,153.31000,-8.81100,200.48400,-66.51200,-21.34000,-87.85200,2.39800,-90.25000,-90.25000,,-91.22700,-14.59400,-66.51200,30.03900,30.03900,-3.04000,-3.04000,0.83120,0.64740,2.32760,87.44000,-43.41060,-43.41060,-57.33870,-59.54140,0.16720,3.41060,26.38860,-73.92400,116.67450,-9.84780,-26.06540,4.04400,-0.9898,-1.2917
2022-03-31,153.32000,19.31900,134.00100,165.83600,,166.14800,-32.14700,-4.88000,-37.02700,-2.67500,-34.35200,-34.35200,,-34.85200,-14.77800,-32.14700,29.86300,29.86300,-1.17000,-1.17000,0.87900,0.54760,1.75170,87.39960,-20.96730,-20.96730,-24.15010,-22.73150,0.14340,2.93550,30.65880,-18.58450,63.95350,-3.21300,-8.40680,6.17520,-2.61740,-3.05280
2021-12-31,223.16200,28.41100,194.75090,184.72500,,192.47000,2.28090,-5.04900,-2.76800,-33.09600,30.32800,30.32800,,29.38500,21.49290,2.28100,29.36600,33.51300,1.02000,0.96000,0.93200,0.51510,1.53780,87.26890,1.02210,1.02210,-1.24040,13.16760,0.19270,6.07160,14.82310,14.42160,-99.74010,2.61930,6.99290,7.07760,0.9452,0.5991
2021-09-30,214.17100,32.73200,181.43900,172.65300,,185.13600,-3.69700,82.53300,78.83600,0.13500,78.70100,78.70100,,78.10700,13.92000,-3.69700,29.56800,33.36500,2.64000,2.36000,0.92320,0.59870,2.16080,84.71690,-1.72620,-1.72620,36.80980,36.46950,0.19690,6.22900,14.44860,52.64390,-84.43220,7.23440,21.12640,5.05420,-1.8849,-2.1841
2021-06-30,265.95800,72.01500,193.94300,181.68900,,195.93400,-1.99100,-2.92700,-4.91800,-1.78900,-3.12900,-3.12900,,-3.38200,16.98000,-1.99100,29.27400,29.27400,-0.12000,-0.12000,0.90820,0.79950,5.77860,72.92240,-0.74860,-0.74860,-1.84920,-1.27160,0.23990,7.10490,12.66730,-5.60390,1.65160,-0.28230,-1.12360,1.89200,-1.2259,-1.6637
2021-03-31,263.81700,96.83400,166.98300,160.80900,,168.23100,-1.24800,18.12300,16.87500,2.42700,14.44800,14.44800,,14.55800,15.77100,-1.24800,29.02800,30.26600,0.50000,0.48000,0.99550,0.87070,8.25960,63.29500,-0.47310,-0.47310,6.39650,5.51820,0.18820,5.81070,15.48870,22.01770,-8.00760,1.03050,2.84620,2.25840,-1.53320,-1.93100
