Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,61.76600,61.76600,15.04500,29.85300,-5.45300,24.40000,24.40000,24.40000,24.40000,48.16700,46.72100,54.41300,58.37400,0.45000,0.43000,0.05210,0.06110,1.20590,100.00000,48.33240,75.64190,39.50390,39.50390,0.03560,3.64470,24.69370,3.22410,3.22410,1.40650,3.02720,13.12920,-3.8338,-3.8356
2024-06-30,54.64100,54.64100,13.37400,27.38200,3.44600,30.82800,30.82800,30.82800,30.82800,42.50300,41.26700,50.16170,54.06440,0.61000,0.59000,0.10540,0.06730,1.12470,100.00000,50.11260,75.52390,56.41920,56.41920,0.03630,3.90960,23.02010,4.53330,4.53330,2.04780,4.22810,13.11580,-0.3017,-0.304
2024-03-31,50.45300,50.45300,12.51300,25.79600,-11.28800,14.50800,14.50800,14.50800,14.50800,39.01500,37.94000,46.74800,50.59600,0.31000,0.30000,0.06340,0.07240,1.16440,100.00000,51.12880,75.19870,28.75550,28.75550,0.03580,3.79000,23.74650,2.31640,2.31640,1.02920,2.14860,12.87580,-1.60880,-1.60950
2023-12-31,47.83400,47.83400,11.63500,25.75200,-8.04800,17.70400,17.70400,17.70400,17.70400,37.26800,36.19900,38.91000,42.70600,0.37000,0.37000,0.05600,0.07390,1.04660,100.00000,53.83620,75.67630,37.01130,37.01130,0.03650,4.26860,21.08420,2.89680,2.89680,1.35040,2.68280,13.19310,-3.1686,-3.1823
2023-09-30,46.43800,46.43800,11.62400,24.03100,-7.21000,16.82100,16.82100,16.82100,16.82100,35.88200,34.81400,40.11900,43.85000,0.42000,0.40000,0.06630,0.07860,0.92320,100.00000,51.74860,74.96880,36.22250,36.22250,0.04030,4.25260,21.16370,2.95380,2.95380,1.46150,2.72160,13.16770,1.3021,1.2886
2023-06-30,46.04500,46.04500,11.31000,22.75000,-2.86800,19.88200,19.88200,19.88200,19.88200,35.80900,34.73500,36.02460,39.69140,0.55000,0.52000,0.06380,0.09130,1.36280,100.00000,49.40820,75.43710,43.17950,43.17950,0.03870,3.80000,23.68400,4.12490,4.12490,1.67200,3.74830,13.14590,-0.923,-0.9513
2023-03-31,41.53800,41.53800,10.52900,19.92800,2.55800,22.48600,22.48600,22.48600,22.48600,32.07900,31.00900,35.07400,38.74100,0.64000,0.60000,0.05380,0.09320,1.29340,100.00000,47.97530,74.65210,54.13360,54.13360,0.03700,3.97490,22.64190,4.78760,4.78760,2.00180,4.34140,13.07330,0.53550,0.52670
2022-12-31,41.50800,41.50800,9.19100,22.03400,-23.62100,-1.58700,-1.58700,-1.58700,-1.58700,33.38600,32.31700,31.67200,35.19000,-0.02000,-0.02000,0.05310,0.09480,1.32840,100.00000,53.08380,77.85730,-3.82340,-3.82340,0.03680,4.16290,21.61970,-0.34530,-0.34530,-0.14090,-0.31250,13.14750,-1.6356,-1.6382
2022-09-30,38.68900,38.68900,10.09600,19.28700,-31.28700,-12.00000,-12.00000,-12.00000,-12.00000,29.66700,28.59300,33.09800,36.53800,-0.36000,-0.36000,0.09900,0.09040,1.16010,100.00000,49.85140,73.90470,-31.01660,-31.01660,0.03530,4.34760,20.70120,-2.48720,-2.48720,-1.09410,-2.26240,13.73680,0.6371,0.6335
2022-06-30,33.45800,33.45800,9.32600,16.37100,-24.09400,-7.72300,-7.72300,-7.72300,-7.72300,24.97700,24.13200,30.95500,34.33200,-0.25000,-0.25000,0.06840,0.09440,1.27790,100.00000,48.93000,72.12620,-23.08270,-23.08270,0.03070,3.89050,23.13350,-1.68500,-1.68500,-0.70840,-1.52590,14.61740,-3.9986,-3.9999
