Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.31700,0.77700,-0.46000,2.53300,10.68100,,13.21400,-13.67400,5.92400,-7.75000,-7.75000,-7.64100,-2.21100,-13.67400,-13.67400,10.87500,,-0.94000,0.00000,0.51000,-0.01280,-0.66820,-145.11040,-4313.56400,-4313.56400,-2444.79500,-697.47630,0.00570,0.27510,9.88310,34.25230,-13.71050,34.69080,-1.79250,0.0647,0.0647
2024-06-30,,,,,,-1.33360,,-1.33360,-1.22680,-2.56040,-2.56040,-2.56040,-2.56040,-1.33360,-1.33360,5.75000,5.75000,-0.17000,-0.17000,0.05490,-0.34770,-0.25800,,,,,,,,17.38180,17.38180,-2.50860,23.42480,-2.56180,-0.0604,-0.0604
2024-03-31,,,,,,-1.59440,,-1.59440,-0.55940,-2.15380,-2.15380,-2.15380,-2.15380,-1.59440,-1.59440,5.75000,5.75000,-0.14000,-0.14000,0.08070,-0.37970,-0.27520,,,,,,,,19.43530,19.43530,-2.12410,26.81550,-1.92730,-0.00430,-0.00430
2023-12-31,,,,,,-5.42310,,0.56690,16.87410,17.16700,17.16700,17.84000,17.79500,0.56690,0.29290,5.75000,5.75000,0.81000,-0.03000,0.69340,-0.42350,-0.40100,,,,,,,,-29.76760,-96.50550,82.73050,-137.37880,-1.48540,-0.1533,-0.1533
2023-09-30,0.27400,,0.27400,1.24000,4.75000,,,-5.71600,-12.52700,-18.24300,-18.24300,-18.91600,-18.87100,-5.71600,-5.71600,10.87500,,-0.84000,0.00000,0.03540,-0.37820,-0.27440,100.00000,-2086.13100,-2086.13100,-6658.02900,-6887.22700,0.00110,,406.18840,406.18840,-7.71510,559.81840,-0.80990,0.0278,0.0278
2023-06-30,,,,,,-0.42810,,-0.42810,2.55770,2.12970,2.12970,2.12970,2.12970,-0.42810,-0.42810,5.75000,5.75000,0.07000,0.07000,0.38050,-0.09690,-0.08840,,,,,,,,-17.92330,-17.92330,0.88130,-19.66060,-2.06650,-0.003,-0.003
2023-03-31,,,,,,-0.35300,,-0.35300,3.20680,2.85370,2.85370,2.85370,2.85370,-0.35300,-0.35300,5.75000,5.75000,0.10000,0.10000,0.94330,-0.10280,-0.09320,,,,,,,,-25.32590,-25.32600,1.19350,-27.92840,-1.95960,-0.02480,-0.02480
2022-12-31,,,,,,-0.32680,,-0.32680,2.92270,2.59590,2.59590,2.59590,2.59590,-0.32680,-0.32680,5.75000,5.75000,0.08000,0.08000,1.27690,-0.09900,-0.09000,,,,,,,,-22.26180,-22.26180,1.09570,-24.46480,-2.02800,-0.0162,-0.0162
2022-09-30,,,,,,-0.39330,,-0.39330,0.56740,0.17420,0.17420,0.17420,0.17420,-0.39330,-0.39330,5.75000,5.75000,0.01000,0.01000,1.54010,-0.09360,-0.08560,,,,,,,,-1.41980,-1.41980,0.07400,-1.55270,-2.13330,-0.0255,-0.0255
2022-06-30,,,,,,-0.51090,,-0.51090,4.44250,3.93160,3.93160,3.93160,3.93160,-0.51090,-0.51090,5.75000,5.75000,0.14000,0.14000,1.92830,-0.10230,-0.09280,,,,,,,,-34.75120,-34.75130,1.67770,-38.30640,-1.96760,-0.0116,-0.0116
2022-03-31,,,,,,-0.57140,,-0.57140,3.76120,3.18980,3.18980,3.18980,3.18980,-0.57140,-0.57140,5.75000,5.75000,0.11000,0.11000,1.16390,,,,,,,,,,-21.14670,-21.14670,1.36670,-21.14670,-2.62330,-0.04040,-0.04040
2021-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2021-09-30,,,,,,,,,,,,,,,,5.75000,5.75000,0.00000,0.00000,,,,,,,,,,,,,,,,0,0
2021-06-30,,,,,,,,,,,,,,,,5.75000,5.75000,,0.00000,,,,,,,,,,,,,,,,0,0
