Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,-0.01700,-0.64300,,0.66000,-17.51600,-16.85600,-16.85600,-16.85600,-16.85600,0.66000,0.66000,26.29240,26.29240,-0.49000,-0.49000,0.07030,-0.13350,18.57150,18.57150,-306.41710,18.57150,-2.61950,-0.0367,-0.0367
2023-09-30,0.30500,2.35000,,-2.65500,-11.43200,-14.08700,-14.08700,-14.08700,-14.08700,-2.65500,-2.65500,26.60520,26.60520,-0.53000,-0.53000,0.03340,-0.16020,18.72670,18.72670,-1366.34300,18.72670,-2.20680,-0.0411,-0.0411
2023-06-30,0.02800,2.80400,,-2.83200,-8.59900,-11.43100,-11.43100,-11.43100,-11.43100,-2.83200,-2.83200,26.46960,26.46960,-0.43000,-0.43000,0.07250,-0.19250,18.53970,18.53970,-528.96800,18.53970,-1.81280,-0.174,-0.174
2023-03-31,0.39300,4.99400,,-5.38700,-66.70500,-72.09200,-72.09200,-72.09200,-72.09200,-5.38700,-5.38700,24.82200,24.82200,-2.90000,-2.90000,0.01290,-0.12910,131.66770,131.66770,-23559.48000,131.66770,-1.62110,-0.10680,-0.10680
2022-12-31,0.16100,0.77700,,-0.93800,-0.04500,-0.98300,-0.98300,-0.98300,-0.98300,-0.93800,-0.93800,23.35540,23.35540,-0.04000,-0.04000,0.14550,-0.07170,9.08590,9.08590,-53.36580,9.08590,-0.46320,-0.0014,-0.0014
2022-09-30,1.85800,1.31500,,-3.17300,-0.49500,-3.66800,-3.66800,-3.66800,-3.66800,-3.17300,-3.17300,23.35540,23.35540,-0.16000,-0.16000,0.28670,-0.22620,79.02510,79.02510,-3.36120,79.02510,-1.70330,-0.0189,-0.0189
2022-06-30,3.19200,3.70800,,-6.90000,-0.43300,-7.33300,-7.33300,-7.33300,-7.33300,-6.90000,-6.90000,23.35540,23.35540,-0.31000,-0.31000,1.47270,,334.11570,334.11580,-6.75470,334.11570,-0.80540,-0.0065,-0.0065
2022-03-31,3.19800,1.91200,,-5.11000,-0.26500,-5.37500,-5.37500,-5.37500,-5.37500,-5.11000,-5.11000,23.35540,23.35540,-0.23000,-0.23000,11.69390,,267.43760,267.43800,-4.96110,267.43760,-0.73750,-0.01570,-0.01570
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0.2682,0.2682
2021-09-30,,,-0.04270,-0.04270,0.00020,-0.04250,-0.04250,-0.04250,-0.04250,-0.04270,-0.04270,2.63910,2.63910,-0.02000,-0.02000,185.81720,,3.21670,3.21670,-0.03910,3.21670,-0.44460,-0.2682,-0.2682
