Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3603.00000,1707.00000,1896.00000,810.00000,-528.00000,1583.00000,313.00000,313.00000,44.00000,269.00000,271.00000,,266.00000,558.00000,369.00000,272.00000,273.00000,0.98000,0.97000,0.31980,0.47020,8.68720,10.24150,8.68720,7.38270,0.03810,3.04430,-10.62750,0.28630,2.07060,32.48910,8.6667,8.5202
2024-06-30,3158.00000,1217.00000,1941.00000,779.00000,-468.00000,1483.00000,458.00000,458.00000,116.00000,342.00000,343.00000,,306.00000,694.00000,505.00000,271.00000,273.00000,1.13000,1.12000,0.34350,0.52310,14.50290,15.99110,14.50290,9.68970,0.03560,4.29770,-11.79510,0.38620,2.82170,29.23440,4.9712,4.8215
2024-03-31,3299.00000,1621.00000,1678.00000,727.00000,-404.00000,1347.00000,331.00000,331.00000,63.00000,268.00000,269.00000,,248.00000,547.00000,380.00000,271.00000,272.00000,0.92000,0.91000,0.33140,0.49560,10.03330,11.51860,10.03330,7.51740,0.03900,3.43240,-9.90060,0.31840,2.29500,28.68200,5.84930,5.72060
2023-12-31,3432.00000,2106.00000,1326.00000,742.00000,-552.00000,1494.00000,-168.00000,-168.00000,-53.00000,-115.00000,-114.00000,,-69.00000,32.00000,-123.00000,270.00000,271.00000,-0.26000,-0.25000,0.34260,0.52100,-4.89510,-3.58390,-4.89510,-2.01050,0.04260,-1.52820,4.72050,-0.14140,-1.00470,27.32600,8.3506,8.2362
2023-09-30,2778.00000,856.00000,1922.00000,734.00000,-388.00000,1319.00000,603.00000,603.00000,141.00000,462.00000,477.00000,,426.00000,800.00000,647.00000,270.00000,271.00000,1.58000,1.57000,0.35950,0.56120,21.70630,23.29010,21.70630,15.33480,0.03750,7.24480,-15.37720,0.64460,4.64050,24.19180,3.9705,3.8524
2023-06-30,3068.00000,1367.00000,1701.00000,755.00000,-420.00000,1369.00000,332.00000,332.00000,90.00000,242.00000,243.00000,,219.00000,526.00000,375.00000,270.00000,271.00000,0.81000,0.81000,0.35630,0.55350,10.82140,12.22300,10.82140,7.13820,0.04200,3.63940,-8.47280,0.33280,2.34260,24.53170,6.3505,6.2214
2023-03-31,2474.00000,1232.00000,1242.00000,677.00000,-463.00000,1316.00000,-74.00000,-74.00000,14.00000,-88.00000,-88.00000,,-59.00000,102.00000,-32.00000,270.00000,271.00000,-0.22000,-0.22000,0.35730,0.55600,-2.99110,-1.29350,-2.99110,-2.38480,0.03550,-1.32370,3.23890,-0.12630,-0.85070,24.42380,5.23250,5.10700
2022-12-31,2557.00000,1273.00000,1284.00000,734.00000,-454.00000,1344.00000,-60.00000,-60.00000,-55.00000,-5.00000,-6.00000,,-5.00000,96.00000,-34.00000,275.00000,277.00000,0.03000,0.02000,0.33020,0.49290,-2.34650,-1.32970,-2.34650,-0.19550,0.03930,-0.09130,0.26170,-0.00920,-0.06120,24.12320,4.8965,4.7583
2022-09-30,3206.00000,1317.00000,1889.00000,796.00000,-436.00000,1386.00000,503.00000,503.00000,136.00000,367.00000,367.00000,,362.00000,657.00000,531.00000,273.00000,275.00000,1.33000,1.32000,0.31710,0.46440,15.68930,16.56270,15.68930,11.29130,0.05160,6.32870,-11.97000,0.59040,4.32170,21.27090,5.4671,5.3651
2022-06-30,2635.00000,553.00000,2082.00000,839.00000,-361.00000,1351.00000,731.00000,731.00000,202.00000,529.00000,543.00000,,537.00000,882.00000,762.00000,278.00000,279.00000,1.93000,1.92000,0.31440,0.45860,27.74190,28.91840,27.74190,20.37950,0.04300,8.04920,-32.84940,0.88680,5.51830,24.35830,3.0015,2.8778
2022-03-31,3167.00000,1047.00000,2120.00000,823.00000,-596.00000,1564.00000,556.00000,556.00000,156.00000,400.00000,402.00000,,400.00000,701.00000,586.00000,281.00000,283.00000,1.42000,1.41000,0.27600,0.38130,17.55610,18.50330,17.55610,12.63030,0.05200,4.95200,277.24140,0.66060,3.58510,28.87770,2.35690,2.22260
2021-12-31,4809.00000,2232.00000,2577.00000,932.00000,-560.00000,1415.00000,1162.00000,1162.00000,258.00000,904.00000,914.00000,,908.00000,1085.00000,1193.00000,285.00000,287.00000,3.20000,3.18000,0.24660,0.32740,24.16300,24.80770,24.16300,18.88130,0.07920,9.66480,46.60890,1.50600,7.28110,33.32520,5.1281,4.9979
