Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,130.23200,24.05500,106.17700,3.25400,54.66200,57.91600,48.26100,9.91800,58.17900,7.18900,50.99000,50.99000,50.99000,48.39900,48.26100,77.02200,77.90800,0.66000,0.65000,10.67920,81.52910,37.05770,37.05770,44.67340,39.15320,0.15800,0.41270,1.99670,45.07460,,6.91960,6.18790,6.91960,,0.516,0.5145
2024-06-30,86.44900,17.11600,69.33300,3.69800,47.32100,51.01900,18.31400,8.69000,27.00400,3.18600,23.81800,23.81800,23.81800,18.49100,18.31400,83.87800,85.89000,0.28000,0.28000,8.62930,80.20110,21.18480,21.18480,31.23690,27.55150,0.10050,0.32520,1.41360,63.66910,,3.17100,2.77010,3.17100,,0.4899,0.4871
2024-03-31,80.28400,16.36500,63.91900,3.51800,42.30900,45.82700,18.09200,7.98400,26.07600,2.38000,23.69600,23.69600,23.69600,18.25700,18.09200,84.52300,85.96500,0.28000,0.28000,13.45000,79.61610,22.53500,22.53500,32.47970,29.51520,0.09000,0.31710,1.54270,58.33900,,2.90590,2.65730,2.90590,,0.28050,0.27920
2023-12-31,126.78100,20.26400,106.51700,3.47300,51.80000,55.27300,51.24400,8.92000,60.16400,4.99900,55.16500,55.16500,55.16500,51.36600,51.24400,83.53400,85.95400,0.65000,0.64000,13.18030,84.01650,40.41930,40.41930,47.45510,43.51200,0.14690,0.44940,2.16240,41.62060,,7.00620,6.39010,7.00620,,0.713,0.7128
2023-09-30,123.11200,20.13600,102.97600,3.26800,53.29800,56.56600,46.41000,4.95300,51.36300,4.84300,46.52000,46.52000,46.52000,46.53900,46.41000,83.70300,85.97000,0.56000,0.54000,12.50900,83.64420,37.69740,37.69740,41.72060,37.78670,0.15510,0.50350,1.98320,45.38090,,6.42990,5.86240,6.42990,,0.4789,0.4771
2023-06-30,136.08100,22.05400,114.02700,3.56700,53.45100,57.01800,57.00900,4.44500,61.45400,5.72500,55.72900,55.72900,55.72900,57.19300,57.00900,83.40500,85.65000,0.67000,0.65000,11.84210,83.79350,41.89340,41.89340,45.15990,40.95280,0.18540,0.57180,2.65660,33.87810,,8.36570,7.59160,8.36570,,0.618,0.6158
2023-03-31,106.07400,18.25400,87.82000,3.10200,43.72100,46.82300,40.99700,3.28900,44.28600,3.78100,40.50500,40.50500,40.50500,41.18500,40.99700,83.15400,85.38700,0.49000,0.47000,10.97570,82.79130,38.64940,38.64940,41.75010,38.18560,0.15840,0.44730,2.67390,33.65860,,6.71750,6.04900,6.71750,,0.24730,0.24330
2022-12-31,133.57100,21.00200,112.56900,3.26100,49.41000,52.67100,59.89800,3.96200,63.86000,26.15200,37.70800,37.70800,37.70800,60.11600,59.89800,82.48200,85.40400,0.46000,0.43000,7.67340,84.27650,44.84360,44.84360,47.80980,28.23070,0.20730,0.52640,3.17340,28.36090,6.79890,6.79890,5.85160,6.79890,6.71900,0.6592,0.6555
2022-09-30,121.23200,18.76500,102.46700,3.16600,45.55600,48.72200,53.74500,0.18900,53.93400,5.14500,48.78900,48.78900,48.78900,53.91400,53.74500,82.30600,84.82300,0.59000,0.58000,9.73610,84.52140,44.33240,44.33240,44.48830,40.24430,0.20940,0.52400,2.90130,31.02100,,9.59840,8.42670,9.59840,,0.5357,0.5312
2022-06-30,113.54700,18.94600,94.60100,3.18300,42.21500,45.39800,49.20300,-0.91800,48.28500,4.23700,44.04800,44.04800,44.04800,49.35800,49.20300,82.21600,84.66300,0.54000,0.52000,8.78110,83.31440,43.33270,43.33270,42.52420,38.79280,0.21700,0.63660,3.17090,28.38310,,9.72760,8.41890,9.72760,,0.5595,0.5528
