Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,2.75610,1.56610,-4.32340,0.00750,-4.31600,-4.31600,-4.31600,-4.31600,-4.32220,-4.32340,3.50000,3.50000,-1.23000,-1.23000,0.85520,,-259.22190,-259.22300,-110.46060,-259.22300,0.30330,1.337,1.3368
2024-06-30,1.66650,4.84950,-6.51830,0.02240,-6.49580,-6.49580,-6.49580,-6.49580,-5.74250,-6.51830,2.16200,2.16200,-3.00000,-3.00000,1.94520,,-149.48270,-149.48270,-98.35020,-149.48270,1.70010,-1.8569,-1.8571
2024-03-31,3.27440,2.71970,-5.99670,0.02780,-5.96890,-5.96890,-5.96890,-5.96890,-5.99400,-5.99670,1.61800,1.61800,-3.69000,-3.69000,2.42330,,-68.16360,-74.92730,-47.50550,-68.16360,4.55370,-3.27430,-3.27360
2023-12-31,3.71300,2.27030,-5.98670,0.05750,-5.92920,-5.92920,-5.92920,-5.92930,-5.98330,-5.98670,1.36800,1.36800,-3.62000,-3.62000,2.31450,,-79.94800,-89.25690,-55.56630,-79.94800,4.99080,-4.3989,-4.3988
2023-09-30,4.61650,3.16610,-7.78630,0.03810,-7.74820,-7.74820,-7.74820,-7.74820,-7.78260,-7.78630,1.44500,1.44500,-5.36000,-5.36000,2.96370,,-62.96570,-67.13080,-46.55380,-62.96570,8.28230,-2.1071,-2.1071
2023-06-30,3.97690,4.05720,-8.03800,0.05780,-7.98020,-7.98020,-7.98020,-7.98020,-8.03410,-8.03800,1.29900,1.29900,-6.14000,-6.14000,3.20350,,-66.22100,-70.56400,-50.15480,-66.22090,9.27360,-5.9736,-5.9736
2023-03-31,5.31010,3.95040,-9.26460,0.06180,-9.20280,-9.20280,-9.20280,-9.20280,-9.26050,-9.26460,1.23700,1.23700,-7.44000,-7.44000,4.12440,,-49.78550,-51.80830,-39.46290,-49.78550,14.22620,-5.60420,-5.60420
2022-12-31,3.38520,3.18790,-6.57920,0.05560,-6.52360,-6.52360,-6.52360,-6.52360,-6.57310,-6.57920,1.19900,1.19900,-5.40000,-5.40000,7.64090,,-29.28700,-30.24020,-26.00600,-29.28700,18.51600,-3.7977,-3.7977
2022-09-30,3.15770,3.00650,-6.17040,0.02790,-6.14260,-6.14260,-6.14260,-6.14260,-6.16420,-6.17040,1.19960,1.19960,-5.20000,-5.20000,10.70610,,-22.34590,-22.91450,-20.51230,-22.34590,22.89760,-3.7564,-3.7564
2022-06-30,2.92690,2.83690,-5.77040,0.00570,-5.76460,-5.76460,-5.76460,-5.76460,-5.76380,-5.77040,1.19730,1.19730,-4.80000,-4.80000,14.34690,,-17.78590,-18.15910,-16.67760,-17.78590,27.06690,-3.7411,-3.7411
2022-03-31,2.04020,3.26370,-5.31070,0.00090,-5.30980,-5.30980,-5.30980,-5.30980,-5.30400,-5.31070,1.19700,1.19700,-4.40000,-4.40000,14.97100,,-14.34130,-14.59530,-13.47350,-14.34130,30.93120,-3.40160,-3.40160
2021-12-31,3.84340,2.90190,-6.75230,0.00100,-6.75130,-6.75130,-6.75130,-6.75130,-6.74530,-6.75230,1.17740,1.17740,-6.00000,-6.00000,24.68960,,-16.35600,-16.61460,-15.75110,-16.35600,34.48730,-2.8348,-2.8446
2021-09-30,1.43200,2.00040,-3.43890,0.00110,-3.43790,-3.43790,-3.43790,-3.43790,-3.43240,-3.43890,1.19030,1.19030,-2.80000,-2.80000,39.28480,,-7.61170,-7.71900,-7.42080,-7.61170,37.79210,-2.1776,-2.1871
2021-06-30,1.52630,2.45810,-3.98720,0.00110,-3.98610,-3.98610,-3.98610,-3.98610,-3.98440,-3.98720,1.18430,1.18430,-3.20000,-3.20000,45.89440,,-8.35940,-8.46950,-8.17980,-8.35940,40.13570,-2.3201,-2.2473
2021-03-31,2.16910,4.31630,-6.49170,0.00200,-6.48970,-6.48970,-6.48970,-6.48970,-6.48550,-6.49170,1.13870,1.13870,-5.60000,-5.60000,82.09840,,-12.87060,-13.02840,-12.71580,-12.87060,42.62740,-4.79980,-4.88030
2020-12-31,2.31940,2.90430,-5.22970,0.00130,-5.22830,-5.22830,-5.22830,-5.22830,-5.22370,-5.22970,0.88810,0.88810,-4.80000,-4.80000,61.46640,,-16.91110,-17.24670,-16.66810,-16.91110,28.68080,-5.4053,-5.4102
2020-09-30,1.35000,1.42190,-2.77760,0.00270,-2.77490,-2.77490,-2.77490,-2.77490,-2.77190,-2.77760,0.97640,0.97640,-2.80000,-2.80000,60.45680,,-12.07760,-12.39460,-11.88330,-12.07760,23.28810,-1.2042,-1.2046
2020-06-30,2.15560,2.21670,-4.37810,0.00480,-4.37330,-4.37330,-4.37330,-4.37330,-4.37230,-4.37810,0.88400,0.88400,-4.80000,-4.80000,100.74710,,-17.84330,-18.24110,-17.67040,-17.84330,25.37940,-2.6173,-2.6155
2020-03-31,1.47790,4.09300,-5.57620,0.01000,-5.56620,-5.56620,-5.56620,-5.56620,-5.57090,-5.57620,0.69880,0.69880,-8.00000,-8.00000,34.46770,,-23.24780,-23.78010,-22.59000,-23.24780,29.15430,-6.46450,-6.48080
2019-12-31,0.48960,1.93410,-2.42730,0.00230,-2.42500,-2.42500,-2.42500,-2.42500,-2.42370,-2.42730,0.40070,0.40070,-5.20000,-5.20000,5.82870,,-80.20270,-95.75980,-68.61380,-80.20280,6.27810,-4.1364,-4.1973
2019-09-30,0.46730,1.91000,-2.38080,0.00510,-2.37570,-2.37570,-2.37570,-2.37570,-2.37730,-2.38080,0.39580,0.39580,-6.00000,-6.00000,6.71760,,-67.27970,-76.45890,-58.39530,-67.27970,8.91520,-4.9188,-4.9257
2019-06-30,0.50200,3.19870,-3.70390,0.00860,-3.69520,-3.69520,-3.69520,-3.69520,-3.70080,-3.70390,0.39060,0.39060,-9.60000,-9.60000,6.18030,,-69.39330,-75.35780,-58.99330,-69.39330,13.47860,-3.9297,-3.9345
2019-03-31,0.50800,1.65980,-2.17080,0.01190,-2.15880,-2.15880,-2.15880,-2.15880,-2.16780,-2.17080,0.38340,0.38340,-5.60000,-5.60000,30.49170,,-29.79650,-31.48550,-28.87550,-29.79650,18.62430,-4.28280,-4.29350
