Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.31960,8.31690,5.00270,2.59660,5.20690,,7.80350,-2.80080,-0.53450,-3.33530,0.12500,-3.46030,-3.46030,,-3.46030,-2.66240,-2.80080,124.31800,124.31800,-0.03000,-0.03000,1.43360,37.55890,-21.02780,-21.02780,-25.04080,-25.97930,0.18870,1.26870,0.76080,118.30400,-15.22600,-15.22600,-4.90280,-15.22600,0.14840,-0.0508,-0.0508
2024-06-30,12.33640,8.68530,3.65110,1.83970,7.26790,,9.10760,-5.45640,-0.46560,-5.92200,,-5.92200,-5.92200,,-5.92200,-5.31970,-5.45640,121.40100,121.40100,-0.05000,-0.05000,0.88910,29.59610,-44.23030,-44.23030,-48.00420,-48.00420,0.25150,1.53730,0.88560,101.62060,2737.39500,2737.32000,-12.07380,2737.34400,-0.00190,-0.025,-0.0256
2024-03-31,10.03260,8.54160,1.49110,2.10080,7.23190,-24.80000,34.13260,-32.64160,0.09330,-32.54820,,-32.54820,-32.54820,,-32.54820,-32.44620,-32.64160,120.11500,120.11500,-0.27000,-0.27000,0.98770,14.86220,-325.35350,-325.35350,-324.42320,-324.42320,0.19570,1.39560,0.80330,112.03370,-658.86760,-658.86740,-63.48900,-658.86740,0.04280,-0.02590,-0.02790
2023-12-31,8.57760,7.19330,1.38430,2.24270,5.92930,,8.17200,-6.78770,0.33770,-6.45000,0.03900,-6.48900,-6.48900,,-6.48900,-6.67760,-6.78770,108.97600,108.97600,-0.06000,-0.06000,2.50850,16.13870,-79.13230,-79.13220,-75.19520,-75.64990,0.17390,0.94630,0.65400,137.61680,-21.98990,-21.98990,-13.15890,-21.98990,0.26290,-0.0332,-0.0375
2023-09-30,10.59850,5.43800,5.16050,3.08990,4.79860,,7.88850,-2.72800,0.31670,-2.41130,0.03900,-2.45030,-2.45030,,-2.45030,-2.61760,-2.72800,110.36100,110.36100,-0.02000,-0.02000,2.82460,48.69130,-25.73940,-25.73940,-22.75150,-23.11940,0.19410,0.59930,0.81520,110.39770,-7.12930,-7.12930,-4.48730,-7.12930,0.31130,-0.0341,-0.0353
2023-06-30,10.45990,5.69710,4.76280,3.13230,6.46610,,9.59830,-4.83560,-3.30580,-8.14140,0.03900,-8.18040,-8.18040,,-8.18040,-4.67240,-4.83560,109.91100,109.91100,-0.07000,-0.07000,3.08000,45.53400,-46.22990,-46.22990,-77.83450,-78.20740,0.18890,0.72320,1.27300,70.70010,-22.77000,-22.77000,-14.77550,-22.77000,0.32570,-0.033,-0.0341
2023-03-31,10.75820,6.62410,4.13410,2.31220,4.64810,,6.96040,-2.82630,0.23670,-2.58960,0.03900,-2.62860,-2.62860,,-2.62860,-2.60170,-2.82630,105.03600,105.03600,-0.03000,-0.03000,3.98180,38.42740,-26.27070,-26.27070,-24.07050,-24.43310,0.18070,0.97160,1.24290,72.41380,-6.12750,-6.12750,-4.41590,-6.12750,0.39030,-0.03970,-0.04180
2022-12-31,12.18440,8.88250,3.30190,4.67220,4.85300,,9.52510,-6.22320,0.10200,-6.12120,0.03600,-6.15720,-6.15720,,-6.15720,-6.16640,-6.22320,91.42900,91.42900,-0.06000,-0.06000,2.13470,27.09950,-51.07550,-51.07550,-50.23850,-50.53340,0.27850,1.38220,1.14880,78.34330,-25.66520,-25.66520,-14.07300,-25.66520,0.25830,-0.0267,-0.0289
2022-09-30,11.72940,7.98720,3.74220,3.44140,4.32010,,7.76150,-4.01930,-2.09390,-6.11320,0.03600,-6.14920,-6.14920,,-6.14920,-3.88930,-4.01930,93.51600,93.51600,-0.07000,-0.07000,2.41580,31.90470,-34.26690,-34.26690,-52.11850,-52.42540,0.23710,1.19910,0.89280,100.80630,-20.35580,-20.35580,-12.42800,-20.35580,0.32610,-0.0401,-0.0403
2022-06-30,11.90900,7.90630,4.00280,5.14540,4.32750,,9.47280,-5.47010,-0.14110,-5.61120,0.03600,-5.64720,-5.64720,,-5.64690,-5.20240,-5.47010,90.30100,90.30100,-0.06000,-0.06000,2.68150,33.61130,-45.93200,-45.93200,-47.11710,-47.41720,0.21430,1.14150,0.96680,93.08610,-15.95660,-15.95660,-10.16200,-15.95660,0.38550,-0.1014,-0.1023
2022-03-31,11.57840,7.78290,3.79550,5.40860,4.46450,,9.87310,-6.07760,4.74100,-1.33670,0.03600,-1.37270,-1.37270,,-1.37260,-5.80990,-6.07760,90.12100,90.12100,-0.02000,-0.02000,2.63540,32.78120,-52.49090,-52.49090,-11.54440,-11.85520,0.19200,1.09120,1.24110,72.51900,-3.54690,-3.54690,-2.27680,-3.54690,0.42950,-0.02530,-0.03110
2021-12-31,13.19730,7.46600,5.73130,5.23300,4.11780,,9.35080,-3.61950,0.34640,-3.27310,0.03200,-3.30510,-3.30510,,-3.30900,-3.51590,-3.61950,88.83200,88.83200,-0.04000,-0.04000,2.97770,43.42800,-27.42590,-27.42590,-24.80110,-25.07310,0.20950,1.13450,0.91570,98.28670,-8.34050,-8.34050,-5.24550,-8.34050,0.44040,-0.021,-0.023
2021-09-30,10.88720,5.14520,5.74200,3.75170,4.03600,,7.78770,-2.04570,-0.05100,-2.09670,0.03200,-2.12870,-2.12870,,-2.12880,-1.88150,-2.04570,90.51700,90.51700,-0.02000,-0.02000,3.69680,52.74090,-18.79030,-18.79030,-19.25830,-19.55320,0.18470,0.76350,1.07350,83.83680,-4.96610,-4.96610,-3.61100,-4.96610,0.47870,-0.0369,-0.039
2021-06-30,9.90530,6.04450,3.86070,3.74030,4.04100,,7.78130,-3.92050,0.10360,-3.81690,0.03200,-3.84890,-3.84890,,-3.84890,-3.71870,-3.92050,88.81500,88.81500,-0.04000,-0.04000,3.10890,38.97640,-39.58020,-39.58020,-38.53390,-38.85680,0.17130,0.96720,0.93100,96.67310,-9.70950,-9.70950,-6.65610,-9.70950,0.44570,-0.0603,-0.0638
2021-03-31,11.67640,6.39670,5.27970,3.56330,5.90570,,9.46900,-4.18930,0.03660,-4.15270,0.03300,-4.18570,-4.18570,,-4.14620,-3.98280,-4.18930,87.37800,87.37800,-0.05000,-0.05000,3.35740,45.21700,-35.87850,-35.87850,-35.56520,-35.50970,0.19490,1.17260,1.30860,68.77650,-9.92090,-9.92090,-6.98590,-9.92090,0.47520,-0.00280,-0.00680
2020-12-31,13.92170,6.14590,7.77570,4.39320,2.40170,,6.79490,0.98080,0.28620,1.26700,0.02900,1.23800,1.23800,,1.26340,1.15910,0.98080,82.34800,82.34800,0.01000,0.01000,2.33710,55.85360,7.04540,7.04540,9.10110,9.07500,0.29280,1.37930,1.08910,82.63630,4.37480,4.37480,2.60370,4.37480,0.33120,0.0224,0.0194
2020-09-30,9.51280,4.82500,4.68770,2.71590,3.07960,,5.79550,-1.10770,0.16790,-0.93980,0.02900,-0.96880,-0.96880,,-0.95740,-0.97320,-1.10770,82.59600,82.59600,-0.01000,-0.01000,2.50190,49.27830,-11.64450,-11.64450,-9.87900,-10.06480,0.25260,1.20650,1.17570,76.55180,-4.15690,-4.15530,-2.57250,-4.15690,0.28220,0.0059,0.0048
2020-06-30,8.81460,4.77960,4.03510,2.22120,2.90940,,5.13050,-1.09550,-0.00570,-1.10120,0.04200,-1.14320,-1.14320,,-1.12150,-0.92250,-1.09550,82.56900,82.56900,-0.01000,-0.01000,2.69280,45.77690,-12.42760,-12.42760,-12.49270,-12.72360,0.23430,1.28760,0.95900,93.84870,-4.75140,-4.75140,-3.03810,-4.75140,0.29130,-0.035,-0.0356
2020-03-31,7.87860,5.64780,2.23080,2.33970,3.43210,,5.77190,-3.54110,-0.08690,-3.62800,0.02900,-3.65700,-3.65700,,-3.59550,-3.36790,-3.54110,82.53600,82.53600,-0.04000,-0.04000,2.81640,28.31410,-44.94560,-44.94560,-46.04870,-45.63650,0.20500,1.64780,1.07560,83.67160,-14.63120,-14.63120,-9.51440,-14.63120,0.30280,-0.04690,-0.04880
