Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,12699.00000,,12699.00000,159.00000,5262.00000,-2670.00000,,3987.00000,3987.00000,997.00000,2990.00000,2990.00000,2780.00000,4608.00000,3987.00000,324.80000,330.80000,8.52000,8.40000,0.66950,0.67370,7.32720,100.00000,31.39620,31.39620,31.39620,21.89150,0.00730,0.08760,1027.08000,2.76990,2.46700,0.17300,0.80500,385.75260,-115.9826,-116.4775
2024-06-30,12731.00000,,12731.00000,153.00000,5377.00000,-2639.00000,,3916.00000,3916.00000,873.00000,3043.00000,3043.00000,2891.00000,4562.00000,3916.00000,329.80000,335.50000,8.73000,8.62000,0.72020,0.66260,7.00010,100.00000,30.75960,30.75960,30.75960,22.70840,0.00770,0.08970,1003.84900,2.85170,2.54720,0.18410,0.85940,377.85260,17.2568,16.9732
2024-03-31,14213.00000,,14213.00000,153.00000,5686.00000,-2510.00000,,5237.00000,5237.00000,1105.00000,4132.00000,4132.00000,3931.00000,5864.00000,5237.00000,335.60000,339.50000,11.67000,11.58000,0.74340,0.66370,7.27530,100.00000,36.84660,36.84660,36.84660,27.65780,0.00840,0.08860,1015.81000,3.84930,3.48560,0.24330,1.17230,365.86690,-82.58620,-82.87480
2023-12-31,11318.00000,,11318.00000,175.00000,4844.00000,-3265.00000,,2254.00000,2254.00000,246.00000,2008.00000,2008.00000,1867.00000,3034.00000,2254.00000,340.80000,345.80000,5.57000,5.53000,0.76450,0.67420,7.20020,100.00000,19.91520,19.91520,19.91520,16.49590,0.00690,0.08540,1053.59200,1.89970,1.71760,0.12230,0.55970,361.51410,-82.259,-77.677
2023-09-30,11817.00000,,11817.00000,136.00000,5300.00000,-2113.00000,,2756.00000,2756.00000,698.00000,2058.00000,2058.00000,1882.00000,4268.00000,2756.00000,338.70000,343.90000,5.52000,5.47000,0.76600,0.65640,6.68920,100.00000,23.32230,23.32230,23.32230,15.92620,0.00750,0.08390,1072.85600,1.94020,1.75480,0.13050,0.60300,359.07900,-73.1067,-73.1757
2023-06-30,10895.00000,,10895.00000,146.00000,4746.00000,-2673.00000,,1736.00000,1736.00000,520.00000,1216.00000,1216.00000,1071.00000,3330.00000,1736.00000,342.30000,347.20000,3.09000,3.08000,0.81260,0.66460,6.69250,100.00000,15.93390,15.93390,15.93390,9.83020,0.00690,0.06930,1299.21400,1.14940,1.04380,0.07740,0.35010,352.14260,92.1969,90.9782
2023-03-31,12224.00000,,12224.00000,172.00000,5204.00000,-1885.00000,,3993.00000,3993.00000,759.00000,3234.00000,3234.00000,3087.00000,4963.00000,3993.00000,346.60000,351.30000,8.87000,8.79000,0.81130,0.67200,6.48240,100.00000,32.66530,32.66530,32.66530,25.25360,0.00790,0.08450,1064.87000,3.02790,2.75210,0.21020,0.90260,353.00280,26.76910,26.25680
2022-12-31,10593.00000,,10593.00000,216.00000,5001.00000,-3119.00000,,1530.00000,1530.00000,204.00000,1326.00000,1326.00000,1185.00000,2257.00000,1530.00000,352.10000,358.10000,3.39000,3.32000,0.90090,0.67830,5.58450,100.00000,14.44350,14.44350,14.44350,11.18660,0.00730,0.07820,1150.79000,1.24520,1.13150,0.09200,0.36400,349.90250,-92.2474,-90.3632
2022-09-30,11975.00000,,11975.00000,199.00000,4785.00000,-2569.00000,,3756.00000,3756.00000,687.00000,3069.00000,3069.00000,2962.00000,4422.00000,3756.00000,352.80000,359.20000,8.35000,8.25000,0.84050,0.66800,6.22550,100.00000,31.36530,31.36530,31.36530,24.73490,0.00770,0.07240,1243.24800,2.82630,2.57270,0.19720,0.85430,351.78100,44.8309,42.9911
2022-06-30,11864.00000,,11864.00000,235.00000,4888.00000,-2627.00000,,3544.00000,3544.00000,617.00000,2927.00000,2927.00000,2786.00000,4114.00000,3544.00000,355.00000,360.50000,7.81000,7.73000,0.87230,0.68000,6.71640,100.00000,29.87190,29.87190,29.87190,23.48280,0.00740,0.07270,1238.41800,2.73120,2.48320,0.18280,0.79470,344.68930,126.6199,125.1408
2022-03-31,12933.00000,,12933.00000,162.00000,5195.00000,-2428.00000,,4656.00000,4656.00000,717.00000,3939.00000,3939.00000,3831.00000,5148.00000,4656.00000,351.20000,355.90000,10.87000,10.76000,0.87820,0.69160,6.73860,100.00000,36.00090,36.00090,36.00090,29.62190,0.00810,0.07410,1215.28900,3.76810,3.41810,0.24780,1.05420,335.58630,-54.88620,-56.36130
2021-12-31,12639.00000,,12639.00000,193.00000,4441.00000,-2492.00000,,5025.00000,5025.00000,1090.00000,3935.00000,3935.00000,3809.00000,5513.00000,5025.00000,350.50000,355.80000,11.09000,10.90000,0.87710,0.69800,6.48980,100.00000,39.75790,39.75790,39.75790,30.13690,0.00860,0.07870,1144.12300,3.96580,3.57970,0.26880,1.08100,329.54110,85.449,84.6208
2021-09-30,13608.00000,,13608.00000,165.00000,4236.00000,-1856.00000,,6842.00000,6842.00000,1464.00000,5378.00000,5378.00000,5284.00000,7351.00000,6842.00000,348.30000,353.90000,15.14000,14.93000,0.84720,0.69550,6.81670,100.00000,50.27930,50.27930,50.27930,38.83010,0.00940,0.07920,1136.11100,5.58210,5.05940,0.37260,1.54060,317.50070,-110.6806,-106.494
2021-06-30,15388.00000,,15388.00000,115.00000,6219.00000,-1694.00000,,6840.00000,6840.00000,1354.00000,5486.00000,5486.00000,5347.00000,7360.00000,6840.00000,350.80000,356.00000,15.22000,15.02000,0.84360,0.70100,7.03940,100.00000,44.45020,44.45020,44.45020,34.74790,0.01110,0.09490,948.04130,5.91880,5.38420,0.39530,1.60960,302.09680,57.2939,54.9759
2021-03-31,17704.00000,,17704.00000,80.00000,7025.00000,-1764.00000,,8337.00000,8337.00000,1501.00000,6836.00000,6836.00000,6711.00000,8835.00000,8337.00000,356.60000,360.90000,18.80000,18.60000,0.81370,0.69160,6.86980,100.00000,47.09110,47.09110,47.09110,37.90670,0.01360,0.10750,837.05490,7.72770,6.99950,0.52520,2.15850,287.23180,-14.36130,-17.46470
2020-12-31,11741.00000,,11741.00000,89.00000,3424.00000,-2189.00000,,5541.00000,5541.00000,1035.00000,4506.00000,4506.00000,4362.00000,6039.00000,5541.00000,356.40000,360.30000,12.22000,12.12000,0.75390,0.69000,6.19210,100.00000,47.19360,47.19360,47.19360,37.15190,0.01010,0.09680,930.05620,5.31810,4.69710,0.38740,1.45630,278.80000,31.1964,32.0264
2020-09-30,10781.00000,,10781.00000,70.00000,3990.00000,-1954.00000,,4299.00000,4299.00000,932.00000,3367.00000,3367.00000,3233.00000,4767.00000,4299.00000,355.90000,359.90000,9.07000,8.98000,0.73280,0.69780,6.12690,100.00000,39.87570,39.87570,39.87570,29.98790,0.00950,0.09700,928.14120,4.13400,3.63410,0.29740,1.09820,269.27580,99.1934,97.772
2020-06-30,13295.00000,,13295.00000,89.00000,5367.00000,-6049.00000,,1291.00000,1291.00000,918.00000,373.00000,373.00000,197.00000,1790.00000,1291.00000,355.70000,355.70000,0.53000,0.53000,0.75980,0.71210,6.21950,100.00000,9.71040,9.71040,9.71040,1.48180,0.01160,0.12480,720.87330,0.47320,0.41430,0.03270,0.11930,261.76170,-34.9734,-36.8756
2020-03-31,8743.00000,,8743.00000,153.00000,4141.00000,-2664.00000,,1348.00000,1348.00000,135.00000,1213.00000,1213.00000,1123.00000,1785.00000,1348.00000,358.00000,361.10000,3.12000,3.11000,0.78880,0.70940,5.90950,100.00000,15.41810,15.41810,15.41810,12.84460,0.00800,0.07230,1244.81600,1.49430,1.31310,0.11130,0.38160,268.65530,-146.85960,-153.63330
2019-12-31,9955.00000,,9955.00000,200.00000,4038.00000,-5370.00000,,2321.00000,2321.00000,404.00000,1917.00000,1917.00000,1724.00000,2785.00000,2321.00000,371.60000,375.50000,4.76000,4.72000,0.77460,0.69640,5.71890,124.49020,23.31490,23.31490,23.31490,17.31790,0.01000,0.13340,674.48020,2.42470,2.12370,0.19310,0.64470,259.87280,132.9275,133.0097
2019-09-30,8323.00000,853.00000,7470.00000,169.00000,3616.00000,-796.00000,5054.00000,2416.00000,2416.00000,539.00000,1877.00000,1877.00000,1793.00000,2889.00000,2416.00000,370.00000,374.30000,4.83000,4.79000,0.77560,0.70210,5.70630,89.75130,29.02800,29.02800,29.02800,21.54270,0.00830,0.10020,898.50780,2.32280,2.04000,0.18630,0.60770,257.36980,25.1781,22.0799
