Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,67.64600,67.64600,3.07300,20.05300,84.62600,-67.30600,17.32000,17.32000,17.32000,17.32000,84.62600,84.62600,72.37700,72.37700,0.24000,0.24000,,,125.10130,125.10130,25.60390,25.60390,0.01140,2.64010,2.64010,0.29270,2.64010,8.40160,-0.4296,-0.4296
2024-06-30,53.06400,53.06400,3.12700,-1.15500,48.78200,-53.76100,-4.97900,-4.97900,-4.97900,-4.97900,48.78200,48.78200,57.76400,57.76400,-0.09000,-0.09000,,,91.93050,91.93050,-9.38300,-9.38300,0.01080,-0.89560,-0.89560,-0.10100,-0.89560,8.57600,0.241,0.241
2024-03-31,48.87100,48.87100,2.64100,24.90700,71.13700,-51.36100,19.77600,19.77600,19.77600,19.77600,71.13700,71.13700,51.60410,51.60410,0.38000,0.38000,,,145.56080,145.56080,40.46570,40.46570,0.01160,4.10600,4.10600,0.46920,4.10600,9.11730,0.87220,0.87220
2023-12-31,49.53900,49.53900,2.92700,32.84000,79.45200,-52.32500,27.12700,27.12700,27.12700,27.12700,79.45200,79.45200,44.64900,44.64900,0.45000,0.45000,,,160.38270,160.38270,54.75890,54.75890,0.01160,5.77240,5.77240,0.63600,5.77240,9.10110,-0.8428,-0.8428
2023-09-30,50.10700,50.10700,3.54900,-67.98500,-21.42700,-58.70500,-80.13200,-80.13200,-80.13200,-80.13200,-21.42700,-21.42700,47.77300,47.77300,-1.68000,-1.68000,,,-42.76250,-42.76250,-159.92180,-159.92180,0.01010,-17.16470,-17.16470,-1.62310,-17.16470,8.92080,0.6903,0.6903
2023-06-30,39.91100,39.91100,3.68900,22.69800,58.92000,-48.67100,10.24900,10.24900,10.24900,10.24900,58.92000,58.92000,40.21100,40.21100,0.25000,0.25000,,,147.62850,147.62850,25.67960,25.67960,0.00840,2.09130,2.09130,0.21660,2.09130,11.16440,0.4,0.4
2023-03-31,38.01200,38.01200,3.94000,11.67500,45.74700,-42.21700,3.53000,3.53000,3.53000,3.53000,45.74700,45.74700,38.49180,38.49180,0.09000,0.09000,,,120.34880,120.34880,9.28650,9.28650,0.00890,0.78210,0.78210,0.08270,0.78210,11.54790,-0.06830,-0.06830
2022-12-31,31.89800,31.89800,3.15800,35.69800,64.43800,-29.51200,34.92600,34.92600,34.92600,34.92600,64.43800,64.43800,37.46500,37.46500,1.40000,1.40000,,,202.01260,202.01260,109.49260,109.49280,0.00830,7.96010,7.96010,0.90350,7.96010,11.93430,-0.5322,-0.5322
2022-09-30,35.61000,35.61000,3.32400,-95.43800,-63.15200,-21.36100,-84.51300,-84.51300,-84.51300,-84.51300,-63.15200,-63.15200,35.20590,35.20590,-2.40000,-2.40000,,,-177.34340,-177.34340,-237.32940,-237.32940,0.00940,-21.10840,-21.10830,-2.22060,-21.10840,11.41780,3.0405,3.0405
2022-06-30,35.26800,35.26800,3.54100,-83.68600,-51.95900,-8.18000,-60.13900,-60.13900,-60.13900,-60.13900,-51.95900,-51.95900,35.40700,35.40700,-1.70000,-1.70000,,,-147.32620,-147.32620,-170.52000,-170.52000,0.00790,-11.87670,-11.87670,-1.34410,-11.87670,14.36480,1.9903,1.9903
2022-03-31,41.85700,41.85700,3.30200,-184.62700,-146.07200,-2.65500,-148.72700,-148.72700,-148.72700,-148.72700,-146.07200,-146.07200,35.40000,35.40000,-4.20000,-4.20000,,,-348.97870,-348.97870,-355.32170,-355.32170,0.00810,-25.10510,-25.10510,-2.86710,-25.10510,16.72390,3.22520,3.22520
2021-12-31,44.42100,44.42100,3.17600,-83.78600,-42.54100,-2.02300,-44.56400,-44.56400,-44.56400,-44.56400,-42.54100,-42.54100,24.22900,24.22900,-1.12000,-1.12000,,,-95.76780,-95.76780,-100.32190,-100.32190,0.00630,-5.80190,-5.80190,-0.63040,-5.80190,21.69830,1.6013,1.6013
2021-09-30,34.16900,34.16900,2.69600,-3.86500,27.60800,-1.57000,26.03800,26.03800,26.03800,26.03800,27.60800,27.60800,25.71700,25.71700,1.00000,1.00000,,,80.79840,80.79840,76.20360,76.20360,0.00550,3.56380,3.56380,0.42150,3.56380,23.82720,0.4368,0.4368
2021-06-30,29.25400,29.25400,2.70700,-41.85600,-15.30900,-1.55600,-16.86500,-16.86500,-16.86500,-16.86500,-15.30900,-15.30900,19.89780,19.89780,-0.85000,-0.85000,,,-52.33130,-52.33130,-57.65020,-57.65020,0.00570,-3.04520,-3.04520,-0.33020,-3.04520,23.56690,0.4915,0.4915
2021-03-31,26.85600,26.85600,2.39600,-51.88800,-27.42800,-1.94100,-29.36900,-29.36900,-29.36900,-29.36900,-27.42800,-27.42800,17.06900,17.06900,-1.70000,-1.70000,,,-102.12990,-102.12990,-109.35730,-109.35730,0.00540,-6.30000,-6.30000,-0.59560,-6.30000,24.68870,1.45080,1.45080
