Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,219.11400,190.10600,29.00800,17.88500,17.57800,1.84700,33.61600,-4.60800,8.41600,3.80800,0.44400,3.36400,3.36400,3.36400,-4.60800,-4.60800,231.36650,232.94820,0.01000,0.01000,2.13520,13.23880,-2.10300,-2.10300,1.73790,1.53530,0.13580,1.97330,45.60910,0.30960,0.33540,0.20850,0.30960,4.81120,0,0
2024-06-30,212.12800,182.56100,29.56700,17.71100,17.25800,1.81900,33.15000,-3.58300,7.95500,4.37200,0.29800,4.07400,4.07400,4.07400,-3.58300,-3.58300,231.02300,234.16800,0.02000,0.02000,4.26860,13.93830,-1.68910,-1.68910,2.06100,1.92050,0.13590,4.14390,21.71850,0.31280,0.33410,0.26100,0.31280,5.75350,0,0
2024-03-31,208.30800,177.76300,30.54500,18.71200,18.87200,1.70500,35.87900,-5.33400,15.87700,10.54300,0.70400,9.83900,9.83900,9.83900,-5.33400,-5.33400,233.15760,236.27170,0.04000,0.04000,2.75750,14.66340,-2.56060,-2.56060,5.06130,4.72330,0.11960,6.44780,13.95830,0.74640,0.79750,0.56510,0.74640,5.78920,0.00000,
2023-12-31,224.26200,215.72600,8.53600,19.96000,37.81400,2.04900,55.72500,-47.18910,7.24100,-39.94800,0.23900,-40.18700,-40.18700,-40.18700,-47.18910,-47.18900,243.02540,243.02540,-0.17000,-0.17000,3.77080,3.80630,-21.04190,-21.04190,-17.81310,-17.91970,0.12320,7.47840,12.03470,-2.68550,-2.85160,-2.20760,-2.68550,6.42020,-0.0186,-0.0894
2023-09-30,225.84800,194.56500,31.28300,19.43400,21.29400,5.50800,35.22000,-3.93700,6.25900,2.32200,0.66400,1.65800,1.65800,1.65800,-3.93700,-3.93700,244.65100,246.43700,0.01000,0.01000,5.15700,13.85140,-1.74320,-1.74320,1.02810,0.73410,0.12620,9.48700,9.48660,0.10830,0.10870,0.09260,0.10830,6.43380,0,0
2023-06-30,251.18900,213.53500,37.65400,19.90500,24.99800,3.28000,41.62300,-3.96900,7.93800,3.96900,0.77100,3.19800,3.19800,3.19800,-3.96900,-3.96900,243.75100,246.83200,0.01000,0.01000,5.12850,14.99030,-1.58010,-1.58010,1.58010,1.27310,0.13750,14.72900,6.11040,0.20600,0.20680,0.17500,0.20600,6.45080,0,0
2023-03-31,283.83200,246.48600,37.34600,22.19700,23.14100,0.60800,44.73000,-7.38400,14.09700,6.71300,0.18700,6.52600,6.52600,6.52600,-7.38400,-7.38400,242.78600,246.43800,0.03000,0.03000,5.71100,13.15780,-2.60150,-2.60150,2.36510,2.29920,0.15260,13.14340,6.84750,0.41360,0.41560,0.35090,0.41360,6.57740,0.00000,
2022-12-31,274.02400,318.91700,-44.89290,18.39700,25.12000,5.96600,37.55090,-82.44390,6.47100,-75.97300,-0.38900,-75.58400,-75.64000,-75.64000,-82.44390,-82.44390,241.43800,241.43800,-0.31800,-0.31800,4.74910,-16.38290,-30.08640,-30.08640,-27.72490,-27.60340,0.14380,13.93820,6.45710,-4.81130,-4.83710,-3.96820,-4.81130,6.55640,-0.2626,-0.3558
2022-09-30,334.37000,286.24300,48.12700,24.14800,28.53000,6.17800,46.50000,1.62700,9.61500,11.24200,2.75400,8.48800,8.49400,8.49400,1.62700,1.62700,242.11740,242.28720,0.04000,0.04000,5.31180,14.39330,0.48660,0.48660,3.36210,2.54030,0.17210,15.21390,5.91570,0.52660,0.52950,0.43710,0.52660,6.73500,0,0
2022-06-30,339.67500,306.96100,32.71400,25.14300,27.18700,7.50700,44.82300,-12.10900,9.37200,-2.73700,0.19300,-2.93000,-2.89000,-2.89000,-12.10900,-12.10900,241.34110,241.34110,-0.01000,-0.01000,5.16300,9.63100,-3.56490,-3.56490,-0.80580,-0.85080,0.16980,10.39430,8.65860,-0.17620,-0.17740,-0.14440,-0.17620,6.85640,0,0
2022-03-31,388.77300,336.15300,52.62000,30.95800,35.62500,4.46100,62.12200,-9.50200,10.52800,1.02600,1.48300,-0.45700,-0.52300,-0.52300,-9.50200,-9.50200,239.74600,239.74600,-0.00200,-0.00200,4.74280,13.53490,-2.44410,-2.44410,0.26390,-0.13450,0.18610,11.22620,8.01700,-0.03120,-0.03140,-0.02500,-0.03120,7.03290,0.00000,
2021-12-31,463.11210,458.68200,4.43010,33.91500,50.48400,9.42000,74.97900,-70.54890,10.25400,-60.29500,-12.67400,-47.62100,-46.98100,-46.98100,-70.54890,-70.54900,238.19800,241.79000,-0.20000,-0.20000,4.62580,0.95660,-15.23370,-15.23370,-13.01950,-10.14460,0.22270,12.47410,7.21500,-2.84860,-2.87150,-2.25870,-2.84860,6.92770,0.2125,0.1881
2021-09-30,461.79700,383.57600,78.22100,32.00200,48.03000,14.71300,65.31900,12.90200,16.00000,28.90200,6.29700,22.60500,81.38200,81.38200,12.90200,12.90200,238.81420,241.44910,0.34000,0.34000,4.70540,16.93840,2.79390,2.79390,6.25860,17.62290,0.21750,10.40440,8.65020,4.83010,4.87080,3.83300,4.83010,7.09920,0,0
