Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.74100,3.74100,60.41000,15.45500,,-72.12400,9.63700,-62.48700,-62.48700,-62.48700,-62.48700,-73.76000,-72.12400,76.12600,76.12600,-0.82000,-0.82000,8.54800,0.00190,0.00350,100.00000,-1927.93400,-1927.93400,-1670.32900,-1670.32900,0.00360,,,-6.99800,-6.99800,-6.03830,-6.98430,13.79090,-0.6138,-0.6046
2024-06-30,25.65000,25.65000,59.20200,17.37300,,-50.92500,8.86300,-42.06200,-42.06200,-42.06200,-42.06200,-53.00800,-50.92500,73.05900,73.05900,-0.58000,-0.58000,8.45480,0.00140,0.00280,100.00000,-198.53800,-198.53800,-163.98440,-163.98440,0.03110,,,-6.14110,-6.14110,-5.09210,-6.13270,11.12400,-0.5702,-0.6311
2024-03-31,10.28700,10.28700,48.81900,14.37400,-4.92500,-57.83100,9.27400,-48.55700,-48.55700,-48.55700,-48.55700,-59.44200,-57.83100,70.77000,70.77000,-0.69000,-0.69000,9.57060,0.00160,0.00320,100.00000,-562.17560,-562.17560,-472.02290,-472.02290,0.01180,,,-6.82740,-6.82740,-5.59250,-6.81640,11.59200,-0.55940,-0.66400
2023-12-31,47.88500,47.88500,52.97000,14.22700,,-19.31200,4.94400,-14.36800,-14.36800,-14.36800,-14.36800,-19.69000,-19.31200,58.36500,58.36500,-0.25000,-0.25000,4.73000,0.00330,0.00650,100.00000,-40.32990,-40.33000,-30.00520,-30.00520,0.08320,3.19230,28.19250,-3.63770,-3.63770,-2.49550,-3.62580,7.13070,0.136,-0.0635
2023-09-30,4.72800,4.72800,48.11700,14.12000,,-57.50900,4.64200,-52.86700,-52.86700,-52.86700,-52.86700,-57.83100,-57.50900,58.42200,58.42200,-0.90000,-0.90000,5.94770,0.00160,0.00420,100.00000,-1216.34900,-1216.34900,-1118.16800,-1118.16800,0.00860,,,-13.36600,-13.36600,-9.57080,-13.34430,7.13320,-0.5395,-0.6774
2023-06-30,16.51300,16.51300,45.76700,14.12900,,-43.38300,4.58400,-38.79900,-38.79900,-38.79900,-38.79900,-43.90000,-43.38300,58.32700,58.32700,-0.67000,-0.67000,7.05840,0.00170,0.00460,100.00000,-262.72020,-262.72020,-234.96030,-234.96030,0.02840,,,-8.91050,-8.91050,-6.66710,-8.89500,7.86110,-0.6027,-0.7871
2023-03-31,9.46600,9.46600,42.22700,12.56500,,-45.32600,4.39800,-40.92800,-40.92800,-40.92800,-40.92800,-45.77300,-45.32600,58.18700,58.18700,-0.70000,-0.70000,6.64510,0.00210,0.00500,100.00000,-478.82950,-478.82950,-432.36850,-432.36850,0.01540,,,-8.85880,-8.85880,-6.66680,-8.83990,8.35810,-0.75560,-0.82450
2022-12-31,16.13900,16.13900,43.13400,11.63600,,-38.63100,3.76600,-34.86500,-34.86500,-34.86500,-34.86500,-38.71800,-38.63100,53.93300,53.93300,-0.59000,-0.59000,5.87890,0.00250,0.00540,100.00000,-239.36430,-239.36420,-216.02940,-216.02940,0.02680,,,-7.11310,-7.11310,-5.78060,-7.09510,8.90550,-0.7563,-0.7637
2022-09-30,9.55100,9.55100,43.87700,10.55600,,-44.88200,1.88000,-43.00200,-43.00200,-43.00200,-43.00200,-44.17300,-44.88200,54.53600,54.53600,-0.79000,-0.79000,5.42140,0.00130,0.00350,100.00000,-469.91940,-469.91940,-450.23560,-450.23560,0.01500,,,-8.38430,-8.38430,-6.73510,-8.37310,9.36760,-0.5508,-0.5725
2022-06-30,11.51400,11.51400,41.29300,11.03100,,-40.81000,0.55300,-40.25700,-40.25700,-40.25700,-40.25700,-39.42800,-40.81000,51.77200,51.77200,-0.78000,-0.78000,4.60310,0.00230,0.00520,100.00000,-354.43810,-354.43810,-349.63520,-349.63520,0.02200,,,-10.11610,-10.11610,-7.69110,-10.09260,7.67550,-0.7512,-0.7653
2022-03-31,9.62200,9.62200,35.94400,10.61100,,-36.93300,0.24900,-36.68400,-36.68400,-36.68400,-36.68400,-35.07100,-36.93300,51.65100,51.65100,-0.71000,-0.71000,4.88330,0.00220,0.00470,100.00000,-383.83910,-383.83910,-381.25130,-381.25130,0.01710,,,-8.55660,-8.55660,-6.51510,-8.53820,8.29360,-0.78010,-0.78950
