Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1319.00000,492.00000,827.00000,535.00000,546.00000,281.00000,,281.00000,58.00000,223.00000,223.00000,,213.00000,534.22200,537.97100,0.40000,0.40000,0.11430,0.48880,35.47980,26.89390,0.00960,2.50840,2.91430,0.26990,2.12020,17.50530,0.7444,0.7474
2024-06-30,1279.00000,464.00000,815.00000,544.00000,555.00000,260.00000,,260.00000,56.00000,204.00000,204.00000,,184.00000,543.98100,547.09300,0.34000,0.34000,0.11600,0.68260,34.21050,24.21050,0.00920,2.39180,2.80220,0.24810,2.01380,16.67980,-0.2445,-0.265
2024-03-31,1267.00000,448.00000,819.00000,554.00000,565.00000,254.00000,,254.00000,57.00000,197.00000,197.00000,,184.00000,554.97700,557.87300,0.33000,0.33000,0.11270,0.47260,33.02990,23.92720,0.00940,2.27670,2.63090,0.24080,1.90560,16.71960,1.50210,1.48420
2023-12-31,1268.00000,468.00000,800.00000,611.00000,622.00000,178.00000,,178.00000,-12.00000,190.00000,190.00000,,176.00000,548.41000,561.73200,0.31000,0.32000,0.11010,0.45290,23.73330,23.46670,0.00920,2.16620,2.50160,0.23270,1.81970,16.62550,0.6489,0.6257
2023-09-30,1253.00000,475.00000,778.00000,572.00000,584.00000,194.00000,,194.00000,52.00000,142.00000,142.00000,,129.00000,558.55900,561.42100,0.23000,0.23000,0.11630,0.45830,29.04190,19.31140,0.00810,1.71640,2.00450,0.17210,1.42710,15.73810,1.2428,1.2269
2023-06-30,1415.00000,385.00000,1030.00000,593.00000,605.00000,425.00000,,425.00000,96.00000,329.00000,329.00000,,317.00000,539.12000,560.87800,0.59000,0.56000,0.11430,0.92370,43.36740,32.34690,0.01150,3.89810,4.54480,0.38670,3.25230,16.03840,0.5414,0.5252
2023-03-31,1091.00000,232.00000,859.00000,516.00000,528.00000,331.00000,,331.00000,76.00000,255.00000,255.00000,,243.00000,536.93800,571.99100,0.45000,0.43000,0.15290,0.92560,40.91470,30.03710,0.01000,3.23560,3.56050,0.31590,2.42860,16.54520,-0.12060,-0.12940
2022-12-31,1029.00000,148.00000,881.00000,536.00000,548.00000,333.00000,,333.00000,64.00000,269.00000,269.00000,,258.00000,535.03300,566.00400,0.48000,0.45000,0.15740,0.51920,39.83250,30.86120,0.01060,3.57100,3.95470,0.34070,2.65180,15.91320,0.0382,0.0293
2022-09-30,946.00000,71.00000,875.00000,516.00000,529.00000,346.00000,,346.00000,78.00000,268.00000,268.00000,,257.00000,535.98600,570.15300,0.48000,0.45000,0.16160,0.41000,42.45400,31.53370,0.01010,3.68690,4.10670,0.33380,2.71260,15.43210,1.3437,1.3419
2022-06-30,784.00000,41.00000,743.00000,505.00000,518.00000,225.00000,,225.00000,48.00000,177.00000,177.00000,,166.00000,534.60400,569.43500,0.31000,0.29000,0.15750,0.46150,31.55680,23.28190,0.00840,2.34840,2.61520,0.20790,1.74380,15.94350,1.4035,1.4075
2022-03-31,739.00000,31.00000,708.00000,440.00000,453.00000,255.00000,,255.00000,57.00000,198.00000,198.00000,,187.00000,533.21800,549.80900,0.35000,0.34000,0.15470,0.43960,34.09090,25.00000,0.00840,2.57750,2.86960,0.22330,1.92480,16.26680,1.26230,1.25130
2021-12-31,777.00000,34.00000,743.00000,391.00000,405.00000,338.00000,,280.00000,52.00000,228.00000,228.00000,,218.00000,546.35400,551.24100,0.40000,0.40000,0.15770,0.48740,34.65350,26.98020,0.00910,2.85930,3.41060,0.25590,2.26100,15.91900,0.2821,0.3059
2021-09-30,780.00000,41.00000,739.00000,427.00000,441.00000,298.00000,,298.00000,63.00000,235.00000,235.00000,,224.00000,545.81800,549.81900,0.41000,0.41000,0.15660,0.48340,36.16510,27.18450,0.00930,2.93310,3.50220,0.26540,2.32310,15.74580,-0.7918,-0.7959
2021-06-30,827.00000,45.00000,782.00000,369.00000,383.00000,399.00000,,399.00000,88.00000,311.00000,311.00000,,295.00000,550.29700,556.21000,0.54000,0.53000,0.16330,0.51940,44.48160,32.88740,0.01020,3.86580,4.62180,0.35380,3.03800,15.54830,-0.0861,-0.1095
2021-03-31,850.00000,44.00000,806.00000,485.00000,499.00000,307.00000,,307.00000,71.00000,236.00000,236.00000,,225.00000,552.24900,556.78800,0.41000,0.40000,0.16750,0.52100,36.07520,26.43950,0.00970,3.01140,3.65490,0.26970,2.36520,15.03870,1.91100,1.89480
2020-12-31,865.00000,54.00000,811.00000,488.00000,503.00000,308.00000,,301.00000,56.00000,245.00000,245.00000,,235.00000,432.12500,433.71700,0.74000,0.73000,0.16740,0.50810,37.16050,29.01240,0.00960,3.12620,3.80320,0.29090,2.45560,14.96670,0.8922,0.8333
2020-09-30,1421.00000,66.00000,1355.00000,799.00000,814.00000,541.00000,,541.00000,2.00000,539.00000,539.00000,,523.00000,549.69000,550.84600,0.95000,0.95000,0.20980,0.58700,47.96100,46.36530,0.01360,7.02390,8.59920,0.64920,5.23000,14.67970,1.1118,1.1253
2020-06-30,552.00000,41.00000,511.00000,436.00000,441.00000,70.00000,,70.00000,13.00000,57.00000,57.00000,,52.00000,312.09000,312.93600,0.17000,0.17000,0.28070,0.89410,17.94870,13.33330,0.00800,1.14730,1.55910,0.11720,0.78720,16.67440,2.863,2.8215
2020-03-31,552.00000,75.00000,477.00000,451.00000,456.00000,21.00000,,21.00000,5.00000,16.00000,16.00000,,12.00000,311.59700,313.17000,0.04000,0.04000,0.13560,1.29970,6.50150,3.71520,0.00680,0.32260,0.45740,0.03390,0.27360,16.21090,-4.47040,-4.48960
2019-12-31,587.02900,92.59600,494.43300,315.99190,322.36390,172.06910,,157.58900,36.67900,120.91000,120.91000,,117.11500,313.63700,315.65700,0.38000,0.37000,0.13480,0.94860,32.43910,24.10770,0.01120,2.42790,3.44280,0.27920,2.06080,16.29700,0.3459,0.3
2019-09-30,579.22900,106.81800,472.41100,316.46600,322.67210,149.73900,,149.73900,35.79600,113.94300,113.94300,,109.51000,311.88800,313.80500,0.35000,0.35000,0.19300,1.17350,32.69090,23.90810,0.01050,2.32520,3.32500,0.26060,1.84040,16.05520,1.1837,1.1516
2019-06-30,570.08200,108.47900,461.60300,307.18800,313.39400,148.20900,,148.20900,34.46700,113.74200,113.74200,,109.34000,314.06300,315.78600,0.35000,0.35000,0.19410,0.82030,33.03790,24.37350,0.01060,2.35470,3.39460,0.26970,1.86070,15.76460,0.7165,0.7118
2019-03-31,541.66000,106.10700,435.55300,298.87400,305.09000,130.46300,,130.46300,27.05800,103.40500,103.40500,,99.03500,317.43500,319.58100,0.31000,0.31000,0.19550,0.58470,30.58540,23.21750,0.01040,2.17650,3.16720,0.25160,1.71640,15.36820,0.38330,0.37420
2018-12-31,511.65100,98.97000,412.68100,307.70000,314.30600,98.37500,,124.74500,23.44700,101.29800,101.29800,,96.50300,324.37500,327.44500,0.30000,0.30000,0.19660,0.55170,30.74950,23.78790,0.00990,2.16000,3.16800,0.24810,1.70070,15.02130,1.1144,1.0905
2018-09-30,742.64100,87.96900,654.67200,289.57100,296.03100,358.64100,,358.64100,83.92500,274.71600,274.71600,,270.28300,324.40600,327.25200,0.83000,0.83000,0.20200,0.87010,54.94970,41.41180,0.01610,5.91260,8.66440,0.67600,4.62320,14.63820,-0.5334,-0.5081
2018-06-30,515.33600,76.87900,438.45700,326.30800,332.76800,105.68900,,105.68900,19.69700,85.99200,85.99200,,81.59000,325.15300,328.42600,0.25000,0.25000,0.21240,1.07100,24.10480,18.60840,0.01070,1.93060,2.89290,0.20930,1.48850,13.99910,0.7523,0.7426
2018-03-31,499.37200,62.18200,437.19000,305.79100,312.26500,124.92500,,124.92500,29.93100,94.99400,94.99400,,90.62400,326.48900,330.34400,0.28000,0.27000,0.20990,0.97090,28.50930,20.68140,0.01080,2.12190,3.16690,0.23480,1.64140,13.97500,-0.61870,-0.66530
2017-12-31,420.82290,45.54500,375.27790,343.10200,346.67000,28.60790,,25.60800,73.98900,-48.38100,-48.38100,,-52.84100,241.43600,244.45300,-0.25000,-0.24000,0.21010,1.20930,6.87870,-14.19400,0.00900,-1.07880,-1.60770,-0.11680,-0.83440,14.01890,1.1993,1.114
2017-09-30,360.56200,38.32800,322.23400,234.90500,236.86900,85.36500,,85.36500,13.59600,71.76900,71.76900,,67.33600,233.74900,236.34000,0.29000,0.28000,0.26870,1.41680,26.49160,20.89660,0.01090,2.57430,2.75600,0.24230,1.82010,12.31070,0.5712,0.5314
2017-06-30,363.01400,34.64000,328.37400,213.95300,215.91700,112.45700,,112.45700,17.25300,95.20400,95.20400,,90.80200,233.48200,236.26300,0.39000,0.38000,0.26770,1.30620,34.03930,27.48460,0.01120,3.48570,3.74020,0.32420,2.46630,12.07380,-1.5865,-1.6252
2017-03-31,335.75000,29.10300,306.64700,219.97300,221.20500,85.44200,,85.44200,27.05400,58.38800,58.38800,,54.01800,233.07600,236.85500,0.23000,0.23000,0.27410,1.04870,27.77270,17.55840,0.01040,2.20760,2.30850,0.19710,1.54650,11.71720,-0.30180,-0.34100
2016-12-31,343.97400,24.34600,319.62800,236.59710,237.89700,81.73100,,81.73100,24.00800,57.72300,57.72300,,53.29400,232.70000,235.29200,0.24000,0.23000,0.27780,0.94380,25.57070,16.67380,0.01120,2.21210,2.31570,0.20210,1.54100,11.57880,1.8855,1.8033
2016-09-30,355.51700,21.77700,333.74000,236.25900,237.55800,96.18200,,96.18200,28.54700,67.63500,67.63500,,63.20200,231.85600,234.09200,0.27000,0.27000,0.27970,1.25370,29.16900,19.16720,0.01160,2.55330,2.67240,0.23770,1.77510,11.76750,-1.0202,-1.0517
2016-06-30,342.89000,21.11200,321.77800,229.52300,230.82200,90.95600,,90.95600,30.01600,60.94000,60.94000,,56.53800,231.57300,233.57600,0.24000,0.24000,0.28570,1.25160,28.62250,17.79170,0.01150,2.34720,2.46020,0.22130,1.61690,11.60220,0.3718,0.3125
2016-03-31,327.96900,21.59000,306.37900,228.62700,229.92700,76.45200,,76.45200,24.23900,52.21300,52.21300,,47.81200,234.65100,236.66600,0.20000,0.20000,0.33370,1.20050,25.20020,15.75980,0.01130,2.04970,2.15160,0.19360,1.31630,11.36520,-0.47210,-0.51660
2015-12-31,319.85200,20.96800,298.88400,245.01000,246.36900,52.51500,,54.14400,2.71500,51.42900,51.42900,,47.03100,234.18900,236.26600,0.20000,0.20000,0.33210,1.06790,18.17620,15.78840,0.01140,2.02160,2.12340,0.19630,1.30130,11.06340,0.6504,0.5899
2015-09-30,308.79000,20.12500,288.66500,215.13800,216.43600,72.22900,,72.22900,8.89700,63.33200,63.33200,,58.80500,233.11100,235.05800,0.25000,0.25000,0.34180,1.19430,25.10870,20.44220,0.01130,2.54900,2.62930,0.24950,1.61550,11.01550,0.4312,0.3919
2015-06-30,317.33100,20.39000,296.94100,219.09600,220.39400,76.54700,,76.54700,21.59000,54.95700,54.95700,,50.55600,232.80000,234.66900,0.22000,0.22000,0.38180,1.31330,25.95330,17.14110,0.01170,2.26880,2.34350,0.21780,1.34920,10.75930,1.0815,1.2174
2015-03-31,307.75700,21.20200,286.55500,379.92300,381.22100,-94.66600,,-94.66600,-22.26100,-72.40500,-72.40500,,-76.71300,232.81600,232.81600,-0.33000,-0.33000,0.38590,1.42250,-33.62260,-27.24620,0.01090,-3.01230,-3.11410,-0.28160,-1.77900,10.70350,-0.60810,-0.63910
2014-12-31,299.04600,20.39800,278.64800,212.08400,213.30900,65.33890,,65.33900,13.69900,51.64000,51.64000,,47.11000,234.99700,236.73500,0.20000,0.20000,0.42140,1.63890,23.96460,17.27870,0.01060,2.07730,2.14620,0.20120,1.15740,11.02210,0.4832,0.4524
2014-09-30,336.67300,19.31700,317.35600,249.03400,250.01600,67.34000,,67.34000,16.84200,50.49800,50.49800,,46.07300,235.32900,236.86200,0.20000,0.19000,0.36340,1.61610,21.62800,14.79750,0.01300,2.00690,2.06040,0.21060,1.23080,11.10230,0.8473,0.8252
2014-06-30,304.26000,20.59100,283.66900,167.18100,168.16200,115.50700,,115.50700,33.57800,81.92900,81.92900,,77.52000,235.79700,237.25000,0.33000,0.33000,0.36470,1.79870,41.44950,27.81800,0.01150,3.25160,3.33950,0.33830,1.99030,11.02810,0.2036,0.1544
2014-03-31,319.31400,21.22500,298.08900,227.06200,228.04400,70.04500,,70.04500,20.06600,49.97900,49.97900,,45.61600,235.18300,237.40100,0.19000,0.19000,0.37310,1.55020,24.31370,15.83400,0.01200,2.05090,2.10920,0.20880,1.23720,10.70440,1.44270,1.42690
2013-12-31,314.09600,21.91800,292.17800,260.88700,262.01500,30.16300,,30.16300,-21.03300,51.19600,51.19600,-0.00600,46.70600,237.97200,239.79400,0.20000,0.20000,0.41030,1.50950,10.88220,16.85050,0.01170,2.12860,2.26130,0.21520,1.20730,10.57980,1.3168,1.286
