Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.24960,0.24960,15.02030,6.17960,-20.95040,-2.35840,-23.30880,0.02080,-23.32960,-23.32960,-23.32950,-20.80130,-20.95040,41.80800,41.80800,-0.55460,-0.55460,4.02250,0.00970,0.01310,100.00000,-8393.98200,-8393.98200,-9338.89000,-9347.22200,0.00170,-21.20180,-24.31890,-16.07380,-20.99690,2.62330,-0.2979,-0.3022
2024-06-30,0.27090,0.27090,18.20540,6.92720,-24.86170,1.85320,-23.00850,0.03320,-23.04170,-23.04170,-23.04170,-24.76600,-24.86170,40.53500,40.53500,-0.56390,-0.56390,5.27350,0.00890,0.01190,100.00000,-9177.55100,-9177.55100,-8493.46900,-8505.71500,0.00180,-18.47000,-20.71060,-15.02110,-18.30600,2.91850,-0.3167,-0.3172
2024-03-31,0.25380,0.25380,12.40950,5.36570,-17.52140,-0.84020,-18.36160,0.03430,-18.39590,-18.39590,-18.39590,-17.43800,-17.52140,36.62100,36.62100,-0.50300,-0.50300,4.70680,0.00520,0.00750,100.00000,-6904.50300,-6904.50300,-7235.58600,-7249.09900,0.00220,-20.36240,-24.08160,-16.30280,-20.25700,2.45900,-0.41190,-0.41190
2023-09-30,0.24790,0.24790,10.04130,4.87350,-14.66700,-5.17230,-19.83930,-0.13130,-19.70800,-19.70800,-19.70800,-14.58170,-14.66700,36.33080,36.33080,-0.54330,-0.54330,5.21400,0.00830,0.01010,100.00000,-5917.35200,-5917.35200,-8004.11000,-7951.14200,0.00170,-16.48910,-18.64410,-13.50460,-16.35250,3.26580,-0.3158,-0.3163
2023-06-30,0.27810,0.27810,6.89470,5.33620,-11.95270,-2.24480,-14.19760,0.12680,-14.32440,-14.32440,-14.32440,-11.95270,-11.95270,33.56600,33.56600,-0.42270,-0.42270,7.22260,0.00460,0.00610,100.00000,-4298.00000,-4298.00000,-5105.20000,-5150.80000,0.00190,-10.98760,-12.26500,-9.54960,-10.93730,3.57810,5.3823,5.399
2022-09-30,0.20910,0.20910,4.75320,2.57020,-7.11420,-3.18290,-10.29720,0.00620,-10.30340,-10.30340,-10.30340,-7.11420,-7.11420,3.02800,3.02800,-3.40500,-3.40500,3.91430,3.45290,-1.40950,100.00000,-3402.47500,-3402.47500,-4924.75200,-4927.72300,0.00460,11.19270,9.84190,-22.57450,-27.45400,-38.85800,-6.3384,-6.3559
2021-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
