Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.77800,3.94300,13.83500,8.70000,8.70000,5.13500,,5.13500,1.30600,3.82900,3.82900,3.82900,17.19400,17.20600,0.22000,0.22000,0.07900,0.34170,41.82620,31.18840,0.00980,2.88210,2.98280,0.30500,2.65440,7.66710,0.3115,0.3056
2024-06-30,16.48900,3.45000,13.03900,6.99200,6.99200,6.04700,,6.04700,1.75000,4.29700,4.29700,4.29700,17.18600,17.18700,0.25000,0.25000,0.08250,0.58460,46.44390,33.00310,0.01070,3.37420,3.49740,0.35230,3.09570,7.35150,0.1337,0.1171
2024-03-31,15.93200,3.16500,12.76700,6.91100,6.91100,5.85600,,5.85600,1.69500,4.16100,4.16100,4.16100,17.17100,17.17200,0.24000,0.24000,0.08370,0.92080,46.49830,33.03950,0.01040,3.35070,3.47630,0.34490,3.07010,7.17200,0.43370,0.40720
2023-12-31,18.40000,3.45300,14.94700,7.74400,7.74400,7.20300,,7.20300,1.80200,5.40100,5.40100,5.40100,17.11400,17.12500,0.32000,0.32000,0.08380,0.59750,51.13950,38.34580,0.01160,4.40750,4.57500,0.44600,4.03800,7.13780,0.3927,0.378
2023-09-30,15.44200,3.40700,12.03500,6.62500,6.62500,5.41000,,5.41000,1.55700,3.85300,3.85300,3.85300,17.13200,17.14000,0.22000,0.22000,0.57080,1.32980,44.95220,32.01500,0.00950,3.34960,3.48560,0.30260,1.43770,6.71270,-0.176,-0.1891
2023-06-30,16.09700,2.58200,13.51500,7.29800,7.29800,6.21700,,6.21700,1.80000,4.41700,4.41700,4.41700,17.10300,17.11500,0.26000,0.26000,0.49040,0.96250,50.04030,35.55220,0.00960,3.81830,3.97240,0.34270,1.94570,6.75310,0.4857,0.473
2023-03-31,16.00700,1.61400,14.39300,5.74700,5.74700,8.64600,,8.64600,2.52100,6.12500,6.12500,6.12500,17.07700,17.09200,0.36000,0.36000,0.08890,0.21450,58.08140,41.14600,0.01180,5.42480,5.64930,0.48570,4.94250,6.60510,0.54580,0.54040
2022-12-31,15.80400,1.26900,14.53500,7.02000,7.02000,7.51500,,7.51500,2.17400,5.34100,5.34100,5.34100,17.04000,17.06200,0.32000,0.32000,0.08820,0.09680,54.23250,38.54370,0.01070,4.74910,4.94650,0.41110,4.33010,6.58950,0.5085,0.4709
2022-09-30,13.91100,0.78900,13.12200,6.81800,6.81800,6.30400,,6.30400,1.83700,4.46700,4.46700,4.46700,17.04200,17.06400,0.26000,0.26000,0.08780,0.09620,50.37160,35.69320,0.00910,4.17170,4.35420,0.32620,3.80550,6.28140,0.4263,-0.5368
2022-06-30,11.59500,0.58400,11.01100,6.18200,6.18200,4.82900,,4.82900,1.39400,3.43500,3.43500,3.43500,17.03600,17.05800,0.20000,0.20000,0.08710,0.09540,45.99490,32.71740,0.00780,3.12270,3.25550,0.25640,2.85090,6.45510,0.3238,1.2155
2022-03-31,9.78500,0.55300,9.23200,5.82100,5.82100,3.41100,,3.41100,0.96800,2.44300,2.44300,2.44300,17.03000,17.05200,0.14000,0.14000,0.08750,0.09590,36.96760,26.47670,0.00680,2.15100,2.23950,0.18100,1.96290,6.66750,0.13050,0.11400
2021-12-31,11.18100,0.55300,10.62800,6.71900,6.71900,3.90900,,3.93400,0.56300,3.37100,3.37100,3.37100,17.01100,17.03100,0.20000,0.20000,0.08520,0.09310,38.66340,33.13020,0.00760,2.80430,2.91310,0.25330,2.56550,7.05940,0.4505,0.4399
2021-09-30,10.80700,0.54000,10.26700,6.61700,6.61700,3.65000,,3.65000,1.03900,2.61100,2.61100,2.61100,17.01000,17.03600,0.15000,0.15000,0.08660,0.09480,37.19180,26.60490,0.00760,2.19180,2.27760,0.20200,2.00190,7.00340,0.1774,0.1427
2021-06-30,10.76600,0.51300,10.25300,6.47100,6.47100,3.78200,,3.78200,1.07700,2.70500,2.70500,2.70500,17.01000,17.03300,0.16000,0.16000,0.08680,0.09510,40.11880,28.69420,0.00770,2.28530,2.37540,0.21970,2.08690,6.95860,0.0722,0.053
2021-03-31,8.36100,0.47300,7.88800,5.91500,5.91500,1.97300,-0.02500,1.94800,0.53700,1.41100,1.41100,1.41100,17.01000,17.02700,0.08000,0.08000,0.08560,0.09360,25.92840,18.78080,0.00630,1.20260,1.25040,0.11890,1.09960,6.89790,0.27170,0.26330
2020-12-31,9.20100,0.49900,8.70200,6.12700,6.12700,2.57500,,2.57500,0.65100,1.92400,1.92400,1.92400,16.97700,16.99900,0.12000,0.12000,0.08490,0.09270,31.90040,23.83550,0.00740,1.63320,1.69790,0.17610,1.49460,6.92570,0.2609,0.2551
2020-09-30,9.00900,0.50000,8.50900,5.34400,5.34400,3.16500,,3.16500,0.89400,2.27100,2.27100,2.27100,16.97700,17.00100,0.13000,0.13000,0.07870,0.08540,37.21340,26.70190,0.00750,1.92370,1.99970,0.20030,1.77240,6.95370,0.0732,0.0566
2020-06-30,9.45700,0.53000,8.92700,6.11700,6.11700,2.81000,,2.81000,0.79800,2.01200,2.01200,2.01200,16.97600,16.98900,0.12000,0.12000,0.07680,0.08320,33.06270,23.67340,0.00820,1.71290,1.78100,0.19510,1.58140,6.91880,0.1946,0.1641
2020-03-31,12.07400,0.76100,11.31300,7.45100,7.45100,3.86200,,3.86200,1.10800,2.75400,2.75400,2.75400,16.97400,16.99500,0.16000,0.16000,0.06780,0.07280,40.20400,28.66960,0.00980,2.34560,2.43890,0.28180,2.18650,6.91700,0.28310,0.26890
