Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2021-12-31,0.58920,0.66770,-0.07850,1.26540,-2.54950,3.75980,-3.83830,-0.00010,-3.83940,,-3.83940,-3.83940,-0.18830,-4.02770,-3.83830,-3.83830,9.72100,9.72100,-2.16670,-2.16670,1.26960,,-13.49490,-651.47840,-651.47840,-651.65830,-683.62240,0.06530,,,,-50.20340,-1037.89100,-42.56700,-50.20350,0.61950,-0.1452,-0.1452
2021-09-30,,,,2.26800,,,-2.32300,,-2.32300,,-2.32300,-2.32300,-0.02100,-2.34400,-2.32300,-2.32300,176.67010,176.67010,0.00000,0.00000,9.54890,,,,,,,,,,,-36.88450,-36.91990,-33.02530,-36.88470,,0,0
2021-06-30,,,,2.21700,-0.37300,,-2.59000,0.00100,-2.58900,,-2.58900,-2.58900,-8.15100,-10.74000,-2.59000,-2.59000,170.22330,170.22330,-0.06330,-0.06330,30.45900,,,,,,,,,,,-143.59300,-144.07350,-138.89490,-143.59400,,0,0
2021-03-31,0.08100,0.03500,0.04600,4.60100,,4.60100,-4.55500,,-4.55400,,-4.55400,-4.55400,,-4.55400,-4.55500,-4.55500,156.60180,156.60180,0.00000,0.00000,4.48210,,58.02470,-5623.45700,-5623.45700,-5622.22200,-5622.22200,0.00750,,0.06180,1456.66700,-44.45530,-260.52630,-42.37860,-44.45530,,0.00000,
2020-12-31,-0.03070,-0.02990,-0.00080,-0.24340,-0.00030,-0.24300,0.24220,0.00040,0.24270,,0.24270,0.24270,,-0.71530,0.24220,0.24220,6.68970,6.68970,-0.23520,-0.23520,3.48740,,2.76860,-789.03000,-789.03000,-790.49630,2329.88200,-0.00280,,-0.02010,-4478.43100,2.36700,13.77080,2.21400,2.36700,1.37700,-0.089,-0.089
2020-09-30,0.04100,0.03000,0.01100,0.64400,,0.64400,-0.63300,0.00200,-0.63100,,-0.63100,-0.63100,,-0.63100,-0.63300,-0.63300,119.42550,119.42550,0.00000,0.00000,5.31820,,26.82930,-1543.90200,-1543.90200,-1539.02400,-1539.02400,0.00350,,0.02090,4311.21900,-5.63240,-26.56840,-5.36880,-5.63240,,0,0
2020-06-30,,,,0.51100,-0.83500,,-1.34600,-0.02700,-1.37300,,-1.37300,-1.37300,,-1.37300,-1.34600,-1.34600,119.42550,119.42550,-0.01140,-0.01140,,,,,,,,,,,,,,,,,0,0
2020-03-31,1.39200,0.07900,1.31300,0.24500,,0.24500,1.06800,,1.06800,,1.06800,1.06800,,1.06800,1.06800,1.06800,118.00080,118.00080,0.00000,0.00000,,,94.32470,76.72410,76.72410,76.72410,76.72410,,,,,,,,,,0.00000,
