Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,27.58750,2.47240,-30.05990,0.26810,-29.79180,-29.79180,-29.79180,-29.79180,-29.54760,-30.05990,42.79300,42.79300,-0.70000,-0.70000,10.35540,0.39300,0.64740,-19.89990,-19.89990,-10.91130,-12.07940,4.03350,-0.3876,-0.3884
2024-06-30,22.49700,1.78610,-24.28310,0.56130,-23.72180,-23.72180,-23.72180,-23.72180,-24.01500,-24.28310,38.44400,38.44400,-0.62000,-0.62000,14.94900,0.35250,0.54440,-13.42610,-13.42610,-8.10880,-8.69320,4.77330,-0.4061,-0.4074
2024-03-31,20.64760,1.84630,-22.49380,0.88140,-21.61250,-21.61250,-21.61250,-21.61250,-22.39900,-22.49380,33.61200,33.61200,-0.64000,-0.64000,11.23160,0.21930,0.28090,-16.16050,-16.16050,-11.48490,-12.61650,4.34580,-0.50780,-0.51050
2023-12-31,18.08120,1.64810,-19.72930,0.88080,-18.84850,-18.84850,-18.84850,-18.84850,-19.63750,-19.72930,23.67900,23.67900,-0.65000,-0.65000,13.43250,0.20950,0.26500,-13.48550,-13.48540,-9.85700,-10.66060,5.47990,-0.6777,-0.6788
2023-09-30,17.48820,1.40980,-18.89800,0.49350,-18.40450,-18.40450,-18.40450,-18.40450,-18.80280,-18.89800,22.11800,22.11800,-0.83000,-0.83000,11.14960,0.28210,0.39300,-19.81210,-19.81190,-12.92600,-14.22260,4.15290,-0.5688,-0.5713
2023-06-30,13.74610,1.30940,-15.05550,0.46780,-14.58770,-14.58770,-14.58770,-14.58770,-14.95890,-15.05550,21.95700,21.95700,-0.66000,-0.66000,21.57750,0.24630,0.32680,-13.24570,-13.24560,-9.50230,-9.98350,4.98740,-0.4326,-0.4328
2023-03-31,11.27850,1.26900,-12.54750,0.60910,-11.93840,-11.93840,-11.93840,-11.93840,-12.44660,-12.54750,21.68100,21.68100,-0.55000,-0.55000,28.26400,0.22350,0.28790,-9.68830,-9.68820,-7.24090,-7.52240,5.61630,-0.59350,-0.59380
2022-12-31,10.60400,1.03520,-11.63920,0.05790,-11.58140,-11.58140,-11.58140,-11.58140,-11.47870,-11.63920,15.41900,15.41900,-0.69000,-0.69000,25.45800,0.20730,0.26150,-8.65760,-8.65760,-6.59170,-6.86280,6.17400,-0.5594,-0.5665
2022-09-30,9.62150,1.02210,-10.64360,-0.25020,-10.89370,-10.89370,-10.89370,-10.89370,-10.48540,-10.64360,14.93800,14.93800,-0.75000,-0.75000,9.73570,0.25650,0.34500,-25.02850,-25.02850,-16.68470,-18.60940,2.91280,-0.6225,-0.6233
2022-06-30,8.36770,1.23300,-9.60070,-0.35980,-9.96050,-9.96050,-9.96050,-9.96050,-9.46380,-9.60070,14.93100,14.93100,-0.67000,-0.67000,17.34050,0.22010,0.28230,-18.72680,-18.72680,-13.76710,-14.60480,3.55990,-0.7557,-0.7573
2022-03-31,6.69630,0.81130,-7.50760,-0.42680,-7.93440,-7.93440,-7.93440,-7.93440,-7.35660,-7.50760,14.91700,14.91700,-0.53000,-0.53000,22.37350,0.19410,0.24100,-12.89320,-12.89320,-9.92680,-10.39030,4.12460,-0.39770,-0.39850
2021-12-31,5.49100,0.82990,-6.32090,-0.43260,-6.75350,-6.75350,-6.75350,-6.75350,-6.16340,-6.32090,13.38300,13.38300,-0.44000,-0.44000,34.06310,0.17550,0.21300,-9.82890,-9.82890,-7.86150,-8.10370,4.60560,-0.5641,-0.5654
2021-09-30,4.96050,0.63930,-5.59980,-0.42750,-6.02720,-6.02720,-6.02720,-6.02720,-5.44440,-5.59980,14.87800,14.87800,-0.41000,-0.41000,32.30470,0.16230,0.19390,-8.09300,-8.09300,-6.56290,-6.77930,4.99630,-0.1496,-0.1498
2021-06-30,13.07010,0.57340,-13.64350,-0.38940,-14.03290,-14.03290,-14.03290,-14.03290,-13.48350,-13.64350,12.61100,12.61100,-1.11000,-1.11000,27.50110,0.34500,0.52690,-51.90720,-51.90720,-32.77990,-34.00010,2.13630,-0.5763,-0.5781
2021-03-31,2.23630,0.55540,-2.79180,0.00010,-2.79170,-2.79170,-2.79170,-2.79170,-2.69350,-2.79180,11.07200,11.07200,-0.25000,-0.25000,30.51080,0.00020,0.00040,-7.93660,-7.93660,-7.67640,-7.93510,2.86250,-0.22770,-0.23050
2020-12-31,2.10730,0.44410,-2.55130,0.00040,-2.55090,-2.55090,-2.55090,-2.55090,-2.45340,-2.55130,10.26700,10.26700,-0.25000,-0.25000,10.26470,0.00070,0.00120,-21.79830,-21.79830,-19.68780,-21.78280,1.13610,-0.2056,-0.2069
2020-09-30,1.96260,0.51750,-2.48010,0.00580,-2.47430,-2.47430,-2.47430,-2.47430,-2.38350,-2.48010,10.27400,10.27400,-0.24000,-0.24000,13.53550,0.00070,0.00110,-17.97920,-17.97920,-16.59050,-17.96650,1.33750,-0.16,-0.1609
2020-06-30,1.76620,0.44770,-2.21390,0.01200,-2.20200,-2.20200,-2.20200,-2.20200,-2.11760,-2.21390,10.26000,10.26000,-0.21000,-0.21000,19.15250,0.00070,0.00110,-13.88190,-13.88190,-13.18360,-13.87210,1.54170,-0.1516,-0.1536
2020-03-31,1.84740,0.46340,-2.31080,0.06380,-2.24700,-2.24700,-2.24700,-2.24700,-2.21600,-2.31080,10.25400,10.25400,-0.22000,-0.22000,20.16140,0.00070,0.00110,-12.82880,-12.82880,-12.21670,-12.81950,1.70810,-0.17880,-0.18330
2019-12-31,1.49700,0.40070,-1.89780,0.08870,-1.80900,-1.80900,-1.80900,-1.80900,-1.80450,-1.89780,10.22600,10.22600,-0.18000,-0.18000,21.12340,0.00070,0.00100,-9.37440,-9.37440,-8.91990,-9.36750,1.88200,-0.1672,-0.1699
