Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,13.53400,5.76800,7.76600,8.32000,12.88400,,21.70700,-13.94100,4.00800,-9.93300,-9.93300,-9.93300,-9.93300,-12.28300,-13.94100,52.26300,52.26300,-0.19000,-0.19000,4.95470,57.38140,-103.00720,-103.00720,-73.39290,-73.39290,0.02690,0.60760,148.12690,-4.35460,-4.47350,-1.97140,-4.35460,4.42810,-0.2632,-0.2642
2024-06-30,8.96700,3.45300,5.51400,16.01300,9.85700,0.68500,32.58300,-27.06900,51.94800,24.87900,24.87900,24.87900,24.87900,-25.39300,-27.06900,52.18600,55.01100,0.48000,0.45000,4.76380,61.49210,-301.87350,-301.87350,277.45070,277.45070,0.01730,0.49470,181.91700,10.59560,10.88490,4.80390,10.59570,4.55990,-0.3777,-0.3784
2024-03-31,12.43500,3.26900,9.16600,43.93100,12.65900,0.50000,60.32000,-51.15400,-1.51900,-52.67300,-52.67300,-52.67300,-52.67300,-49.04700,-51.15400,52.07100,52.07100,-1.01000,-1.01000,3.52350,73.71130,-411.37110,-411.37110,-423.58670,-423.58670,0.02430,1.03820,86.68520,-25.39210,-26.20260,-10.30680,-25.39200,4.03550,-0.80420,-0.81260
2023-12-31,10.68400,3.14700,7.53700,51.21700,16.20100,-0.05500,67.47300,-59.93600,3.11400,-56.82200,-56.82200,-56.82200,-56.82200,-56.90600,-59.93600,49.27600,49.27600,-1.11000,-1.11000,3.97740,70.54490,-560.98850,-560.98850,-531.84220,-531.84220,0.01890,0.79670,112.97180,-22.25700,-22.84710,-10.04940,-22.25700,5.04230,-1.3685,-1.3999
2023-09-30,12.03400,4.95900,7.07500,51.31500,13.00400,-0.05400,85.04300,-77.96800,6.33000,-71.63800,-71.63800,-71.63800,-71.63800,-63.15000,-77.96800,51.17900,51.17900,-1.40000,-1.40000,4.07680,58.79180,-647.89760,-647.89760,-595.29660,-595.29660,0.01880,0.61670,145.94900,-23.37890,-23.90710,-11.17940,-23.37890,6.05390,-0.4137,-0.4665
2023-06-30,36.04800,4.51700,31.53100,59.98000,19.48900,-0.05300,79.52200,-47.99100,5.90200,-42.08900,-42.08900,-42.08900,-42.08900,-45.75300,-47.99100,50.96600,50.96600,-0.83000,-0.83000,4.98790,87.46950,-133.13080,-133.13080,-116.75820,-116.75820,0.05110,0.81740,110.10070,-11.45290,-12.07750,-5.96400,-11.45300,7.31510,-0.4747,-0.5321
2023-03-31,41.62100,4.29500,37.32600,68.24600,20.72000,-0.07300,89.03900,-51.71300,4.69200,-47.02100,-47.02100,-47.02100,-47.02100,-49.45800,-51.71300,43.46800,43.46800,-1.08000,-1.08000,5.06720,89.68070,-124.24740,-124.24740,-112.97420,-112.97420,0.05610,1.00890,89.20210,-11.71650,-12.30460,-6.33330,-11.71650,7.99610,-1.12930,-1.26910
2022-12-31,56.17700,4.49300,51.68400,60.14400,18.70100,-0.05100,78.89600,-27.21200,4.06900,-23.14300,-23.14300,-23.14300,-23.14300,-24.88700,-27.21200,35.63700,35.63700,-0.15000,-0.15000,3.77070,92.00210,-48.43980,-48.43980,-41.19660,-41.19660,0.08550,2.68020,33.57960,-7.45430,-7.95000,-3.52430,-7.45430,8.18570,-1.7211,-2.0755
2022-09-30,13.40800,3.96100,9.44700,58.15500,19.61000,-0.05000,77.81500,-68.36800,0.48900,-67.87900,-67.87900,-67.87900,-67.87900,-65.99100,-68.36800,38.57300,38.57300,-1.76000,-1.76000,4.37330,70.45790,-509.90460,-509.90460,-506.25740,-506.25740,0.01890,1.11390,80.79730,-21.00350,-22.35470,-9.57740,-21.00350,8.52450,-1.5559,-1.9029
2022-06-30,13.48200,4.24600,9.23600,64.55700,17.27800,-4.37300,86.20800,-76.97200,-0.44800,-77.42000,-77.42000,-77.42000,-77.42000,-73.67100,-76.97200,38.38100,38.38100,-2.02000,-2.02000,3.87710,68.50620,-570.92420,-570.92420,-574.24710,-574.24710,0.01710,1.10860,81.18160,-20.42830,-21.54910,-9.83230,-20.42830,10.07030,-0.3779,-0.407
