Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.35440,0.45490,-0.10050,0.13120,0.13120,-0.23170,0.06490,-0.16680,,-0.16680,-0.16680,-0.16680,-0.18930,-0.23170,33.51800,33.51800,0.00000,0.00000,16.19060,-28.34530,-65.37780,-65.37780,-47.06890,-47.06890,0.11820,0.33820,266.13600,-5.90930,-5.90930,-5.56230,-5.90930,0.08420,-0.0077,-0.0078
2024-06-30,0.48960,0.47690,0.01270,0.12880,0.12880,-0.11610,0.02210,-0.09400,,-0.09400,-0.09400,-0.09400,-0.07390,-0.11610,33.51800,33.51800,0.00000,0.00000,8.17860,2.59320,-23.72050,-23.72050,-19.20410,-19.20410,0.14490,0.45400,198.25610,-3.14480,-3.14480,-2.78190,-3.14480,0.08920,-0.0055,-0.0055
2024-03-31,0.31340,0.63340,-0.32000,0.14970,0.14970,-0.46980,0.02710,-0.44260,,-0.44260,-0.44260,-0.44260,-0.42760,-0.46980,33.51000,33.51000,-0.01000,-0.01000,7.48890,-102.11600,-149.89880,-149.89880,-141.23650,-141.23650,0.08890,0.32750,274.78150,-14.35260,-14.35260,-12.56240,-14.35260,0.09200,-0.01170,-0.01170
2023-12-31,0.31220,0.66450,-0.35230,0.15310,0.15310,-0.50540,0.02550,-0.47990,,-0.47990,-0.47990,-0.47990,-0.46280,-0.50540,33.45400,33.45400,-0.03000,-0.03000,12.89020,-112.82100,-161.85910,-161.85900,-153.70060,-153.70060,0.08110,0.31120,289.22380,-13.64260,-13.64260,-12.46350,-13.64260,0.10500,-0.0165,-0.0164
2023-09-30,0.16410,0.54260,-0.37850,0.13530,0.13540,-0.51380,0.04160,-0.47220,,-0.47220,-0.47220,-0.47220,-0.47120,-0.51380,33.50900,33.50900,-0.01000,-0.01000,14.79850,-230.58070,-313.01890,-313.01890,-287.65000,-287.65000,0.03880,0.22760,395.45250,-12.25480,-12.25480,-11.16990,-12.25480,0.11500,-0.0156,-0.0157
2023-06-30,0.18500,0.56470,-0.37970,0.14560,0.14560,-0.52530,0.03160,-0.49370,,-0.49370,-0.49370,-0.49370,-0.48210,-0.52530,33.51000,33.51000,-0.01000,-0.01000,15.44480,-205.17400,-283.86510,-283.86510,-266.78020,-266.78020,0.03880,0.27780,324.00630,-11.41370,-11.41370,-10.33870,-11.41370,0.12910,-0.0186,-0.0185
2023-03-31,0.24820,0.58780,-0.33960,0.14920,0.14920,-0.48880,0.02620,-0.46260,,-0.46260,-0.46260,-0.46260,-0.44510,-0.48880,33.28700,33.28700,-0.01000,-0.01000,17.32980,-136.84860,-196.97630,-196.97630,-186.41600,-186.41600,0.04670,0.36290,248.00110,-9.60080,-9.60080,-8.69710,-9.60080,0.14380,-0.01790,-0.01800
2022-12-31,0.12990,0.78530,-0.65540,0.16470,0.16470,-0.82010,0.00470,-0.81540,,-0.81540,-0.81540,-0.81540,-0.77620,-0.82010,32.07000,32.07000,-0.02000,-0.02000,16.30370,-504.50500,-631.30180,-631.30180,-627.72030,-627.72030,0.02420,0.22030,408.48560,-16.99930,-16.99930,-15.19500,-16.99930,0.14470,-0.0173,-0.0173
2022-09-30,0.15040,0.48750,-0.33700,0.14920,0.14910,-0.48620,0.00250,-0.48370,,-0.48370,-0.48370,-0.48370,-0.44230,-0.48620,31.83000,31.83000,-0.02000,-0.02000,20.54070,-224.02700,-323.17150,-323.17150,-321.53640,-321.53640,0.02520,0.28140,319.77300,-8.99120,-8.99120,-8.10870,-8.99120,0.16230,-0.0167,-0.0167
2022-06-30,0.08550,0.68220,-0.59670,0.14640,0.14650,-0.74320,0.00130,-0.74180,,-0.74180,-0.74180,-0.74180,-0.69930,-0.74320,31.65000,31.65000,-0.02000,-0.02000,8.80520,-697.83770,-869.08120,-869.08120,-867.53510,-867.53510,0.02780,0.19330,465.68120,-30.73390,-30.73400,-24.14920,-30.73400,0.07630,-0.0184,-0.0183
