Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1948.12900,274.83300,1673.29600,121.30700,1.48800,1289.07800,384.21800,7.79000,392.00800,60.74200,331.26600,,375.02900,,375.03400,1608.58300,900.48300,187.51000,191.88700,2.00000,1.95000,0.66840,0.74270,2.88630,85.89250,19.72240,46.22300,20.12230,19.25100,0.02640,,30.09950,2.99010,2.23860,2.61790,0.50800,0.57600,88.29590,7.4962,1.5708
2024-06-30,1958.14500,,1958.14500,125.33300,-200.47700,,517.63390,-25.21500,492.41900,76.34600,416.07300,,448.16700,,448.16600,1689.88700,995.91590,192.51600,196.88100,2.33000,2.28000,0.29100,0.72870,2.68550,100.00000,26.43490,50.86020,25.14720,22.88730,0.02750,,39.54890,2.27570,2.63370,3.10050,0.63030,0.71460,87.19260,7.2677,3.4772
2024-03-31,2018.08800,,2018.08800,119.29200,-128.53500,,645.26790,13.51100,658.77900,94.10900,564.67000,,604.21000,,604.21400,1828.89000,1136.78300,195.77400,200.08600,3.09000,3.02000,0.26410,0.72950,2.69660,100.00000,31.97420,56.32970,32.64370,29.93990,0.02840,,38.61630,2.33060,3.56340,4.25430,0.84970,0.96400,85.48730,6.87540,7.36480
2023-12-31,1898.64800,590.45200,1308.19600,121.87900,1019.02500,230.16580,1078.03000,8.92500,1086.95500,39.03800,1047.91700,,1106.69500,,1105.83800,2266.83300,1573.89700,224.21700,227.65600,5.12000,5.01000,0.33460,0.73700,2.80210,68.90140,56.77880,82.89570,57.24890,58.24340,0.02660,,25.77340,3.49200,6.67120,8.08050,1.55270,1.75460,81.92410,6.1272,2.5169
2023-09-30,1891.66700,165.98600,1725.68100,111.90800,645.70000,536.19700,1189.48400,-10.82300,1178.66100,110.67700,1067.98400,,1109.00300,,1105.25400,2320.26200,1636.46100,224.23900,227.38000,4.93000,4.86000,0.50980,0.74360,2.90080,91.22540,62.88020,86.50890,62.30810,58.42750,0.02640,,21.66210,4.15470,6.77370,8.30650,1.54900,1.73650,77.08880,6.0053,4.2302
2023-06-30,1924.38100,,1924.38100,119.73700,-217.37200,,544.29200,-6.04900,538.24300,75.74700,462.49600,,496.87000,,492.89400,1652.55500,971.66800,231.31900,232.86700,2.13000,2.12000,0.27890,0.73840,2.82210,100.00000,28.28400,50.49250,27.96970,25.61310,0.02750,,30.54910,2.94610,3.03140,3.75320,0.71050,0.79310,70.49530,5.3346,2.9555
2023-03-31,1865.72200,,1865.72200,110.60400,-246.23600,,462.14310,6.18400,468.32700,65.59400,402.73300,,435.27700,,432.10500,1574.32200,898.36510,239.36800,241.56000,1.81000,1.79000,0.28480,0.74170,2.87130,100.00000,24.77020,48.15110,25.10170,23.16020,0.02680,,11.54340,7.79670,2.69960,3.40360,0.62460,0.69730,67.87840,5.64420,2.24640
2022-12-31,1828.79700,615.54500,1213.25200,91.86400,348.46310,760.48600,452.76600,6.56500,459.33110,-0.14100,459.47200,,497.61300,,495.00700,1568.07200,873.04770,240.48700,240.48700,2.09000,2.11000,0.39310,0.74180,2.87330,66.34150,24.75760,47.73890,25.11660,27.06740,0.02620,,13.83340,6.50600,3.07260,3.93510,0.71370,0.79330,65.85200,6.5642,3.6178
2022-09-30,1724.02500,,1724.02500,105.31900,-174.52800,,468.87010,-7.80800,461.06200,64.30700,396.75500,,441.34800,,439.95600,1515.70300,859.67910,240.84900,242.36500,1.83000,1.82000,0.28470,0.75170,3.02660,100.00000,27.19630,49.86470,26.74340,25.51910,0.02470,,12.71460,7.07850,2.82110,3.72640,0.63220,0.70060,63.62660,4.5836,2.0582
2022-06-30,1670.71200,,1670.71200,104.87200,-205.03400,,370.82310,-13.36500,357.45800,50.04400,307.41400,,340.56200,,339.82600,1429.98400,770.81710,240.36700,242.26500,1.41000,1.40000,0.31510,0.76030,3.17160,100.00000,22.19550,46.13700,21.39560,20.34020,0.02400,,13.29740,6.76820,2.25370,3.05790,0.48830,0.54020,61.46620,4.777,4.5681
