Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0.1522,0.1522
2023-03-31,-4.58690,-4.58690,-0.64030,-5.22710,-5.22710,-5.22710,-5.22710,-4.58690,-4.58690,6.62870,6.62870,-1.22000,-1.22000,0.01270,-0.04530,16.23230,16.23230,-1.91020,16.23230,-4.85800,-0.15220,-0.15220
2022-12-31,,-5.18780,-19.84440,-25.03220,-25.03220,-25.03220,-25.03220,-5.18780,-5.18780,6.62900,6.62900,-3.07000,-3.07000,0.01620,-0.03940,125.40570,125.40570,-9.26460,125.40570,-3.01120,-0.149,-0.149
2022-09-30,-1.76100,-1.76100,3.75970,1.99870,1.99870,1.99870,1.99870,-1.76100,-1.76100,6.62870,6.62870,0.06000,0.06000,0.74830,,-11.35770,-11.35770,0.74670,-11.35770,-2.65470,-0.0677,-0.0677
2022-06-30,-1.65500,-1.65500,5.56740,3.91240,3.91240,3.91240,3.91240,-1.65500,-1.65500,6.62870,6.62870,0.12000,0.12000,1.68920,,-21.23660,-21.23660,1.46550,-21.23660,-2.77930,-0.1334,-0.1334
2022-03-31,-1.36920,-1.36920,-4.47970,-5.84880,-5.84880,-5.84880,-5.84880,-1.36920,-1.36920,6.62870,6.62870,-0.88000,-0.88000,0.56370,,25.75590,25.75590,-2.19840,25.75590,-3.42580,-0.08720,-0.08720
2021-12-31,-1.02550,-1.02550,1.62710,0.60160,0.60160,0.60160,-6.75260,-1.02550,-1.02550,6.40350,6.40350,0.10000,0.10000,2.14280,,-3.57370,-3.57370,0.22560,-3.57370,-2.53950,-0.0548,-0.0548
2021-09-30,-0.09030,-0.09030,10.31060,10.22030,10.22030,10.22030,10.22030,-0.09030,-0.09030,6.62870,6.62870,0.44000,0.44000,299.36820,,-58.61550,-58.61550,3.82700,-58.61550,-2.63040,-0.1077,-0.1077
2021-06-30,0.00060,0.00060,-0.00070,0.00000,0.00000,0.00000,0.00000,0.00060,0.00060,6.25000,6.25000,0.00000,0.00000,,9.25210,-0.16040,-0.16040,-0.00460,-0.16040,0.00250,0,0
2021-03-31,-0.00690,-0.00690,,-0.00690,-0.00690,-0.00690,-0.00690,-0.00690,-0.00690,6.25000,6.25000,0.00000,0.00000,,,,,,,,0.00000,
