Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,224.38000,173.63200,50.74800,22.07800,22.07800,28.67000,28.67000,5.27200,23.39800,23.39800,23.39800,36.38200,28.67000,17.13300,17.34100,1.37000,1.35000,1.70690,22.61700,12.77740,12.77740,12.77740,10.42790,0.43270,2.19140,41.07040,8.27450,9.53670,4.51220,8.27450,16.50240,1.2826,0.7132
2024-06-30,211.72200,163.56700,48.15500,20.12000,20.12000,28.03500,28.03500,6.45800,21.57700,21.57700,21.57700,34.76100,28.03500,17.12200,17.31300,1.26000,1.25000,1.66140,22.74450,13.24140,13.24140,13.24140,10.19120,0.43550,2.16600,41.55170,8.17700,9.53290,4.43810,8.17700,15.40990,2.33580,1.89260
2024-03-31,207.23300,163.83000,43.40300,20.80600,20.80590,22.59710,22.59700,3.14300,19.45400,19.45400,19.45400,29.28010,22.59700,17.12200,17.34700,1.13000,1.12000,1.63810,20.94410,10.90420,10.90420,10.90420,9.38750,0.45580,2.13400,42.17340,7.85550,9.26330,4.27860,7.85550,14.45790,0.873,0.2951
2023-12-31,202.30300,160.14300,42.16000,19.79800,19.79800,22.36200,22.36200,5.26700,17.09500,17.09500,17.09500,29.10600,22.36200,17.10600,17.32600,1.00000,0.99000,1.56270,20.84000,11.05370,11.05370,11.05370,8.45020,0.45460,2.18340,41.22100,7.32030,8.73130,3.84160,7.32030,13.65730,1.6989,1.2989
2023-09-30,195.52200,151.27000,44.25200,19.53800,19.53800,24.71400,24.71400,4.81600,19.89800,19.89800,19.89800,31.17500,24.71400,17.12300,17.34600,1.16000,1.15000,1.51140,22.63280,12.64000,12.64000,12.64000,10.17690,0.45040,2.24900,40.01760,8.94020,10.77190,4.58360,8.94010,13.00090,1.042,0.6248
2023-06-30,190.25300,148.37500,41.87800,16.45000,16.45000,25.42800,25.42800,5.62300,19.80500,19.80500,19.80500,31.79200,25.42800,17.14400,17.38500,1.16000,1.14000,1.42730,22.01170,13.36540,13.36540,13.36540,10.40980,0.45560,2.26020,39.81980,9.56860,11.71710,4.74290,9.56860,12.09430,2.10680,1.81630
2023-03-31,185.44300,143.49200,41.95110,19.35700,19.35700,22.59400,22.59400,4.42500,18.16900,18.16900,18.16900,28.85100,22.59400,17.32800,17.59200,1.06000,1.04000,1.45200,22.62200,12.18380,12.18380,12.18380,9.79760,0.47080,2.28850,39.32780,8.98670,11.07070,4.61230,8.98670,11.77530,0.703,0.3027
2022-12-31,179.38600,139.04100,40.34500,18.12800,18.12800,22.21700,22.21700,5.36800,16.84900,16.84900,16.84900,28.43600,22.21700,17.24500,17.48700,0.98000,0.96000,1.37720,22.49060,12.38500,12.38500,12.38500,9.39260,0.44000,2.16670,41.53720,8.64920,10.75640,4.13280,8.64920,11.33910,1.7222,1.3853
2022-09-30,177.42600,141.33200,36.09400,17.54900,17.54900,18.54500,18.54500,3.88900,14.65600,14.65600,14.65600,24.87100,18.54500,17.38600,17.65000,0.84000,0.83000,1.41520,20.34310,10.45220,10.45220,10.45220,8.26030,0.44370,2.09260,43.00850,7.40830,9.18510,3.66500,7.40830,11.42620,0.5661,0.2778
2022-06-30,176.30700,136.43800,39.86900,18.67100,18.67100,21.19800,21.19800,4.50700,16.69100,16.69100,16.69100,27.51700,21.19800,17.50600,17.80300,0.95000,0.94000,1.43680,22.61340,12.02330,12.02330,12.02330,9.46700,0.42410,2.17420,41.39430,8.11710,9.97960,4.01540,8.11710,11.79210,1.68630,1.21560
