Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.20310,,-0.20310,0.23820,0.03500,0.03500,0.03500,0.03500,-0.20310,-0.20310,5.50250,5.50250,0.00000,0.00000,0.01830,-0.18770,-0.25650,-0.25650,0.15910,-0.25650,-2.48260,-0.0319,-0.0319
2024-06-30,0.46580,,-0.46580,0.63450,0.16870,0.16870,0.16870,0.16870,-0.46580,-0.46580,5.50250,5.50250,0.02000,0.02000,0.02430,-0.19170,-1.26140,-1.26140,0.77630,-1.26140,-2.43040,-0.0507,-0.0507
2024-03-31,,-0.25750,-0.25750,0.84620,0.58870,0.58870,0.58870,0.58870,-0.25750,-0.25750,5.50250,5.50250,0.05000,0.05000,0.03330,-0.18010,-4.68280,-4.68280,0.83110,-4.68280,-2.28460,-0.04360,-0.04360
2023-12-31,0.77870,,-0.12400,0.90460,0.78060,0.78060,0.78060,0.78060,-0.12400,-0.12400,5.50250,5.50250,0.08000,0.08000,0.16260,-0.19040,-6.56280,-6.56280,1.11250,-6.56280,-2.16150,-0.0339,-0.0339
2023-09-30,0.23560,,-0.23560,0.86540,0.62980,0.62980,0.62980,0.62980,-0.23560,-0.23560,5.50250,5.50250,0.05000,0.05000,0.20460,-0.12850,-5.54870,-5.54870,0.91570,-5.54870,-2.06270,-0.0316,-0.0316
2023-06-30,0.37780,,-0.37780,1.96280,1.58500,1.58500,1.58500,1.58500,-0.37780,-0.37780,5.50250,5.50250,0.07000,0.07000,0.13810,-0.05810,-14.44340,-14.44340,2.35200,-14.44340,-1.99440,-0.0361,-0.0361
2023-03-31,,-0.65470,-0.65470,2.43080,1.77610,1.77610,1.77610,1.77610,-0.65470,-0.65470,5.50250,5.50250,0.06000,0.06000,0.23680,,-17.45320,-17.45320,0.76220,-17.45320,-1.84940,-0.02720,-0.02720
2022-12-31,,,-1.16230,1.89790,0.73570,0.73570,0.73570,0.73570,-1.16230,-1.16230,5.41030,5.41030,0.04000,0.04000,0.37280,,-7.72620,-7.72620,0.31880,-7.72620,-1.73040,-0.0297,-0.0297
2022-09-30,,-0.94900,-0.94900,1.05940,0.11050,0.11050,0.11050,0.11050,-0.94900,-0.94900,5.50250,5.50250,0.00000,0.00000,0.81310,,-1.32180,-1.32180,0.04820,-1.32180,-1.51920,-0.0148,-0.0148
2022-06-30,,-0.40960,-0.40960,0.27630,-0.13330,-0.13330,-0.13330,-0.13330,-0.40960,-0.40960,5.50250,5.50250,0.00000,0.00000,2.12300,,1.79860,1.79860,-0.05840,1.79860,-1.34680,0.0205,0.0205
2022-03-31,,-0.09600,-0.09600,0.01370,-0.08230,-0.08230,-0.08230,-0.08230,-0.09600,-0.09600,5.12840,5.12840,-0.01000,-0.01000,2.50940,,1.17750,1.17750,-0.03600,1.17750,-0.25170,-0.18850,-0.18850
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
