,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-06,2024-09-30,--,$-0.20
1,2024-08-09,2024-06-30,--,$-0.19
2,2024-05-08,2024-03-31,--,$-0.21
3,2024-02-29,2023-12-31,$-0.27,$-0.19
4,2023-11-09,2023-09-30,$-0.40,$-0.07
5,2023-08-10,2023-06-30,$-0.32,$-0.18
6,2023-05-15,2023-03-31,$-0.28,$-0.20
7,2023-02-27,2022-12-31,$-0.27,$-0.27
8,2022-11-14,2022-09-30,$-0.29,$-0.20
9,2022-08-08,2022-06-30,$-0.25,$-0.25
10,2022-05-11,2022-03-31,$-0.18,$-0.30
11,2022-02-28,2021-12-31,$-0.37,$-0.24
12,2021-11-15,2021-09-30,$-0.13,$-0.42
13,2021-08-12,2021-06-30,$-0.01,$-0.04
14,2021-05-19,2021-03-31,--,$-2.48
15,2021-03-01,2020-12-31,--,$-0.46
16,2020-11-06,2020-09-30,--,$-0.04
17,2020-08-03,2020-06-30,--,$-0.05
18,2020-05-04,2020-03-31,--,$-0.05
