Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi
2024-09-30,2615.99400,2196.79100,419.20290,280.17700,324.14900,11.79100,592.53500,-173.33200,12.84300,-160.48900,13.45300,-173.94200,-162.32800,-174.74400,-173.33200,-173.33200,255.29000,255.29000,-0.68000,-0.68000,0.64330,-0.04710,-1.40070,16.02460,-6.62590,-6.62590,-6.13490,-6.67980,0.56130,3.24890,2.12670,42.31820,12.35120,11.49550,-3.48290,12.93260
2024-06-30,2757.60300,2282.89100,474.71190,361.00200,358.41400,7.88300,711.53300,-236.82100,1.55900,-235.26200,25.45400,-260.71600,-248.90200,-301.37900,-236.82100,-236.82100,230.18700,230.18700,-1.31000,-1.31000,0.66940,-0.05430,-1.37890,17.21470,-8.58790,-8.58790,-8.53140,-10.92900,0.61320,3.88790,2.39950,37.50770,22.45530,20.85760,-5.53510,23.67400
2024-03-31,2041.01600,1800.11900,240.89700,266.64800,270.28400,6.99800,529.93400,-289.03700,-2.79400,-291.83100,0.81600,-292.64700,-280.05900,-278.98100,-289.03700,-289.03700,200.00000,200.00000,-1.40000,-1.40000,0.60450,,-0.91100,11.80280,-14.16140,-14.16140,-14.29830,-13.66870,0.51650,2.63760,1.63700,54.97860,18.82590,17.93880,-7.08770,18.82650
2023-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,
