Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,6.91610,2.70890,4.20720,7.22080,,7.22080,-3.01360,-0.55860,-3.57220,0.00040,-3.57260,-3.57260,-3.40350,-3.01360,-3.01360,37.03800,37.03800,-0.10000,-0.10000,2.82890,,60.83200,-43.57370,-43.57370,-51.65050,-49.21130,0.30070,29.05920,3.09710,-20.66890,-24.81710,-15.53460,-20.66890,0.45340,0.2225,0.2225
2024-03-31,8.69160,3.50020,5.19140,9.95680,,9.95680,-4.76540,2.55310,-2.21230,-0.27660,-1.93570,-1.93570,-0.86680,-4.76540,-4.76540,35.27170,35.27170,-0.05000,-0.05000,2.20410,,59.72890,-54.82770,-54.82770,-25.45330,-9.97280,0.35910,29.29420,3.07230,-11.84990,-14.39610,-7.99830,-11.84990,0.45450,-0.00270,-0.00270
2023-12-31,0.04340,0.26210,-0.21870,0.65460,1.71240,-1.05780,0.83910,-0.94090,-0.10180,0.15980,-0.26160,-0.26160,-0.17460,0.83910,0.83910,31.32300,31.32300,0.01000,0.01000,62.04080,,-503.91710,1933.41200,1933.41300,-234.56210,-402.30470,0.00330,,,-2.51540,-2.51540,-1.96080,-2.51540,0.32780,-0.0339,-0.0339
2023-09-30,0.00440,0.01900,-0.01460,1.08790,-0.00300,1.09090,-1.10550,-0.51820,-1.62370,-0.01310,-1.61060,-1.61060,-1.47280,-1.10550,-1.10550,31.72500,31.72500,-0.05000,-0.05000,24.94790,,-331.81820,-25125.00000,-25125.00000,-36902.27000,-33472.73000,0.00050,0.11860,758.86360,-18.43590,-18.43590,-17.82860,-18.43590,0.27540,-0.0315,-0.0315
2023-06-30,,,,1.70670,,,-1.70670,0.13730,-1.56940,0.00170,-1.57110,-1.57110,-1.32750,-1.70670,-1.70670,31.60800,31.60800,-0.05000,-0.05000,19.85010,,,,,,,,,,-15.05510,-15.05510,-14.53820,-15.05510,0.32890,-0.033,-0.033
2023-03-31,,,,1.52210,,,-1.52210,0.22390,-1.29820,-0.06130,-1.23690,-1.23690,-1.08950,-1.52210,-1.52210,30.21410,30.21410,-0.04000,-0.04000,30.54620,,,,,,,,,,-10.44710,-10.44710,-10.18720,-10.44710,0.37510,0.00260,0.00260
2022-12-31,0.00180,0.22150,-0.21970,0.81450,,2.12610,-2.34580,-2.39770,-4.74350,-0.04230,-4.70120,-4.70120,-4.59330,-2.34580,-2.34580,22.98800,22.98800,-0.19000,-0.19000,30.92340,,,,,,,0.00010,0.00160,,-67.52750,-67.52760,-37.45440,-67.52760,0.26290,-0.0432,-0.0431
2022-09-30,,,,1.34280,,,-1.34280,-0.89100,-2.23380,-0.01070,-2.22310,-2.22310,-1.97780,-1.34280,-1.34280,22.08400,22.08400,-0.10000,-0.10000,4.12740,,,,,,,,,,-30.60810,-86.35080,-18.53260,-30.60810,0.32890,-0.0569,-0.0569
2022-06-30,0.00320,0.53330,-0.53010,1.15660,,1.16490,-1.69500,,-1.69500,0.00260,-1.69760,-1.69760,-1.35860,-1.69500,-1.69500,22.08400,22.08400,-0.06000,-0.06000,2.83090,,-16565.63000,-52968.75000,-52968.75000,-52968.75000,-42456.25000,0.00030,0.00290,31190.63000,-17.88380,-43.36250,-14.81470,-17.88380,0.42980,-0.0471,-0.0471
2022-03-31,0.44360,0.02780,0.41580,1.27060,,1.27060,-0.85480,0.18000,-0.67480,0.00150,-0.67630,-0.67630,-0.53630,-0.85480,-0.85480,22.08400,22.08400,-0.02000,-0.02000,3.98700,,93.73310,-192.69610,-192.69610,-152.11900,-120.89720,0.03430,0.31660,284.24260,-6.03730,-12.20490,-5.22240,-6.03730,0.50720,-0.10750,-0.10750
2021-12-31,0.54090,,0.54090,4.28630,,,-3.50580,-0.85540,-4.36120,-0.10440,-4.25680,-4.25680,-4.01230,-3.50580,-3.50580,22.08400,22.08400,0.53000,0.53000,2.95280,,144.27810,-648.14210,-648.14230,-806.28580,-741.78220,0.03620,0.43790,205.52410,-36.03400,-59.74710,-28.47430,-36.03400,0.53490,0.0072,0.0186
2021-09-30,1.54680,,1.54680,2.60780,,,27.61980,-0.03470,27.58510,0.07690,27.50820,27.50820,27.50820,27.61980,27.61980,22.08400,22.08400,1.25000,1.25000,8.04770,,100.00000,1785.60900,1785.60900,1783.36600,1778.39400,0.08190,0.91830,98.01200,161.76730,223.34970,145.67630,161.76730,0.77000,-0.1908,-1.1829
2021-06-30,1.48070,0.09450,1.38620,0.84820,0.27920,1.98840,-0.60220,-2.59190,-3.19410,-0.00370,-3.19040,-3.19040,-3.19780,-0.60220,-0.60220,7.72900,7.72900,-0.41000,-0.41000,5.12020,,93.61790,-40.66990,-40.66990,-215.71550,-215.96540,0.02520,0.72490,124.15350,12.16670,12.16670,-5.43950,12.16670,-3.39250,0.0955,0.2178
2021-03-31,2.53420,0.14500,2.38920,2.37490,,3.07420,-0.68500,-4.67610,-5.36110,0.04920,-5.41030,-5.41030,-5.41030,-0.68500,-0.68500,7.72900,7.72900,-0.70000,-0.70000,17.91890,,94.27830,-27.03020,-27.03020,-211.55000,-213.49140,0.03930,0.81830,109.98740,23.49790,23.49790,-8.39660,23.49790,-2.97860,-0.02290,1.38100
2020-12-31,3.49760,0.05560,3.44200,0.97870,,2.49110,0.95090,-15.59110,-14.64020,-0.17370,-14.46650,-14.46650,-14.46650,0.95090,0.95090,7.72900,7.72900,-1.87800,-1.87800,0.05910,-5.04040,98.41040,27.18720,27.18720,-418.57850,-413.61220,0.03750,1.24750,72.14210,82.11990,82.11990,-15.49240,82.12000,-2.27920,-0.2597,1.537
